Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-07-19T00:00:00+02:00;7873000000;1,21881E+11;623616;2854400;34;33,5
2019-07-19T00:02:00+02:00;8507000000;1,21855E+11;229376;3461632;44,5;53
2019-07-19T00:04:00+02:00;7025500000;1,21856E+11;187904;2369024;32,5;125
2019-07-19T00:06:00+02:00;8173500000;1,21851E+11;137728;1423360;22,5;82
2019-07-19T00:08:00+02:00;7726000000;1,21851E+11;201728;2799104;29,5;100,5
2019-07-19T00:10:00+02:00;7837500000;1,21852E+11;2388992;2845184;39;49
2019-07-19T00:12:00+02:00;8255500000;1,21866E+11;262656;3404800;21,5;57,5
2019-07-19T00:14:00+02:00;6729000000;1,21867E+11;246784;4254720;16,5;37
2019-07-19T00:16:00+02:00;7027500000;1,21979E+11;177664;385024;40,5;76
2019-07-19T00:18:00+02:00;5945000000;1,21982E+11;184832;243712;21;46
2019-07-19T00:20:00+02:00;6322000000;1,21979E+11;257024;540672;13,5;24
2019-07-19T00:22:00+02:00;5766000000;1,21979E+11;191488;510464;18,5;65,5
2019-07-19T00:24:00+02:00;7268000000;1,21981E+11;191488;361984;10,5;5
2019-07-19T00:26:00+02:00;6700000000;1,21982E+11;250368;1210368;11;4,5
2019-07-19T00:28:00+02:00;5189500000;1,21983E+11;144896;185344;8,5;4,5
2019-07-19T00:30:00+02:00;6440000000;1,21985E+11;126976;363520;10;4
2019-07-19T00:32:00+02:00;5621500000;1,21992E+11;3544064;4770816;6,5;4
2019-07-19T00:34:00+02:00;6515500000;1,21983E+11;150528;359936;8;7
2019-07-19T00:36:00+02:00;6076000000;1,21984E+11;202752;632832;16;1,5
2019-07-19T00:38:00+02:00;5751500000;1,21982E+11;212992;410624;9;3
2019-07-19T00:40:00+02:00;5910000000;1,21985E+11;156672;479744;9;14,5
2019-07-19T00:42:00+02:00;6157000000;1,21984E+11;150528;376832;8;2,5
2019-07-19T00:44:00+02:00;5854000000;1,21987E+11;206848;296448;6;2
2019-07-19T00:46:00+02:00;6067000000;1,21993E+11;168960;737280;10;4
2019-07-19T00:48:00+02:00;6422500000;1,21995E+11;152576;257536;12,5;4,5
2019-07-19T00:50:00+02:00;5474000000;1,21986E+11;174080;468992;11;2
2019-07-19T00:52:00+02:00;6210000000;1,2199E+11;165376;384512;10,5;7
2019-07-19T00:54:00+02:00;6289000000;1,21986E+11;159744;287232;8;2
2019-07-19T00:56:00+02:00;6293000000;1,21987E+11;479232;565248;8,5;0
2019-07-19T00:58:00+02:00;5938500000;1,21988E+11;121344;179712;9,5;3
2019-07-19T01:00:00+02:00;6899000000;1,21987E+11;287232;9358848;9;5,5
2019-07-19T01:02:00+02:00;6304000000;1,21979E+11;384000;12653568;11,5;8
2019-07-19T01:04:00+02:00;8197000000;1,21967E+11;283136;8130560;14;4,5
2019-07-19T01:06:00+02:00;6561000000;1,21991E+11;328704;7670784;12,5;4,5
2019-07-19T01:08:00+02:00;7493500000;1,21959E+11;346112;9279488;10;5,5
2019-07-19T01:10:00+02:00;7760500000;1,21932E+11;321536;10906624;12,5;3,5
2019-07-19T01:12:00+02:00;6735500000;1,21919E+11;486400;19580928;12;5,5
2019-07-19T01:14:00+02:00;5450500000;1,21922E+11;504320;29306880;9,5;32,5
2019-07-19T01:16:00+02:00;6625500000;1,21904E+11;320000;12466688;15;14,5
2019-07-19T01:18:00+02:00;5764000000;1,21892E+11;402432;13782016;36,5;14
2019-07-19T01:20:00+02:00;5073000000;1,21889E+11;417792;15648768;8,5;6,5
2019-07-19T01:22:00+02:00;6527500000;1,21907E+11;446464;20076544;8;7,5
2019-07-19T01:24:00+02:00;7025500000;1,21885E+11;594944;32619520;7;5,5
2019-07-19T01:26:00+02:00;5825000000;1,21869E+11;454144;19033600;17;4,5
2019-07-19T01:28:00+02:00;6244500000;1,21868E+11;544768;28394496;10;5,5
2019-07-19T01:30:00+02:00;6070500000;1,21856E+11;408576;17647616;13;11
2019-07-19T01:32:00+02:00;6924000000;1,21849E+11;346112;11061248;11,5;4,5
2019-07-19T01:34:00+02:00;6788000000;1,21848E+11;166912;1302528;9;6,5
2019-07-19T01:36:00+02:00;7343500000;1,21846E+11;259584;9019392;11;6,5
2019-07-19T01:38:00+02:00;7576000000;1,2184E+11;473600;15666176;15;3,5
2019-07-19T01:40:00+02:00;7023500000;1,21859E+11;559616;31334912;14,5;11,5
2019-07-19T01:42:00+02:00;7358000000;1,21843E+11;731648;41807872;7,5;5,5
2019-07-19T01:44:00+02:00;7114500000;1,21845E+11;513024;21780480;22,5;5
2019-07-19T01:46:00+02:00;6200000000;1,21846E+11;449024;13826048;15;9,5
