Time;CPU usage;Average number of bytes read from the disk Hard disk 1;Average number of bytes read from the disk Hard disk 2;Average number of bytes written to the disk Hard disk 1;Average number of bytes written to the disk Hard disk 2;Average number of reads from the disk Hard disk 1;Average number of reads from the disk Hard disk 2;Average number of writes to the disk Hard disk 1;Average number of writes to the disk Hard disk 2;Free disk space on /;Number of bytes received on interface Network adapter 1;Number of bytes transmitted on interface Network adapter 1;Number of packets received on interface Network adapter 1;Number of packets transmitted on interface Network adapter 1;Host memory usage;Guest memory usage;Committed storage space
2019-03-01T00:00:00+01:00;366666;0;0;989;204;0;0;0;0;10948698112;153;273;92;66;4107796480;76336332;23719640167
2019-03-01T01:00:00+01:00;4183333;102;16861;1792;19217;0;2;0;1;10948698112;119;324;89;65;4106922666;166601250;23719640167
2019-03-01T02:00:00+01:00;11466666;0;0;1348;256;0;0;0;0;10948698112;204;238;89;64;4107289668;123627110;23719640167
2019-03-01T03:00:00+01:00;20250000;0;0;1365;392;0;0;0;0;10948698112;819;375;96;65;4106905190;134375014;23719640167
2019-03-01T04:00:00+01:00;4583333;0;0;1399;119;0;0;0;0;10948698112;204;341;85;64;4107219763;143689864;23720067702
2019-03-01T05:00:00+01:00;0;0;0;1092;153;0;0;0;0;10948698112;256;375;87;62;4107481907;88517290;23719686777
2019-03-01T06:00:00+01:00;13766666;0;0;1314;119;0;0;0;0;10948698112;375;546;89;64;4106538188;111446152;23719687402
2019-03-01T07:00:00+01:00;16966666;102;0;1723;221;0;0;0;0;10948698112;4334;4147;227;183;4106922666;360080998;23719687402
2019-03-01T08:00:00+01:00;28350000;170;0;1996;443;0;0;0;0;10948698112;18039;21760;514;433;4107272192;329270340;23719687402
2019-03-01T09:00:00+01:00;21650000;34;0;1536;733;0;0;0;0;10948698112;29696;30941;806;702;4107272192;286278724;23719687402
2019-03-01T10:00:00+01:00;34650000;0;0;1353;1110;0;0;0;0;10948698112;32212;43320;827;708;4107377049;453212023;23719687402
2019-03-01T11:00:00+01:00;35416666;17;0;1672;904;0;0;0;0;10948698112;25156;27443;664;600;4108338244;362947106;23719687402
2019-03-01T12:00:00+01:00;31966666;17;0;1297;290;0;0;0;0;10948698112;5256;9113;292;259;4108355720;274814293;23719686497
2019-03-01T13:00:00+01:00;28166666;0;0;1262;324;0;0;0;0;10948698112;35191;36334;953;539;4107848908;294877047;23719686378
2019-03-01T14:00:00+01:00;44616666;102;0;2850;341;0;0;0;0;10948698112;17749;23910;560;470;4107342097;296310101;23719686378
2019-03-01T15:00:00+01:00;38483333;0;0;1160;494;0;0;0;0;10948698112;17971;24763;567;459;4107324620;287711778;23721993245
2019-03-01T16:00:00+01:00;11516666;0;0;1245;597;0;0;0;0;10948698112;5751;6024;264;199;4107604241;237554892;23722832106
2019-03-01T17:00:00+01:00;366666;0;0;1109;204;0;0;0;0;10948698112;273;477;112;89;4107272192;101414775;23724230207
