Time;Number of bytes transmitted on interface Network adapter 1
2019-03-01T00:00:00+01:00;273
2019-03-01T01:00:00+01:00;324
2019-03-01T02:00:00+01:00;238
2019-03-01T03:00:00+01:00;375
2019-03-01T04:00:00+01:00;341
2019-03-01T05:00:00+01:00;375
2019-03-01T06:00:00+01:00;546
2019-03-01T07:00:00+01:00;4147
2019-03-01T08:00:00+01:00;21760
2019-03-01T09:00:00+01:00;30941
2019-03-01T10:00:00+01:00;43320
2019-03-01T11:00:00+01:00;27443
2019-03-01T12:00:00+01:00;9113
2019-03-01T13:00:00+01:00;36334
2019-03-01T14:00:00+01:00;23910
2019-03-01T15:00:00+01:00;24763
2019-03-01T16:00:00+01:00;6024
2019-03-01T17:00:00+01:00;477
2019-03-01T18:00:00+01:00;187
2019-03-01T19:00:00+01:00;358
2019-03-01T20:00:00+01:00;187
2019-03-01T21:00:00+01:00;170
2019-03-01T22:00:00+01:00;187
2019-03-01T23:00:00+01:00;136
2019-03-02T00:00:00+01:00;153
2019-03-02T01:00:00+01:00;3686
2019-03-02T02:00:00+01:00;187
2019-03-02T03:00:00+01:00;204
2019-03-02T04:00:00+01:00;238
2019-03-02T05:00:00+01:00;102
2019-03-02T06:00:00+01:00;187
2019-03-02T07:00:00+01:00;187
2019-03-02T08:00:00+01:00;256
2019-03-02T09:00:00+01:00;290
2019-03-02T10:00:00+01:00;136
2019-03-02T11:00:00+01:00;153
2019-03-02T12:00:00+01:00;102
2019-03-02T13:00:00+01:00;256
2019-03-02T14:00:00+01:00;136
2019-03-02T15:00:00+01:00;187
2019-03-02T16:00:00+01:00;290
2019-03-02T17:00:00+01:00;256
2019-03-02T18:00:00+01:00;238
2019-03-02T19:00:00+01:00;170
2019-03-02T20:00:00+01:00;273
2019-03-02T21:00:00+01:00;273
2019-03-02T22:00:00+01:00;341
2019-03-02T23:00:00+01:00;392
2019-03-03T00:00:00+01:00;341
2019-03-03T01:00:00+01:00;1280
2019-03-03T02:00:00+01:00;307
2019-03-03T03:00:00+01:00;699
2019-03-03T04:00:00+01:00;238
2019-03-03T05:00:00+01:00;273
2019-03-03T06:00:00+01:00;409
2019-03-03T07:00:00+01:00;375
2019-03-03T08:00:00+01:00;358
2019-03-03T09:00:00+01:00;477
2019-03-03T10:00:00+01:00;392
2019-03-03T11:00:00+01:00;443
2019-03-03T12:00:00+01:00;477
2019-03-03T13:00:00+01:00;238
2019-03-03T14:00:00+01:00;477
2019-03-03T15:00:00+01:00;443
2019-03-03T16:00:00+01:00;460
2019-03-03T17:00:00+01:00;204
2019-03-03T18:00:00+01:00;221
2019-03-03T19:00:00+01:00;290
2019-03-03T20:00:00+01:00;546
2019-03-03T21:00:00+01:00;358
2019-03-03T22:00:00+01:00;375
2019-03-03T23:00:00+01:00;494
2019-03-04T00:00:00+01:00;204
2019-03-04T01:00:00+01:00;597
2019-03-04T02:00:00+01:00;273
2019-03-04T03:00:00+01:00;290
2019-03-04T04:00:00+01:00;614
2019-03-04T05:00:00+01:00;273
2019-03-04T06:00:00+01:00;3515
2019-03-04T07:00:00+01:00;9147
2019-03-04T08:00:00+01:00;46489
2019-03-04T09:00:00+01:00;126242
2019-03-04T10:00:00+01:00;82875
2019-03-04T11:00:00+01:00;50978
2019-03-04T12:00:00+01:00;43093
2019-03-04T13:00:00+01:00;93457
2019-03-04T14:00:00+01:00;56285
2019-03-04T15:00:00+01:00;76305
2019-03-04T16:00:00+01:00;98508
2019-03-04T17:00:00+01:00;6126
2019-03-04T18:00:00+01:00;2457
2019-03-04T19:00:00+01:00;375
2019-03-04T20:00:00+01:00;392
2019-03-04T21:00:00+01:00;375
2019-03-04T22:00:00+01:00;409
2019-03-04T23:00:00+01:00;170
2019-03-05T00:00:00+01:00;443
2019-03-05T01:00:00+01:00;1228
2019-03-05T02:00:00+01:00;187
2019-03-05T03:00:00+01:00;194
2019-03-05T04:00:00+01:00;324
