Time;Number of packets received on interface Network adapter 1
2019-03-01T00:00:00+01:00;92
2019-03-01T01:00:00+01:00;89
2019-03-01T02:00:00+01:00;89
2019-03-01T03:00:00+01:00;96
2019-03-01T04:00:00+01:00;85
2019-03-01T05:00:00+01:00;87
2019-03-01T06:00:00+01:00;89
2019-03-01T07:00:00+01:00;227
2019-03-01T08:00:00+01:00;514
2019-03-01T09:00:00+01:00;806
2019-03-01T10:00:00+01:00;827
2019-03-01T11:00:00+01:00;664
2019-03-01T12:00:00+01:00;292
2019-03-01T13:00:00+01:00;953
2019-03-01T14:00:00+01:00;560
2019-03-01T15:00:00+01:00;567
2019-03-01T16:00:00+01:00;264
2019-03-01T17:00:00+01:00;112
2019-03-01T18:00:00+01:00;82
2019-03-01T19:00:00+01:00;83
2019-03-01T20:00:00+01:00;85
2019-03-01T21:00:00+01:00;78
2019-03-01T22:00:00+01:00;81
2019-03-01T23:00:00+01:00;68
2019-03-02T00:00:00+01:00;74
2019-03-02T01:00:00+01:00;168
2019-03-02T02:00:00+01:00;71
2019-03-02T03:00:00+01:00;77
2019-03-02T04:00:00+01:00;71
2019-03-02T05:00:00+01:00;78
2019-03-02T06:00:00+01:00;68
2019-03-02T07:00:00+01:00;70
2019-03-02T08:00:00+01:00;75
2019-03-02T09:00:00+01:00;78
2019-03-02T10:00:00+01:00;87
2019-03-02T11:00:00+01:00;77
2019-03-02T12:00:00+01:00;79
2019-03-02T13:00:00+01:00;81
2019-03-02T14:00:00+01:00;86
2019-03-02T15:00:00+01:00;76
2019-03-02T16:00:00+01:00;83
2019-03-02T17:00:00+01:00;82
2019-03-02T18:00:00+01:00;74
2019-03-02T19:00:00+01:00;71
2019-03-02T20:00:00+01:00;82
2019-03-02T21:00:00+01:00;84
2019-03-02T22:00:00+01:00;78
2019-03-02T23:00:00+01:00;85
2019-03-03T00:00:00+01:00;517
2019-03-03T01:00:00+01:00;437
2019-03-03T02:00:00+01:00;77
2019-03-03T03:00:00+01:00;90
2019-03-03T04:00:00+01:00;71
2019-03-03T05:00:00+01:00;68
2019-03-03T06:00:00+01:00;72
2019-03-03T07:00:00+01:00;69
2019-03-03T08:00:00+01:00;77
2019-03-03T09:00:00+01:00;87
2019-03-03T10:00:00+01:00;89
2019-03-03T11:00:00+01:00;82
2019-03-03T12:00:00+01:00;79
2019-03-03T13:00:00+01:00;76
2019-03-03T14:00:00+01:00;89
2019-03-03T15:00:00+01:00;82
2019-03-03T16:00:00+01:00;87
2019-03-03T17:00:00+01:00;85
2019-03-03T18:00:00+01:00;79
2019-03-03T19:00:00+01:00;85
2019-03-03T20:00:00+01:00;96
2019-03-03T21:00:00+01:00;86
2019-03-03T22:00:00+01:00;89
2019-03-03T23:00:00+01:00;82
2019-03-04T00:00:00+01:00;76
2019-03-04T01:00:00+01:00;86
2019-03-04T02:00:00+01:00;75
2019-03-04T03:00:00+01:00;71
2019-03-04T04:00:00+01:00;166
2019-03-04T05:00:00+01:00;74
2019-03-04T06:00:00+01:00;83
2019-03-04T07:00:00+01:00;266
2019-03-04T08:00:00+01:00;975
2019-03-04T09:00:00+01:00;1608
2019-03-04T10:00:00+01:00;1305
2019-03-04T11:00:00+01:00;950
2019-03-04T12:00:00+01:00;782
2019-03-04T13:00:00+01:00;1256
2019-03-04T14:00:00+01:00;1225
2019-03-04T15:00:00+01:00;1299
