Time;CPU usage;Average number of bytes read from the disk Hard disk 1;Average number of bytes read from the disk Hard disk 2;Average number of bytes written to the disk Hard disk 1;Average number of bytes written to the disk Hard disk 2;Average number of reads from the disk Hard disk 1;Average number of reads from the disk Hard disk 2;Average number of writes to the disk Hard disk 1;Average number of writes to the disk Hard disk 2;Free disk space on /;Number of bytes received on interface Network adapter 1;Number of bytes transmitted on interface Network adapter 1;Number of packets received on interface Network adapter 1;Number of packets transmitted on interface Network adapter 1;Host memory usage;Guest memory usage;Committed storage space
2019-03-01T00:00:00+01:00;29333333;34;68;2321;375;0;0;0;0;11427807232;0;34;4;1;6257936520;126161169;17144048117
2019-03-01T01:00:00+01:00;36700000;0;0;682;51;0;0;0;0;11427807232;0;51;5;2;6258251093;96084514;17144048196
2019-03-01T02:00:00+01:00;33233333;0;0;563;102;0;0;0;0;11427807232;0;102;6;2;6258268569;96154419;17144048219
2019-03-01T03:00:00+01:00;34533333;375;0;3686;136;0;0;0;0;11427807232;0;51;5;2;6257062707;190631116;17144048219
2019-03-01T04:00:00+01:00;25000000;0;0;711;17;0;0;0;0;11427807232;0;34;4;1;6258688000;85406515;17144156990
2019-03-01T05:00:00+01:00;25000000;0;0;938;119;0;0;0;0;11427807232;0;85;6;2;6259002572;70376925;17144096019
2019-03-01T06:00:00+01:00;33666666;0;0;2286;68;0;0;0;0;11427807232;0;85;5;2;6258635571;129359325;17144096019
2019-03-01T07:00:00+01:00;29333333;0;0;853;136;0;0;0;0;11427807232;51;85;11;8;6257656900;115465693;17144096114
2019-03-01T08:00:00+01:00;29766666;0;0;819;204;0;0;0;0;11427807232;187;238;21;20;6258950144;113246208;17144096121
2019-03-01T09:00:00+01:00;33666666;0;102;750;426;0;0;0;0;11427807232;1280;1518;98;99;6258653047;204524748;17144096121
2019-03-01T10:00:00+01:00;40600000;0;0;1024;53;0;0;0;0;11427807232;2277;3513;186;186;6258006425;285107814;17144096121
2019-03-01T11:00:00+01:00;28033333;0;0;836;17;0;0;0;0;11427807232;512;1467;48;43;6258146235;90719300;17144096121
2019-03-01T12:00:00+01:00;32366666;102;0;836;119;0;0;0;0;11427807232;563;2730;56;52;6258565666;211025920;17144096146
2019-03-01T13:00:00+01:00;26733333;0;0;989;68;0;0;0;0;11427807232;682;1536;60;67;6258111283;157251447;17144096223
2019-03-01T14:00:00+01:00;25000000;204;0;9301;136;0;0;0;0;11427807232;0;68;7;4;6258373427;102620637;17144096223
2019-03-01T15:00:00+01:00;25000000;0;0;1416;102;0;0;0;0;11427807232;0;68;8;4;6258670523;104717789;17144096223
