Time;Guest memory usage
2019-03-01T00:00:00+01:00;126161169
2019-03-01T01:00:00+01:00;96084514
2019-03-01T02:00:00+01:00;96154419
2019-03-01T03:00:00+01:00;190631116
2019-03-01T04:00:00+01:00;85406515
2019-03-01T05:00:00+01:00;70376925
2019-03-01T06:00:00+01:00;129359325
2019-03-01T07:00:00+01:00;115465693
2019-03-01T08:00:00+01:00;113246208
2019-03-01T09:00:00+01:00;204524748
2019-03-01T10:00:00+01:00;285107814
2019-03-01T11:00:00+01:00;90719300
2019-03-01T12:00:00+01:00;211025920
2019-03-01T13:00:00+01:00;157251447
2019-03-01T14:00:00+01:00;102620637
2019-03-01T15:00:00+01:00;104717789
2019-03-01T16:00:00+01:00;74641134
2019-03-01T17:00:00+01:00;100383675
2019-03-01T18:00:00+01:00;137957649
2019-03-01T19:00:00+01:00;78922820
2019-03-01T20:00:00+01:00;74623658
2019-03-01T21:00:00+01:00;118593945
2019-03-01T22:00:00+01:00;70376925
2019-03-01T23:00:00+01:00;82190882
2019-03-02T00:00:00+01:00;127227221
2019-03-02T01:00:00+01:00;117580322
2019-03-02T02:00:00+01:00;95018461
2019-03-02T03:00:00+01:00;205625753
2019-03-02T04:00:00+01:00;80023825
2019-03-02T05:00:00+01:00;70359449
2019-03-02T06:00:00+01:00;113298636
2019-03-02T07:00:00+01:00;81089877
2019-03-02T08:00:00+01:00;73575082
2019-03-02T09:00:00+01:00;158369928
2019-03-02T10:00:00+01:00;69293397
2019-03-02T11:00:00+01:00;67161292
2019-03-02T12:00:00+01:00;137975125
2019-03-02T13:00:00+01:00;74641134
2019-03-02T14:00:00+01:00;110100480
2019-03-02T15:00:00+01:00;113298636
2019-03-02T16:00:00+01:00;83239458
2019-03-02T17:00:00+01:00;77821815
2019-03-02T18:00:00+01:00;144441344
2019-03-02T19:00:00+01:00;75742139
2019-03-02T20:00:00+01:00;72526506
2019-03-02T21:00:00+01:00;134724539
2019-03-02T22:00:00+01:00;71460454
2019-03-02T23:00:00+01:00;71425501
2019-03-03T00:00:00+01:00;129376802
2019-03-03T01:00:00+01:00;127244697
2019-03-03T02:00:00+01:00;121879483
2019-03-03T03:00:00+01:00;224989457
2019-03-03T04:00:00+01:00;81107353
2019-03-03T05:00:00+01:00;78922820
2019-03-03T06:00:00+01:00;124011588
2019-03-03T07:00:00+01:00;71425501
2019-03-03T08:00:00+01:00;74676087
2019-03-03T09:00:00+01:00;114434594
2019-03-03T10:00:00+01:00;66095240
2019-03-03T11:00:00+01:00;71425501
2019-03-03T12:00:00+01:00;131543859
2019-03-03T13:00:00+01:00;78905344
2019-03-03T14:00:00+01:00;102568209
2019-03-03T15:00:00+01:00;140142182
2019-03-03T16:00:00+01:00;78992725
2019-03-03T17:00:00+01:00;85336610
2019-03-03T18:00:00+01:00;116496793
2019-03-03T19:00:00+01:00;82208358
2019-03-03T20:00:00+01:00;108947046
2019-03-03T21:00:00+01:00;126213597
2019-03-03T22:00:00+01:00;83221981
2019-03-03T23:00:00+01:00;76790715
2019-03-04T00:00:00+01:00;137940172
2019-03-04T01:00:00+01:00;91802828
2019-03-04T02:00:00+01:00;114382165
2019-03-04T03:00:00+01:00;216426086
2019-03-04T04:00:00+01:00;79988872
2019-03-04T05:00:00+01:00;86420138
2019-03-04T06:00:00+01:00;136944025
2019-03-04T07:00:00+01:00;78905344
2019-03-04T08:00:00+01:00;205590801
