Time;CP_ usage;ANB_read;ANB_write;AN_read;AN_write;Free_disk;B_rec;B_trans;P_rec;P_trans;H_memory;G_memory;C_storage
2019-03-01T00:00:00+01:00;24300000;37512;22374;4;1;1822674944;1672;6296;320;222;2141087334;108038280;28065147208
2019-03-01T01:00:00+01:00;26983333;341;3754;0;0;1822674944;2406;22630;545;449;2141926195;111918011;28065147208
2019-03-01T02:00:00+01:00;22766666;0;3908;0;0;1822674944;1160;5973;269;204;2142992247;93515502;28065147208
2019-03-01T03:00:00+01:00;23533333;648;3379;0;0;1822674944;1177;5546;290;189;2142100957;94144648;28065147208
2019-03-01T04:00:00+01:00;24300000;0;3140;0;0;1822674944;1314;7475;328;222;2142031052;79307298;28065147208
2019-03-01T05:00:00+01:00;35033333;8362;15923;2;1;1822674944;1911;20411;367;380;2142555340;107199419;28065147208
2019-03-01T06:00:00+01:00;54966666;64836;78506;15;11;1822674944;8362;35037;1000;1084;2143079628;208212241;28065147208
2019-03-01T07:00:00+01:00;36183333;9147;12629;2;1;1822674944;5767;14830;679;535;2143219438;112250060;28065147208
2019-03-01T08:00:00+01:00;31966666;0;4829;0;0;1822674944;8669;40738;913;830;2143289344;118593945;28065147208
2019-03-01T09:00:00+01:00;36950000;1826;5580;0;0;1822674944;10154;39543;1118;1097;2143289344;135982830;28065147208
2019-03-01T10:00:00+01:00;75283333;26129;35998;6;5;1822674944;12617;50314;1129;1163;2143289344;148268646;28065147208
2019-03-01T11:00:00+01:00;56883333;204;4693;0;0;1822674944;11366;26862;1045;992;2143289344;123539729;28065147208
2019-03-01T12:00:00+01:00;57266666;4215;9523;1;1;1822674944;11792;167731;1411;1803;2143289344;111848106;28065147208
2019-03-01T13:00:00+01:00;38100000;887;4659;0;0;1822674944;9915;31180;1086;976;2143289344;120324096;28065147208
2019-03-01T14:00:00+01:00;47683333;65194;78421;15;6;1822674944;10359;38109;1069;1051;2143289344;108370329;28065147208
2019-03-01T15:00:00+01:00;44616666;3686;7697;0;0;1822674944;9710;25719;1001;902;2143289344;113648162;28065147208
2019-03-01T16:00:00+01:00;36566666;0;4864;0;0;1822674944;9676;29696;1134;954;2143271867;109418905;28065147208
2019-03-01T17:00:00+01:00;31200000;0;5324;0;0;1822674944;8516;34662;1021;909;2143271867;112529681;28065147208
2019-03-01T18:00:00+01:00;48450000;23347;34696;5;4;1822674944;9163;66969;976;1121;2143132057;123976635;28065147208
2019-03-01T19:00:00+01:00;28900000;0;3805;0;0;1822674944;4283;10820;600;453;2143201962;103022592;28065147208
2019-03-01T20:00:00+01:00;24300000;238;3686;0;0;1822674944;1979;4915;311;231;2143184486;92606737;28065147208
2019-03-01T21:00:00+01:00;30433333;65570;78080;15;9;1822674944;2508;5802;327;251;2143236915;105871223;28065147208
2019-03-01T22:00:00+01:00;23533333;0;3037;0;0;1822674944;2065;13124;437;353;2142677674;97395234;28065147208
2019-03-01T23:00:00+01:00;114383333;13772;20343;3;2;1822674944;21674;43485;4323;5356;2142188339;110729625;28065147208
2019-03-02T00:00:00+01:00;24300000;0;2747;0;0;1822674944;1638;3242;287;180;2142188339;114259831;28065147208
2019-03-02T01:00:00+01:00;25450000;102;3464;0;0;1822674944;1570;6894;333;254;2142083481;107601373;28065147208
2019-03-02T02:00:00+01:00;23916666;0;3891;0;0;1822674944;1297;6024;280;220;2141279573;98688477;28065147208
2019-03-02T03:00:00+01:00;23916666;0;1979;0;0;1822674944;1092;5512;273;180;2141751432;92676642;28065147208
2019-03-02T04:00:00+01:00;23533333;0;3157;0;0;1822674944;1399;5785;312;239;2141227144;83519078;28065147208
2019-03-02T05:00:00+01:00;35416666;10240;16861;2;1;1822674944;2047;15752;342;341;2141873766;98199142;28065147208
2019-03-02T06:00:00+01:00;44233333;75400;78830;16;9;1822674944;2303;7287;367;291;2143009723;193200128;28065147208
2019-03-02T07:00:00+01:00;33500000;7560;11520;1;1;1822674944;2081;6689;352;300;2143044676;94144648;28065147208
2019-03-02T08:00:00+01:00;26600000;6434;10035;1;0;1822674944;2474;14437;422;374;2142398054;104455645;28065147208
2019-03-02T09:00:00+01:00;22383333;0;3191;0;0;1822674944;1996;7082;365;265;2141908718;87800763;28065147208
2019-03-02T10:00:00+01:00;54583333;36420;46523;8;4;1822674944;3635;20531;553;499;2142205815;112634538;28065147208
2019-03-02T11:00:00+01:00;31200000;0;3089;0;0;1822674944;2099;8140;385;321;2142205815;114626833;28065147208
2019-03-02T12:00:00+01:00;26216666;20087;26214;4;2;1822674944;2696;17134;368;352;2142048529;95175748;28065147208
2019-03-02T13:00:00+01:00;25450000;1314;3891;0;0;1822674944;1877;7782;351;275;2142100957;102253636;28065147208
2019-03-02T14:00:00+01:00;27366666;3413;7901;0;1;1822674944;2901;22391;588;553;2142135910;108352853;28065147208
2019-03-02T15:00:00+01:00;23150000;0;3430;0;0;1822674944;2679;12322;467;371;2142170862;105119744;28065147208
2019-03-02T16:00:00+01:00;23916666;0;3515;0;0;1822674944;2679;11554;479;363;2142083481;88185241;28065147208
2019-03-02T17:00:00+01:00;23916666;17;4334;0;0;1822674944;2218;5358;376;287;2141996100;94529126;28065147208
2019-03-02T18:00:00+01:00;60716666;31163;40448;7;4;1822674944;4044;15906;434;416;2141891242;123941683;28065147208
2019-03-02T19:00:00+01:00;24683333;648;3822;0;0;1822674944;2713;12441;461;381;2142135910;94057267;28065147208
2019-03-02T20:00:00+01:00;27366666;682;5376;0;0;1822674944;2730;20667;553;485;2142153386;105853747;28065147208
2019-03-02T21:00:00+01:00;29283333;1979;4864;0;0;1822674944;2338;14318;443;385;2141926195;114731690;28065147208
2019-03-02T22:00:00+01:00;25450000;0;3020;0;0;1822674944;2508;17032;514;422;2142013576;98758382;28065147208
2019-03-02T23:00:00+01:00;100200000;7628;16469;1;2;1822674944;23381;39065;4673;5196;2143114581;107636326;28065147208
2019-03-03T00:00:00+01:00;24683333;34;4300;0;0;1822674944;2525;24115;598;535;2142957294;106150843;28065147208
2019-03-03T01:00:00+01:00;27366666;34;2696;0;0;1822674944;1570;5154;426;338;2142520388;104018739;28065147208
2019-03-03T02:00:00+01:00;25450000;0;3293;0;0;1822674944;1723;4864;454;372;2143027200;105137220;28065147208
2019-03-03T03:00:00+01:00;23533333;273;3242;0;0;1822674944;1501;8499;394;331;2142135910;102620637;28065147208
2019-03-03T04:00:00+01:00;24683333;0;4522;0;0;1822674944;1536;12032;384;320;2142135910;97779712;28065147208
2019-03-03T05:00:00+01:00;37716666;57036;68864;13;8;1822674944;2713;15103;348;341;2142118434;122910583;28065147208
2019-03-03T06:00:00+01:00;48833333;69768;170444;15;12;1822674944;3020;11912;456;412;2142887389;183291084;28065147208
2019-03-03T07:00:00+01:00;23533333;0;3191;0;0;1822674944;1041;3191;272;180;2142205815;110450005;28065147208
2019-03-03T08:00:00+01:00;26983333;0;4078;0;0;1822674944;1501;11673;343;268;2143167010;105102267;28065147208
2019-03-03T09:00:00+01:00;23916666;0;3396;0;0;1822674944;1809;8448;366;291;2142275720;105783842;28065147208
2019-03-03T10:00:00+01:00;56116666;11571;31914;2;5;1822674944;2935;17782;554;569;2142502912;115098692;28065147208
2019-03-03T11:00:00+01:00;46150000;13824;19473;3;2;1822674944;3293;11775;486;429;2141489288;89198865;28065147208
2019-03-03T12:00:00+01:00;31583333;14062;21196;3;2;1822674944;2986;14011;406;359;2141838813;119275520;28065147208
