Time;Number of bytes transmitted on interface Network adapter 1
2019-03-01T00:00:00+01:00;6075
2019-03-01T01:00:00+01:00;22630
2019-03-01T02:00:00+01:00;5973
2019-03-01T03:00:00+01:00;5546
2019-03-01T04:00:00+01:00;7475
2019-03-01T05:00:00+01:00;20036
2019-03-01T06:00:00+01:00;34474
2019-03-01T07:00:00+01:00;14677
2019-03-01T08:00:00+01:00;40738
2019-03-01T09:00:00+01:00;39509
2019-03-01T10:00:00+01:00;49412
2019-03-01T11:00:00+01:00;26862
2019-03-01T12:00:00+01:00;167219
2019-03-01T13:00:00+01:00;31163
2019-03-01T14:00:00+01:00;37546
2019-03-01T15:00:00+01:00;25719
2019-03-01T16:00:00+01:00;29696
2019-03-01T17:00:00+01:00;34662
2019-03-01T18:00:00+01:00;66048
2019-03-01T19:00:00+01:00;10820
2019-03-01T20:00:00+01:00;4898
2019-03-01T21:00:00+01:00;5239
2019-03-01T22:00:00+01:00;13124
2019-03-01T23:00:00+01:00;43008
2019-03-02T00:00:00+01:00;3242
2019-03-02T01:00:00+01:00;6894
2019-03-02T02:00:00+01:00;6024
2019-03-02T03:00:00+01:00;5512
2019-03-02T04:00:00+01:00;5785
2019-03-02T05:00:00+01:00;15377
2019-03-02T06:00:00+01:00;6758
2019-03-02T07:00:00+01:00;6348
2019-03-02T08:00:00+01:00;13994
2019-03-02T09:00:00+01:00;7082
2019-03-02T10:00:00+01:00;19985
2019-03-02T11:00:00+01:00;8140
2019-03-02T12:00:00+01:00;16691
2019-03-02T13:00:00+01:00;7765
2019-03-02T14:00:00+01:00;22357
2019-03-02T15:00:00+01:00;12322
2019-03-02T16:00:00+01:00;11554
2019-03-02T17:00:00+01:00;5358
2019-03-02T18:00:00+01:00;14592
2019-03-02T19:00:00+01:00;12441
2019-03-02T20:00:00+01:00;20650
2019-03-02T21:00:00+01:00;14148
2019-03-02T22:00:00+01:00;17032
2019-03-02T23:00:00+01:00;38724
2019-03-03T00:00:00+01:00;24115
2019-03-03T01:00:00+01:00;5154
2019-03-03T02:00:00+01:00;4864
2019-03-03T03:00:00+01:00;8499
2019-03-03T04:00:00+01:00;12032
2019-03-03T05:00:00+01:00;14182
2019-03-03T06:00:00+01:00;11349
2019-03-03T07:00:00+01:00;3191
2019-03-03T08:00:00+01:00;11673
2019-03-03T09:00:00+01:00;8448
2019-03-03T10:00:00+01:00;17578
2019-03-03T11:00:00+01:00;11349
2019-03-03T12:00:00+01:00;13636
2019-03-03T13:00:00+01:00;9386
2019-03-03T14:00:00+01:00;23347
2019-03-03T15:00:00+01:00;4625
2019-03-03T16:00:00+01:00;11690
2019-03-03T17:00:00+01:00;6092
2019-03-03T18:00:00+01:00;14779
2019-03-03T19:00:00+01:00;8601
2019-03-03T20:00:00+01:00;16418
2019-03-03T21:00:00+01:00;8157
2019-03-03T22:00:00+01:00;15223
2019-03-03T23:00:00+01:00;32563
2019-03-04T00:00:00+01:00;21213
2019-03-04T01:00:00+01:00;8942
2019-03-04T02:00:00+01:00;6570
2019-03-04T03:00:00+01:00;9472
2019-03-04T04:00:00+01:00;9403
2019-03-04T05:00:00+01:00;16793
2019-03-04T06:00:00+01:00;27255
2019-03-04T07:00:00+01:00;26624
2019-03-04T08:00:00+01:00;37751
2019-03-04T09:00:00+01:00;35037
2019-03-04T10:00:00+01:00;52138
2019-03-04T11:00:00+01:00;33399
2019-03-04T12:00:00+01:00;85896
2019-03-04T13:00:00+01:00;20104
2019-03-04T14:00:00+01:00;38109
2019-03-04T15:00:00+01:00;36488
2019-03-04T16:00:00+01:00;19660
2019-03-04T17:00:00+01:00;26862
2019-03-04T18:00:00+01:00;84224
2019-03-04T19:00:00+01:00;16384
2019-03-04T20:00:00+01:00;17117
2019-03-04T21:00:00+01:00;4966
2019-03-04T22:00:00+01:00;7833
2019-03-04T23:00:00+01:00;31880
2019-03-05T00:00:00+01:00;11298
2019-03-05T01:00:00+01:00;6195
2019-03-05T02:00:00+01:00;2611
2019-03-05T03:00:00+01:00;15307
2019-03-05T04:00:00+01:00;5256
2019-03-05T05:00:00+01:00;23278
2019-03-05T06:00:00+01:00;24473
2019-03-05T07:00:00+01:00;21162
2019-03-05T08:00:00+01:00;30822
2019-03-05T09:00:00+01:00;38997
2019-03-05T10:00:00+01:00;62702
2019-03-05T11:00:00+01:00;25685
2019-03-05T12:00:00+01:00;71970
2019-03-05T13:00:00+01:00;25770
2019-03-05T14:00:00+01:00;35703
2019-03-05T15:00:00+01:00;30651
2019-03-05T16:00:00+01:00;23790
2019-03-05T17:00:00+01:00;16366
2019-03-05T18:00:00+01:00;75178
2019-03-05T19:00:00+01:00;14045
2019-03-05T20:00:00+01:00;7765
2019-03-05T21:00:00+01:00;17527
2019-03-05T22:00:00+01:00;11639
2019-03-05T23:00:00+01:00;45312
2019-03-06T00:00:00+01:00;4386
2019-03-06T01:00:00+01:00;5819
2019-03-06T02:00:00+01:00;14353
2019-03-06T03:00:00+01:00;7202
2019-03-06T04:00:00+01:00;18858
2019-03-06T05:00:00+01:00;28893
2019-03-06T06:00:00+01:00;39304
2019-03-06T07:00:00+01:00;13943
2019-03-06T08:00:00+01:00;26009
2019-03-06T09:00:00+01:00;20445
2019-03-06T10:00:00+01:00;43895
2019-03-06T11:00:00+01:00;26828
2019-03-06T12:00:00+01:00;82005
2019-03-06T13:00:00+01:00;25088
2019-03-06T14:00:00+01:00;35020
2019-03-06T15:00:00+01:00;21606
2019-03-06T16:00:00+01:00;26043
2019-03-06T17:00:00+01:00;30395
2019-03-06T18:00:00+01:00;68044
2019-03-06T19:00:00+01:00;15479
2019-03-06T20:00:00+01:00;5410
2019-03-06T21:00:00+01:00;5393
2019-03-06T22:00:00+01:00;6161
2019-03-06T23:00:00+01:00;26231
2019-03-07T00:00:00+01:00;8499
2019-03-07T01:00:00+01:00;10188
2019-03-07T02:00:00+01:00;13653
2019-03-07T03:00:00+01:00;12168
2019-03-07T04:00:00+01:00;11707
2019-03-07T05:00:00+01:00;24849
2019-03-07T06:00:00+01:00;37905
2019-03-07T07:00:00+01:00;10581
2019-03-07T08:00:00+01:00;20514
2019-03-07T09:00:00+01:00;21111
2019-03-07T10:00:00+01:00;50022
2019-03-07T11:00:00+01:00;22493
2019-03-07T12:00:00+01:00;75673
2019-03-07T13:00:00+01:00;21043
2019-03-07T14:00:00+01:00;27784
2019-03-07T15:00:00+01:00;32648
2019-03-07T16:00:00+01:00;10700
2019-03-07T17:00:00+01:00;15428
2019-03-07T18:00:00+01:00;62054
2019-03-07T19:00:00+01:00;15530
2019-03-07T20:00:00+01:00;5307
2019-03-07T21:00:00+01:00;10205
2019-03-07T22:00:00+01:00;8789
2019-03-07T23:00:00+01:00;35976
2019-03-08T00:00:00+01:00;19626
2019-03-08T01:00:00+01:00;4983
2019-03-08T02:00:00+01:00;8055
2019-03-08T03:00:00+01:00;7577
2019-03-08T04:00:00+01:00;5290
2019-03-08T05:00:00+01:00;25514
2019-03-08T06:00:00+01:00;35498
2019-03-08T07:00:00+01:00;13465
2019-03-08T08:00:00+01:00;17817
2019-03-08T09:00:00+01:00;45704
2019-03-08T10:00:00+01:00;77209
2019-03-08T11:00:00+01:00;25190
2019-03-08T12:00:00+01:00;78523
2019-03-08T13:00:00+01:00;39765
2019-03-08T14:00:00+01:00;28125
2019-03-08T15:00:00+01:00;43963
2019-03-08T16:00:00+01:00;17134
2019-03-08T17:00:00+01:00;11554
2019-03-08T18:00:00+01:00;76663
2019-03-08T19:00:00+01:00;32938
2019-03-08T20:00:00+01:00;8226
2019-03-08T21:00:00+01:00;6195
2019-03-08T22:00:00+01:00;9250
2019-03-08T23:00:00+01:00;43434
2019-03-09T00:00:00+01:00;7850
2019-03-09T01:00:00+01:00;6280
2019-03-09T02:00:00+01:00;3652
2019-03-09T03:00:00+01:00;15547
2019-03-09T04:00:00+01:00;7065
2019-03-09T05:00:00+01:00;13994
2019-03-09T06:00:00+01:00;16264
2019-03-09T07:00:00+01:00;3362
2019-03-09T08:00:00+01:00;8789
2019-03-09T09:00:00+01:00;15650
2019-03-09T10:00:00+01:00;10052
2019-03-09T11:00:00+01:00;5836
2019-03-09T12:00:00+01:00;27204
2019-03-09T13:00:00+01:00;13858
2019-03-09T14:00:00+01:00;10086
2019-03-09T15:00:00+01:00;6860
2019-03-09T16:00:00+01:00;13738
2019-03-09T17:00:00+01:00;6724
2019-03-09T18:00:00+01:00;19712
2019-03-09T19:00:00+01:00;4352
2019-03-09T20:00:00+01:00;11912
2019-03-09T21:00:00+01:00;6007
2019-03-09T22:00:00+01:00;15854
2019-03-09T23:00:00+01:00;41369
2019-03-10T00:00:00+01:00;15377
2019-03-10T01:00:00+01:00;15138
2019-03-10T02:00:00+01:00;7867
2019-03-10T03:00:00+01:00;3618
2019-03-10T04:00:00+01:00;36710
2019-03-10T05:00:00+01:00;11844
2019-03-10T06:00:00+01:00;11639
2019-03-10T07:00:00+01:00;8891
2019-03-10T08:00:00+01:00;11281
2019-03-10T09:00:00+01:00;4300
2019-03-10T10:00:00+01:00;10615
2019-03-10T11:00:00+01:00;13021
2019-03-10T12:00:00+01:00;15018
2019-03-10T13:00:00+01:00;9489
2019-03-10T14:00:00+01:00;17800
2019-03-10T15:00:00+01:00;3106
2019-03-10T16:00:00+01:00;3874
2019-03-10T17:00:00+01:00;5870
2019-03-10T18:00:00+01:00;19473
2019-03-10T19:00:00+01:00;6656
2019-03-10T20:00:00+01:00;6775
2019-03-10T21:00:00+01:00;5102
2019-03-10T22:00:00+01:00;10717
2019-03-10T23:00:00+01:00;39799
2019-03-11T00:00:00+01:00;3259
2019-03-11T01:00:00+01:00;6894
2019-03-11T02:00:00+01:00;12526
2019-03-11T03:00:00+01:00;7475
2019-03-11T04:00:00+01:00;6451
2019-03-11T05:00:00+01:00;14848
2019-03-11T06:00:00+01:00;24883
2019-03-11T07:00:00+01:00;7748
2019-03-11T08:00:00+01:00;29337
2019-03-11T09:00:00+01:00;42973
2019-03-11T10:00:00+01:00;50141
2019-03-11T11:00:00+01:00;21777
2019-03-11T12:00:00+01:00;78097
2019-03-11T13:00:00+01:00;20872
2019-03-11T14:00:00+01:00;35003
2019-03-11T15:00:00+01:00;25497
2019-03-11T16:00:00+01:00;19251
2019-03-11T17:00:00+01:00;21094
2019-03-11T18:00:00+01:00;64341
2019-03-11T19:00:00+01:00;23278
2019-03-11T20:00:00+01:00;9489
2019-03-11T21:00:00+01:00;16503
2019-03-11T22:00:00+01:00;17220
2019-03-11T23:00:00+01:00;39168
2019-03-12T00:00:00+01:00;4317
2019-03-12T01:00:00+01:00;15923
2019-03-12T02:00:00+01:00;14694
2019-03-12T03:00:00+01:00;3672
2019-03-12T04:00:00+01:00;15257
2019-03-12T05:00:00+01:00;9113
2019-03-12T06:00:00+01:00;18568
2019-03-12T07:00:00+01:00;14421
2019-03-12T08:00:00+01:00;19234
2019-03-12T09:00:00+01:00;26538
2019-03-12T10:00:00+01:00;62907
2019-03-12T11:00:00+01:00;20582
2019-03-12T12:00:00+01:00;75844
2019-03-12T13:00:00+01:00;17032
2019-03-12T14:00:00+01:00;52821
2019-03-12T15:00:00+01:00;30890
2019-03-12T16:00:00+01:00;16401
2019-03-12T17:00:00+01:00;11622
2019-03-12T18:00:00+01:00;57207
2019-03-12T19:00:00+01:00;8311
2019-03-12T20:00:00+01:00;18602
2019-03-12T21:00:00+01:00;11776
2019-03-12T22:00:00+01:00;12373
2019-03-12T23:00:00+01:00;43195
2019-03-13T00:00:00+01:00;12509
