Time;CPU usage;Average number of bytes read from the disk Hard disk 1;Average number of bytes written to the disk Hard disk 1;Average number of reads from the disk Hard disk 1;Average number of writes to the disk Hard disk 1;Free disk space on /;Number of bytes received on interface Network adapter 1;Number of bytes transmitted on interface Network adapter 1;Number of packets received on interface Network adapter 1;Number of packets transmitted on interface Network adapter 1;Host memory usage;Guest memory usage;Committed storage space
2019-03-01T00:00:00+01:00;4366250000;21361100;16884787;287;238;224989820245;116838;122487;18976;21177;17199949414;8615240226;492943208533
2019-03-01T01:00:00+01:00;3302516666;535790;1157188;29;39;258606428160;86050;102997;16007;17947;17200316416;4486297463;493018583671
2019-03-01T02:00:00+01:00;2317000000;639010;1915699;20;47;258563445521;331537;103236;17691;19667;17200963037;4469153245;493181235285
2019-03-01T03:00:00+01:00;2541816666;276394;3174553;16;48;258505978743;94873;114073;17670;19858;17200840704;4071026414;493181235285
2019-03-01T04:00:00+01:00;2525300000;82414;1050504;3;37;258501470208;111342;125696;20233;22218;17200910609;3295167556;493181235285
2019-03-01T05:00:00+01:00;2006033333;6417;1153911;0;39;258501470208;83746;97467;15699;17035;17201120324;2911493597;493181235285
2019-03-01T06:00:00+01:00;2543550000;36471;1123362;1;37;258501470208;89309;107468;16223;18100;17201662088;3031660407;493181235285
2019-03-01T07:00:00+01:00;2799050000;47803;696115;2;27;258501470208;126190;148992;23034;26043;17201889280;3089000038;493181235285
2019-03-01T08:00:00+01:00;3907933333;238540;1025621;8;40;258428036915;137574;339899;25136;30527;17201364992;3527042662;493181235285
2019-03-01T09:00:00+01:00;3267750000;154931;920610;4;32;258396565504;117964;227345;20913;24264;17201050419;3297963758;493181235285
2019-03-01T10:00:00+01:00;3083200000;40526;973042;1;33;258301869260;126004;150104;22699;24411;17201015466;3429734809;493181235285
2019-03-01T11:00:00+01:00;2870983333;44219;823210;0;31;258291347456;126293;242346;23443;27486;17201172753;3343873911;493181235285
2019-03-01T12:00:00+01:00;3814766666;121070;833177;2;32;258291347456;148241;352409;26864;32228;17201697041;3610054929;493266234734
2019-03-01T13:00:00+01:00;3064150000;16537;666828;0;28;258254580633;132113;155596;24009;27001;17201871803;3478476117;493181235285
2019-03-01T14:00:00+01:00;3446116666;27033;724275;1;27;258186299392;121907;141841;21518;24143;17201749469;3535606033;493181235285
2019-03-01T15:00:00+01:00;3038100000;11861;820923;0;31;258186299392;109687;130594;20044;22464;17201749469;3449710182;493181235285
2019-03-01T16:00:00+01:00;3424016666;94907;1235899;2;39;258186299392;114210;135867;21101;23743;17201487325;3403974792;493181235285
2019-03-01T17:00:00+01:00;2473833333;18756;1398698;0;42;258172302267;85179;101939;15917;17595;17200840704;3518461815;493181235285
2019-03-01T18:00:00+01:00;2414466666;7918;1091310;0;36;258081320960;96273;113902;17315;19309;17200840704;3180645580;493181235285
2019-03-01T19:00:00+01:00;2035900000;12646;1186901;0;41;258081320960;89361;104806;16597;18696;17200910609;2934335078;493181235285
2019-03-01T20:00:00+01:00;2468616666;3635;1174562;0;40;258081320960;103697;123289;19306;21772;17201277610;3386795622;493181235285
2019-03-01T21:00:00+01:00;1923783333;2440;1372928;0;44;258081320960;73642;87244;13634;15178;17200963037;3157681766;493181235285
2019-03-01T22:00:00+01:00;2258083333;6263;1144149;0;38;258081320960;90009;108458;16935;18739;17200928085;3172117162;493181235285
2019-03-01T23:00:00+01:00;2201416666;29064;1206272;1;42;258062062523;88456;92433;14901;16502;17200980514;2954415308;493181235285
2019-03-02T00:00:00+01:00;4593250000;32264089;19306325;334;254;228044143820;97536;109806;16749;18766;17199844556;9437009237;493181235285
2019-03-02T01:00:00+01:00;3048600000;471483;1475310;28;40;248810881024;85196;98269;15527;17216;17199774651;4758402935;493184118869
2019-03-02T02:00:00+01:00;2243066666;215244;1208354;10;37;248810881024;80896;97280;14821;16792;17199599889;3409689531;493184381013
2019-03-02T03:00:00+01:00;2499350000;420454;2529109;19;53;248761652155;89036;105932;16666;18561;17200176605;4340213350;493184381013
2019-03-02T04:00:00+01:00;2563466666;273629;1223150;5;38;248744718336;419498;298990;22724;24749;17200194082;3217852552;493184381013
2019-03-02T05:00:00+01:00;1795866666;5734;1225881;0;41;248744718336;68608;80418;12884;14189;17196436684;2788233489;493184381013
2019-03-02T06:00:00+01:00;2551416666;97450;2093329;1;50;248713280034;682973;122675;23162;24619;17198743552;3481219891;493184381013
2019-03-02T07:00:00+01:00;1990450000;10820;1158297;0;40;248716328960;74222;87603;13780;15426;17197048354;3129038165;493184381013
2019-03-02T08:00:00+01:00;2738516666;179217;1027549;1;35;248716328960;105028;296277;18911;23503;17198603741;3169233578;493184381013
2019-03-02T09:00:00+01:00;2077116666;6297;1273531;0;43;248716328960;73676;86220;13712;15106;17197572642;2871333137;493184381013
2019-03-02T10:00:00+01:00;2446116666;14762;1098018;0;37;248716328960;99635;116394;18420;20397;17198621218;2879948936;493184381013
2019-03-02T11:00:00+01:00;2228600000;13380;1106534;0;38;248683086438;89531;107281;16890;19133;17197485260;2920109397;493227381998
2019-03-02T12:00:00+01:00;2688250000;114346;986009;1;33;248611352576;110540;123904;19508;21397;17198044501;3137688917;493231335901
2019-03-02T13:00:00+01:00;1964916666;5068;1178862;0;37;248611352576;73181;86886;13639;15276;17198708599;3212120337;493428738001
2019-03-02T14:00:00+01:00;2320533333;6758;1176883;0;38;248611352576;74274;88166;13338;14860;17198778504;2988738696;493504235497
2019-03-02T15:00:00+01:00;2256783333;5358;1045998;0;37;248611352576;93900;112657;17259;19346;17199460078;3166280089;494041106409
2019-03-02T16:00:00+01:00;2605883333;26316;857088;1;32;248609603788;120268;139400;21505;25044;17199792128;3257978060;494309541865
2019-03-02T17:00:00+01:00;1939350000;2525;1083204;0;36;248506425344;70331;82414;13255;15284;17199792128;2965722453;494743232898
2019-03-02T18:00:00+01:00;2546116666;11520;1111398;0;36;248506425344;87057;104840;15566;17475;17199809604;2914324753;494863189993
2019-03-02T19:00:00+01:00;2197966666;3310;1156181;0;39;248506425344;84172;96273;15523;17138;17199547460;2991622280;495168535324
2019-03-02T20:00:00+01:00;2514183333;4338;902109;0;33;248506425344;110199;128426;20094;22839;17199809604;3189226427;494673883833
2019-03-02T21:00:00+01:00;1924150000;5102;1130496;0;38;248506425344;73659;88576;13878;15765;17199792128;3043159790;493184407745
2019-03-02T22:00:00+01:00;2266316666;100556;1704977;1;49;248506425344;75366;89344;14074;15037;17200124177;3152019456;493184407763
2019-03-02T23:00:00+01:00;2140733333;2184;1389789;0;42;248471434581;86169;80622;13058;14365;17201574707;3395254135;493184407763
2019-03-03T00:00:00+01:00;4479316666;21984136;16924040;277;238;227046377676;114124;120627;18679;20699;17199984366;7813429111;493184407763
2019-03-03T01:00:00+01:00;3076766666;372019;1552332;20;44;248805230592;66679;78336;12617;13966;17200089224;4391820765;493184407763
2019-03-03T02:00:00+01:00;2155066666;167372;1097523;8;37;248805230592;88166;103082;16052;17644;17200858180;3572917862;493184407763
2019-03-03T03:00:00+01:00;2421866666;392038;2474513;18;50;248765515707;86937;102195;15863;17844;17200823227;4334498611;493184407763
2019-03-03T04:00:00+01:00;2605483333;131771;1306521;6;43;248752570368;94839;107093;17364;18906;17200840704;3363884236;493251760467
2019-03-03T05:00:00+01:00;1960983333;5888;1256157;0;42;248752570368;79086;92945;14804;16574;17200665941;2942915925;493184407251
2019-03-03T06:00:00+01:00;2342600000;20377;1156044;0;38;248752570368;89565;107383;16783;19090;17200700893;3174843460;493184407251
2019-03-03T07:00:00+01:00;1956166666;11520;1655637;0;41;248753540505;506248;110950;20362;21755;17200840704;3223532339;493184407251
2019-03-03T08:00:00+01:00;2700316666;10410;778274;0;29;248878223360;89958;106461;16412;18746;17200840704;3157734195;493184407251
2019-03-03T09:00:00+01:00;1986100000;9403;1187413;0;39;248878223360;76339;91050;14022;15669;17200928085;2965827310;493184407251
2019-03-03T10:00:00+01:00;2358633333;10188;973260;0;33;248878223360;87244;104704;16061;17525;17200421273;3180610628;493184407251
2019-03-03T11:00:00+01:00;1947633333;11980;1138670;0;38;248846749491;77619;90880;14387;16054;17199023172;3000238080;493184407251
2019-03-03T12:00:00+01:00;2735466666;21230;1024426;0;36;248773310464;106410;126873;19120;21801;17197642547;3240728985;493184407251
2019-03-03T13:00:00+01:00;1957966666;3123;1125785;0;39;248773310464;72738;85913;13660;14966;17198743552;3031782741;493184407251
2019-03-03T14:00:00+01:00;2368950000;26487;1208132;0;39;248773310464;81408;112384;14959;16496;17192120046;3117608686;493184407251
2019-03-03T15:00:00+01:00;2143383333;3976;1035246;0;35;248773310464;81851;97024;15134;17083;17196506589;2848439227;493184407251
2019-03-03T16:00:00+01:00;2760150000;15223;851046;0;32;248773310464;118852;140782;21737;24774;17199407650;3249379737;493184407251
2019-03-03T17:00:00+01:00;2053250000;4334;1377416;0;44;248757566156;75298;85930;13588;15145;17198691123;3017382297;493184407251
