Time;Number of bytes received on interface Network adapter 1
2019-03-01T00:00:00+01:00;116838
2019-03-01T01:00:00+01:00;86050
2019-03-01T02:00:00+01:00;331537
2019-03-01T03:00:00+01:00;94873
2019-03-01T04:00:00+01:00;111342
2019-03-01T05:00:00+01:00;83746
2019-03-01T06:00:00+01:00;89309
2019-03-01T07:00:00+01:00;126190
2019-03-01T08:00:00+01:00;137574
2019-03-01T09:00:00+01:00;117964
2019-03-01T10:00:00+01:00;126004
2019-03-01T11:00:00+01:00;126293
2019-03-01T12:00:00+01:00;148241
2019-03-01T13:00:00+01:00;132113
2019-03-01T14:00:00+01:00;121907
2019-03-01T15:00:00+01:00;109687
2019-03-01T16:00:00+01:00;114210
2019-03-01T17:00:00+01:00;85179
2019-03-01T18:00:00+01:00;96273
2019-03-01T19:00:00+01:00;89361
2019-03-01T20:00:00+01:00;103697
2019-03-01T21:00:00+01:00;73642
2019-03-01T22:00:00+01:00;90009
2019-03-01T23:00:00+01:00;88456
2019-03-02T00:00:00+01:00;97536
2019-03-02T01:00:00+01:00;85196
2019-03-02T02:00:00+01:00;80896
2019-03-02T03:00:00+01:00;89036
2019-03-02T04:00:00+01:00;419498
2019-03-02T05:00:00+01:00;68608
2019-03-02T06:00:00+01:00;682973
2019-03-02T07:00:00+01:00;74222
2019-03-02T08:00:00+01:00;105028
2019-03-02T09:00:00+01:00;73676
2019-03-02T10:00:00+01:00;99635
2019-03-02T11:00:00+01:00;89531
2019-03-02T12:00:00+01:00;110540
2019-03-02T13:00:00+01:00;73181
2019-03-02T14:00:00+01:00;74274
2019-03-02T15:00:00+01:00;93900
2019-03-02T16:00:00+01:00;120268
2019-03-02T17:00:00+01:00;70331
2019-03-02T18:00:00+01:00;87057
2019-03-02T19:00:00+01:00;84172
2019-03-02T20:00:00+01:00;110199
2019-03-02T21:00:00+01:00;73659
2019-03-02T22:00:00+01:00;75366
2019-03-02T23:00:00+01:00;86169
2019-03-03T00:00:00+01:00;114124
2019-03-03T01:00:00+01:00;66679
2019-03-03T02:00:00+01:00;88166
2019-03-03T03:00:00+01:00;86937
2019-03-03T04:00:00+01:00;94839
2019-03-03T05:00:00+01:00;79086
2019-03-03T06:00:00+01:00;89565
2019-03-03T07:00:00+01:00;506248
2019-03-03T08:00:00+01:00;89958
2019-03-03T09:00:00+01:00;76339
2019-03-03T10:00:00+01:00;87244
2019-03-03T11:00:00+01:00;77619
2019-03-03T12:00:00+01:00;106410
2019-03-03T13:00:00+01:00;72738
2019-03-03T14:00:00+01:00;81408
2019-03-03T15:00:00+01:00;81851
2019-03-03T16:00:00+01:00;118852
2019-03-03T17:00:00+01:00;75298
2019-03-03T18:00:00+01:00;95402
2019-03-03T19:00:00+01:00;85111
2019-03-03T20:00:00+01:00;97024
2019-03-03T21:00:00+01:00;83712
2019-03-03T22:00:00+01:00;91955
2019-03-03T23:00:00+01:00;87364
2019-03-04T00:00:00+01:00;103150
2019-03-04T01:00:00+01:00;69632
2019-03-04T02:00:00+01:00;86101
2019-03-04T03:00:00+01:00;82739
2019-03-04T04:00:00+01:00;199936
2019-03-04T05:00:00+01:00;67481
2019-03-04T06:00:00+01:00;91443
2019-03-04T07:00:00+01:00;107332
2019-03-04T08:00:00+01:00;730009
2019-03-04T09:00:00+01:00;130781
2019-03-04T10:00:00+01:00;116428
2019-03-04T11:00:00+01:00;150528
2019-03-04T12:00:00+01:00;144930
2019-03-04T13:00:00+01:00;152934
2019-03-04T14:00:00+01:00;121856
2019-03-04T15:00:00+01:00;140561
2019-03-04T16:00:00+01:00;125952
2019-03-04T17:00:00+01:00;148462
2019-03-04T18:00:00+01:00;97262
2019-03-04T19:00:00+01:00;94395
2019-03-04T20:00:00+01:00;74939
2019-03-04T21:00:00+01:00;116548
2019-03-04T22:00:00+01:00;78045
2019-03-04T23:00:00+01:00;111086
2019-03-05T00:00:00+01:00;107707
2019-03-05T01:00:00+01:00;102536
2019-03-05T02:00:00+01:00;78813
2019-03-05T03:00:00+01:00;99557
2019-03-05T04:00:00+01:00;411682
2019-03-05T05:00:00+01:00;2061482
2019-03-05T06:00:00+01:00;92876
2019-03-05T07:00:00+01:00;120627
2019-03-05T08:00:00+01:00;709802
2019-03-05T09:00:00+01:00;154094
2019-03-05T10:00:00+01:00;110882
2019-03-05T11:00:00+01:00;119022
2019-03-05T12:00:00+01:00;131310
2019-03-05T13:00:00+01:00;140509
2019-03-05T14:00:00+01:00;175496
2019-03-05T15:00:00+01:00;126941
2019-03-05T16:00:00+01:00;119552
2019-03-05T17:00:00+01:00;119739
2019-03-05T18:00:00+01:00;133461
2019-03-05T19:00:00+01:00;85026
2019-03-05T20:00:00+01:00;80145
2019-03-05T21:00:00+01:00;97297
2019-03-05T22:00:00+01:00;121821
2019-03-05T23:00:00+01:00;113885
2019-03-06T00:00:00+01:00;91255
2019-03-06T01:00:00+01:00;85640
2019-03-06T02:00:00+01:00;117452
2019-03-06T03:00:00+01:00;89548
2019-03-06T04:00:00+01:00;1306299
2019-03-06T05:00:00+01:00;86903
2019-03-06T06:00:00+01:00;87227
2019-03-06T07:00:00+01:00;50056
2019-03-06T08:00:00+01:00;56081
2019-03-06T09:00:00+01:00;71850
2019-03-06T10:00:00+01:00;270404
2019-03-06T11:00:00+01:00;135987
2019-03-06T12:00:00+01:00;59357
2019-03-06T13:00:00+01:00;63744
2019-03-06T14:00:00+01:00;238933
2019-03-06T15:00:00+01:00;146739
2019-03-06T16:00:00+01:00;46540
2019-03-06T17:00:00+01:00;48878
2019-03-06T18:00:00+01:00;244411
2019-03-06T19:00:00+01:00;133154
2019-03-06T20:00:00+01:00;21640
2019-03-06T21:00:00+01:00;29269
2019-03-06T22:00:00+01:00;212138
2019-03-06T23:00:00+01:00;137762
2019-03-07T00:00:00+01:00;33092
2019-03-07T01:00:00+01:00;19200
2019-03-07T02:00:00+01:00;202052
2019-03-07T03:00:00+01:00;132454
2019-03-07T04:00:00+01:00;534937
2019-03-07T05:00:00+01:00;22050
2019-03-07T06:00:00+01:00;197717
2019-03-07T07:00:00+01:00;147848
2019-03-07T08:00:00+01:00;81390
2019-03-07T09:00:00+01:00;70485
2019-03-07T10:00:00+01:00;241442
2019-03-07T11:00:00+01:00;164164
2019-03-07T12:00:00+01:00;81561
2019-03-07T13:00:00+01:00;71116
2019-03-07T14:00:00+01:00;220177
2019-03-07T15:00:00+01:00;171298
2019-03-07T16:00:00+01:00;76936
2019-03-07T17:00:00+01:00;61934
2019-03-07T18:00:00+01:00;178534
2019-03-07T19:00:00+01:00;143581
2019-03-07T20:00:00+01:00;35003
2019-03-07T21:00:00+01:00;37239
2019-03-07T22:00:00+01:00;177766
2019-03-07T23:00:00+01:00;142438
2019-03-08T00:00:00+01:00;44868
2019-03-08T01:00:00+01:00;28672
2019-03-08T02:00:00+01:00;166024
2019-03-08T03:00:00+01:00;1012036
2019-03-08T04:00:00+01:00;34338
2019-03-08T05:00:00+01:00;28535
2019-03-08T06:00:00+01:00;150681
2019-03-08T07:00:00+01:00;174438
2019-03-08T08:00:00+01:00;90385
2019-03-08T09:00:00+01:00;71202
2019-03-08T10:00:00+01:00;162935
2019-03-08T11:00:00+01:00;184012
2019-03-08T12:00:00+01:00;101085
2019-03-08T13:00:00+01:00;78370
2019-03-08T14:00:00+01:00;165905
2019-03-08T15:00:00+01:00;181282
2019-03-08T16:00:00+01:00;70246
2019-03-08T17:00:00+01:00;42427
2019-03-08T18:00:00+01:00;140834
2019-03-08T19:00:00+01:00;176981
2019-03-08T20:00:00+01:00;43912
2019-03-08T21:00:00+01:00;28296
2019-03-08T22:00:00+01:00;132642
2019-03-08T23:00:00+01:00;148531
2019-03-09T00:00:00+01:00;60364
2019-03-09T01:00:00+01:00;25412
2019-03-09T02:00:00+01:00;115729
2019-03-09T03:00:00+01:00;143547
2019-03-09T04:00:00+01:00;96307
2019-03-09T05:00:00+01:00;21196
2019-03-09T06:00:00+01:00;114636
2019-03-09T07:00:00+01:00;452420
2019-03-09T08:00:00+01:00;50278
2019-03-09T09:00:00+01:00;27921
2019-03-09T10:00:00+01:00;120832
2019-03-09T11:00:00+01:00;156108
2019-03-09T12:00:00+01:00;50892
2019-03-09T13:00:00+01:00;25821
2019-03-09T14:00:00+01:00;116172
2019-03-09T15:00:00+01:00;159385
2019-03-09T16:00:00+01:00;53009
2019-03-09T17:00:00+01:00;24132
2019-03-09T18:00:00+01:00;109892
2019-03-09T19:00:00+01:00;166092
2019-03-09T20:00:00+01:00;53094
2019-03-09T21:00:00+01:00;28654
2019-03-09T22:00:00+01:00;112537
2019-03-09T23:00:00+01:00;187392
2019-03-10T00:00:00+01:00;82397
2019-03-10T01:00:00+01:00;680874
2019-03-10T02:00:00+01:00;108765
2019-03-10T03:00:00+01:00;183210
2019-03-10T04:00:00+01:00;381457
2019-03-10T05:00:00+01:00;23876
2019-03-10T06:00:00+01:00;102331
2019-03-10T07:00:00+01:00;171127
2019-03-10T08:00:00+01:00;56388
2019-03-10T09:00:00+01:00;33280
2019-03-10T10:00:00+01:00;117742
2019-03-10T11:00:00+01:00;154948
2019-03-10T12:00:00+01:00;73233
2019-03-10T13:00:00+01:00;27374
2019-03-10T14:00:00+01:00;98781
2019-03-10T15:00:00+01:00;158190
2019-03-10T16:00:00+01:00;55995
2019-03-10T17:00:00+01:00;27784
2019-03-10T18:00:00+01:00;99123
2019-03-10T19:00:00+01:00;148377
2019-03-10T20:00:00+01:00;57497
2019-03-10T21:00:00+01:00;39065
2019-03-10T22:00:00+01:00;96546
2019-03-10T23:00:00+01:00;156603
2019-03-11T00:00:00+01:00;97348
2019-03-11T01:00:00+01:00;31829
2019-03-11T02:00:00+01:00;97160
2019-03-11T03:00:00+01:00;748817
2019-03-11T04:00:00+01:00;422656
2019-03-11T05:00:00+01:00;44868
2019-03-11T06:00:00+01:00;103406
2019-03-11T07:00:00+01:00;194372
2019-03-11T08:00:00+01:00;136584
2019-03-11T09:00:00+01:00;100820
2019-03-11T10:00:00+01:00;113117
2019-03-11T11:00:00+01:00;185668
2019-03-11T12:00:00+01:00;129194
2019-03-11T13:00:00+01:00;97399
2019-03-11T14:00:00+01:00;147251
2019-03-11T15:00:00+01:00;157286
2019-03-11T16:00:00+01:00;130099
2019-03-11T17:00:00+01:00;82124
2019-03-11T18:00:00+01:00;124023
2019-03-11T19:00:00+01:00;161689
2019-03-11T20:00:00+01:00;81476
2019-03-11T21:00:00+01:00;60416
2019-03-11T22:00:00+01:00;86357
2019-03-11T23:00:00+01:00;142848
2019-03-12T00:00:00+01:00;98679
2019-03-12T01:00:00+01:00;51285
2019-03-12T02:00:00+01:00;751240
2019-03-12T03:00:00+01:00;156795
2019-03-12T04:00:00+01:00;83950
2019-03-12T05:00:00+01:00;57873
2019-03-12T06:00:00+01:00;97058
2019-03-12T07:00:00+01:00;154163
2019-03-12T08:00:00+01:00;144230
2019-03-12T09:00:00+01:00;107656
2019-03-12T10:00:00+01:00;133461
2019-03-12T11:00:00+01:00;182016
2019-03-12T12:00:00+01:00;134058
2019-03-12T13:00:00+01:00;111940
2019-03-12T14:00:00+01:00;141516
2019-03-12T15:00:00+01:00;143052
2019-03-12T16:00:00+01:00;115848
2019-03-12T17:00:00+01:00;105796
2019-03-12T18:00:00+01:00;131840
2019-03-12T19:00:00+01:00;113083
2019-03-12T20:00:00+01:00;56593
2019-03-12T21:00:00+01:00;52394
2019-03-12T22:00:00+01:00;57821
2019-03-12T23:00:00+01:00;93115
2019-03-13T00:00:00+01:00;52189
2019-03-13T01:00:00+01:00;54647
2019-03-13T02:00:00+01:00;58828
2019-03-13T03:00:00+01:00;584072
2019-03-13T04:00:00+01:00;48076
2019-03-13T05:00:00+01:00;49561
2019-03-13T06:00:00+01:00;152388
2019-03-13T07:00:00+01:00;118579
2019-03-13T08:00:00+01:00;116224
2019-03-13T09:00:00+01:00;82517
2019-03-13T10:00:00+01:00;184524
2019-03-13T11:00:00+01:00;139417
2019-03-13T12:00:00+01:00;113510
2019-03-13T13:00:00+01:00;82329
2019-03-13T14:00:00+01:00;177988
2019-03-13T15:00:00+01:00;132505
2019-03-13T16:00:00+01:00;103185
2019-03-13T17:00:00+01:00;87603
2019-03-13T18:00:00+01:00;182749
2019-03-13T19:00:00+01:00;94139
2019-03-13T20:00:00+01:00;48332
2019-03-13T21:00:00+01:00;38024
2019-03-13T22:00:00+01:00;43588
2019-03-13T23:00:00+01:00;41608
2019-03-14T00:00:00+01:00;35464
2019-03-14T01:00:00+01:00;32563
2019-03-14T02:00:00+01:00;36437
2019-03-14T03:00:00+01:00;35976
2019-03-14T04:00:00+01:00;402397
2019-03-14T05:00:00+01:00;37700
2019-03-14T06:00:00+01:00;190378
2019-03-14T07:00:00+01:00;77636
2019-03-14T08:00:00+01:00;97809
2019-03-14T09:00:00+01:00;85009
2019-03-14T10:00:00+01:00;214067
2019-03-14T11:00:00+01:00;106188
2019-03-14T12:00:00+01:00;120422
2019-03-14T13:00:00+01:00;89446
2019-03-14T14:00:00+01:00;235929
2019-03-14T15:00:00+01:00;96494
2019-03-14T16:00:00+01:00;93354
2019-03-14T17:00:00+01:00;69222
2019-03-14T18:00:00+01:00;160307
2019-03-14T19:00:00+01:00;98577
2019-03-14T20:00:00+01:00;47462
2019-03-14T21:00:00+01:00;44817
2019-03-14T22:00:00+01:00;36590
2019-03-14T23:00:00+01:00;51251
2019-03-15T00:00:00+01:00;45021
2019-03-15T01:00:00+01:00;26470
2019-03-15T02:00:00+01:00;27767
2019-03-15T03:00:00+01:00;91494
2019-03-15T04:00:00+01:00;26760
2019-03-15T05:00:00+01:00;250129
2019-03-15T06:00:00+01:00;231185
2019-03-15T07:00:00+01:00;84241
2019-03-15T08:00:00+01:00;81954
2019-03-15T09:00:00+01:00;67328
2019-03-15T10:00:00+01:00;218504
2019-03-15T11:00:00+01:00;91306
2019-03-15T12:00:00+01:00;76441
2019-03-15T13:00:00+01:00;76202
2019-03-15T14:00:00+01:00;237209
2019-03-15T15:00:00+01:00;103577
2019-03-15T16:00:00+01:00;63965
2019-03-15T17:00:00+01:00;52155
2019-03-15T18:00:00+01:00;170820
2019-03-15T19:00:00+01:00;110813
2019-03-15T20:00:00+01:00;30993
2019-03-15T21:00:00+01:00;26641
2019-03-15T22:00:00+01:00;19865
2019-03-15T23:00:00+01:00;44919
2019-03-16T00:00:00+01:00;26385
2019-03-16T01:00:00+01:00;19916
2019-03-16T02:00:00+01:00;16401
2019-03-16T03:00:00+01:00;43298
2019-03-16T04:00:00+01:00;486570
2019-03-16T05:00:00+01:00;20770
2019-03-16T06:00:00+01:00;15906
2019-03-16T07:00:00+01:00;44014
2019-03-16T08:00:00+01:00;27392
2019-03-16T09:00:00+01:00;30890
2019-03-16T10:00:00+01:00;24627
2019-03-16T11:00:00+01:00;48930
2019-03-16T12:00:00+01:00;22732
2019-03-16T13:00:00+01:00;27426
2019-03-16T14:00:00+01:00;22391
2019-03-16T15:00:00+01:00;49510
2019-03-16T16:00:00+01:00;31317
2019-03-16T17:00:00+01:00;28125
2019-03-16T18:00:00+01:00;33843
2019-03-16T19:00:00+01:00;47342
2019-03-16T20:00:00+01:00;36693
2019-03-16T21:00:00+01:00;30429
2019-03-16T22:00:00+01:00;24866
2019-03-16T23:00:00+01:00;51916
2019-03-17T00:00:00+01:00;35976
2019-03-17T01:00:00+01:00;30600
2019-03-17T02:00:00+01:00;18090
2019-03-17T03:00:00+01:00;81220
2019-03-17T04:00:00+01:00;632507
2019-03-17T05:00:00+01:00;25139
2019-03-17T06:00:00+01:00;463581
2019-03-17T07:00:00+01:00;31726
2019-03-17T08:00:00+01:00;39014
2019-03-17T09:00:00+01:00;22391
2019-03-17T10:00:00+01:00;23773
2019-03-17T11:00:00+01:00;38843
2019-03-17T12:00:00+01:00;32443
2019-03-17T13:00:00+01:00;23944
2019-03-17T14:00:00+01:00;71236
2019-03-17T15:00:00+01:00;78660
2019-03-17T16:00:00+01:00;144093
2019-03-17T17:00:00+01:00;24251
2019-03-17T18:00:00+01:00;61798
2019-03-17T19:00:00+01:00;75741
2019-03-17T20:00:00+01:00;140714
2019-03-17T21:00:00+01:00;27682
2019-03-17T22:00:00+01:00;24388
2019-03-17T23:00:00+01:00;45158
2019-03-18T00:00:00+01:00;140834
2019-03-18T01:00:00+01:00;265403
2019-03-18T02:00:00+01:00;31744
2019-03-18T03:00:00+01:00;30276
2019-03-18T04:00:00+01:00;694340
2019-03-18T05:00:00+01:00;160153
2019-03-18T06:00:00+01:00;117145
2019-03-18T07:00:00+01:00;66713
2019-03-18T08:00:00+01:00;97604
2019-03-18T09:00:00+01:00;241271
2019-03-18T10:00:00+01:00;153975
2019-03-18T11:00:00+01:00;82858
2019-03-18T12:00:00+01:00;88934
2019-03-18T13:00:00+01:00;202786
2019-03-18T14:00:00+01:00;168567
2019-03-18T15:00:00+01:00;78882
2019-03-18T16:00:00+01:00;91101
2019-03-18T17:00:00+01:00;186641
2019-03-18T18:00:00+01:00;135168
2019-03-18T19:00:00+01:00;48810
2019-03-18T20:00:00+01:00;34525
2019-03-18T21:00:00+01:00;156381
2019-03-18T22:00:00+01:00;44868
2019-03-18T23:00:00+01:00;50875
2019-03-19T00:00:00+01:00;38314
2019-03-19T01:00:00+01:00;137864
2019-03-19T02:00:00+01:00;39219
