Time;Average number of bytes written to the disk Hard disk 1
2019-03-01T00:00:00+01:00;16884787
2019-03-01T01:00:00+01:00;1157188
2019-03-01T02:00:00+01:00;1915699
2019-03-01T03:00:00+01:00;3174553
2019-03-01T04:00:00+01:00;1050504
2019-03-01T05:00:00+01:00;1153911
2019-03-01T06:00:00+01:00;1123362
2019-03-01T07:00:00+01:00;696115
2019-03-01T08:00:00+01:00;1025621
2019-03-01T09:00:00+01:00;920610
2019-03-01T10:00:00+01:00;973042
2019-03-01T11:00:00+01:00;823210
2019-03-01T12:00:00+01:00;833177
2019-03-01T13:00:00+01:00;666828
2019-03-01T14:00:00+01:00;724275
2019-03-01T15:00:00+01:00;820923
2019-03-01T16:00:00+01:00;1235899
2019-03-01T17:00:00+01:00;1398698
2019-03-01T18:00:00+01:00;1091310
2019-03-01T19:00:00+01:00;1186901
2019-03-01T20:00:00+01:00;1174562
2019-03-01T21:00:00+01:00;1372928
2019-03-01T22:00:00+01:00;1144149
2019-03-01T23:00:00+01:00;1206272
2019-03-02T00:00:00+01:00;19306325
2019-03-02T01:00:00+01:00;1475310
2019-03-02T02:00:00+01:00;1208354
2019-03-02T03:00:00+01:00;2529109
2019-03-02T04:00:00+01:00;1223150
2019-03-02T05:00:00+01:00;1225881
2019-03-02T06:00:00+01:00;2093329
2019-03-02T07:00:00+01:00;1158297
2019-03-02T08:00:00+01:00;1027549
2019-03-02T09:00:00+01:00;1273531
2019-03-02T10:00:00+01:00;1098018
2019-03-02T11:00:00+01:00;1106534
2019-03-02T12:00:00+01:00;986009
2019-03-02T13:00:00+01:00;1178862
2019-03-02T14:00:00+01:00;1176883
2019-03-02T15:00:00+01:00;1045998
2019-03-02T16:00:00+01:00;857088
2019-03-02T17:00:00+01:00;1083204
2019-03-02T18:00:00+01:00;1111398
2019-03-02T19:00:00+01:00;1156181
2019-03-02T20:00:00+01:00;902109
2019-03-02T21:00:00+01:00;1130496
2019-03-02T22:00:00+01:00;1704977
2019-03-02T23:00:00+01:00;1389789
2019-03-03T00:00:00+01:00;16924040
2019-03-03T01:00:00+01:00;1552332
2019-03-03T02:00:00+01:00;1097523
2019-03-03T03:00:00+01:00;2474513
2019-03-03T04:00:00+01:00;1306521
2019-03-03T05:00:00+01:00;1256157
2019-03-03T06:00:00+01:00;1156044
2019-03-03T07:00:00+01:00;1655637
2019-03-03T08:00:00+01:00;778274
2019-03-03T09:00:00+01:00;1187413
2019-03-03T10:00:00+01:00;973260
2019-03-03T11:00:00+01:00;1138670
2019-03-03T12:00:00+01:00;1024426
2019-03-03T13:00:00+01:00;1125785
2019-03-03T14:00:00+01:00;1208132
2019-03-03T15:00:00+01:00;1035246
2019-03-03T16:00:00+01:00;851046
2019-03-03T17:00:00+01:00;1377416
2019-03-03T18:00:00+01:00;1045521
2019-03-03T19:00:00+01:00;1082641
2019-03-03T20:00:00+01:00;953651
2019-03-03T21:00:00+01:00;1160925
2019-03-03T22:00:00+01:00;1062570
2019-03-03T23:00:00+01:00;1291639
2019-03-04T00:00:00+01:00;15681075
2019-03-04T01:00:00+01:00;1483707
2019-03-04T02:00:00+01:00;1241582
2019-03-04T03:00:00+01:00;2261162
2019-03-04T04:00:00+01:00;1573051
2019-03-04T05:00:00+01:00;1259281
2019-03-04T06:00:00+01:00;1008503
2019-03-04T07:00:00+01:00;745437
2019-03-04T08:00:00+01:00;4115473
2019-03-04T09:00:00+01:00;904567
2019-03-04T10:00:00+01:00;833809
2019-03-04T11:00:00+01:00;1286843
2019-03-04T12:00:00+01:00;1135342
2019-03-04T13:00:00+01:00;904891
2019-03-04T14:00:00+01:00;952678
2019-03-04T15:00:00+01:00;679833
2019-03-04T16:00:00+01:00;956467
2019-03-04T17:00:00+01:00;917333
2019-03-04T18:00:00+01:00;1352857
2019-03-04T19:00:00+01:00;1405166
2019-03-04T20:00:00+01:00;834235
2019-03-04T21:00:00+01:00;1058747
2019-03-04T22:00:00+01:00;1263616
2019-03-04T23:00:00+01:00;1095168
2019-03-05T00:00:00+01:00;16436275
2019-03-05T01:00:00+01:00;1177514
2019-03-05T02:00:00+01:00;1216904
2019-03-05T03:00:00+01:00;1964708
2019-03-05T04:00:00+01:00;2059776
2019-03-05T05:00:00+01:00;14561553
2019-03-05T06:00:00+01:00;1111500
2019-03-05T07:00:00+01:00;836113
2019-03-05T08:00:00+01:00;1773243
2019-03-05T09:00:00+01:00;790357
2019-03-05T10:00:00+01:00;1208832
2019-03-05T11:00:00+01:00;987545
2019-03-05T12:00:00+01:00;950528
2019-03-05T13:00:00+01:00;967748
2019-03-05T14:00:00+01:00;842410
2019-03-05T15:00:00+01:00;748151
2019-03-05T16:00:00+01:00;898833
2019-03-05T17:00:00+01:00;829081
2019-03-05T18:00:00+01:00;999645
2019-03-05T19:00:00+01:00;1325192
2019-03-05T20:00:00+01:00;1032840
2019-03-05T21:00:00+01:00;1222570
2019-03-05T22:00:00+01:00;4570965
2019-03-05T23:00:00+01:00;1162018
2019-03-06T00:00:00+01:00;17029495
2019-03-06T01:00:00+01:00;2326920
2019-03-06T02:00:00+01:00;4421734
2019-03-06T03:00:00+01:00;11075788
2019-03-06T04:00:00+01:00;11877137
2019-03-06T05:00:00+01:00;10181171
2019-03-06T06:00:00+01:00;9335534
2019-03-06T07:00:00+01:00;9673984
2019-03-06T08:00:00+01:00;9240251
2019-03-06T09:00:00+01:00;10631526
2019-03-06T10:00:00+01:00;4993314
2019-03-06T11:00:00+01:00;3836535
2019-03-06T12:00:00+01:00;3426389
2019-03-06T13:00:00+01:00;2282137
2019-03-06T14:00:00+01:00;2423142
2019-03-06T15:00:00+01:00;2532710
2019-03-06T16:00:00+01:00;2311133
2019-03-06T17:00:00+01:00;1505518
2019-03-06T18:00:00+01:00;1747933
2019-03-06T19:00:00+01:00;2215918
2019-03-06T20:00:00+01:00;1361305
2019-03-06T21:00:00+01:00;606054
2019-03-06T22:00:00+01:00;944878
2019-03-06T23:00:00+01:00;836147
2019-03-07T00:00:00+01:00;17611758
2019-03-07T01:00:00+01:00;676983
2019-03-07T02:00:00+01:00;1081719
2019-03-07T03:00:00+01:00;2441796
2019-03-07T04:00:00+01:00;3359795
2019-03-07T05:00:00+01:00;359509
2019-03-07T06:00:00+01:00;827989
2019-03-07T07:00:00+01:00;820616
2019-03-07T08:00:00+01:00;726766
2019-03-07T09:00:00+01:00;1218918
2019-03-07T10:00:00+01:00;1302647
2019-03-07T11:00:00+01:00;1006455
2019-03-07T12:00:00+01:00;943308
2019-03-07T13:00:00+01:00;1149593
2019-03-07T14:00:00+01:00;1059925
2019-03-07T15:00:00+01:00;1412283
2019-03-07T16:00:00+01:00;1111859
2019-03-07T17:00:00+01:00;1082299
2019-03-07T18:00:00+01:00;888849
2019-03-07T19:00:00+01:00;931430
2019-03-07T20:00:00+01:00;746205
2019-03-07T21:00:00+01:00;895863
2019-03-07T22:00:00+01:00;799044
2019-03-07T23:00:00+01:00;890641
2019-03-08T00:00:00+01:00;18821222
2019-03-08T01:00:00+01:00;792507
2019-03-08T02:00:00+01:00;1141248
2019-03-08T03:00:00+01:00;3185066
2019-03-08T04:00:00+01:00;644471
2019-03-08T05:00:00+01:00;573354
2019-03-08T06:00:00+01:00;820821
2019-03-08T07:00:00+01:00;770884
2019-03-08T08:00:00+01:00;1081753
2019-03-08T09:00:00+01:00;1148142
2019-03-08T10:00:00+01:00;1050999
2019-03-08T11:00:00+01:00;906734
2019-03-08T12:00:00+01:00;1341986
2019-03-08T13:00:00+01:00;1062229
2019-03-08T14:00:00+01:00;934058
2019-03-08T15:00:00+01:00;1423001
2019-03-08T16:00:00+01:00;1954013
2019-03-08T17:00:00+01:00;1267285
2019-03-08T18:00:00+01:00;857361
2019-03-08T19:00:00+01:00;1224618
2019-03-08T20:00:00+01:00;1081053
2019-03-08T21:00:00+01:00;591445
2019-03-08T22:00:00+01:00;857719
2019-03-08T23:00:00+01:00;976964
2019-03-09T00:00:00+01:00;19530496
2019-03-09T01:00:00+01:00;1174681
2019-03-09T02:00:00+01:00;815240
2019-03-09T03:00:00+01:00;2997845
2019-03-09T04:00:00+01:00;1329356
2019-03-09T05:00:00+01:00;391270
2019-03-09T06:00:00+01:00;776840
2019-03-09T07:00:00+01:00;3270263
2019-03-09T08:00:00+01:00;1049804
2019-03-09T09:00:00+01:00;648635
2019-03-09T10:00:00+01:00;736597
2019-03-09T11:00:00+01:00;943035
2019-03-09T12:00:00+01:00;1303364
2019-03-09T13:00:00+01:00;585164
2019-03-09T14:00:00+01:00;746939
2019-03-09T15:00:00+01:00;887091
2019-03-09T16:00:00+01:00;1100373
2019-03-09T17:00:00+01:00;565862
2019-03-09T18:00:00+01:00;815172
2019-03-09T19:00:00+01:00;788684
2019-03-09T20:00:00+01:00;817527
2019-03-09T21:00:00+01:00;618427
2019-03-09T22:00:00+01:00;1132544
2019-03-09T23:00:00+01:00;1142340
2019-03-10T00:00:00+01:00;16718080
2019-03-10T01:00:00+01:00;1209736
2019-03-10T02:00:00+01:00;856200
2019-03-10T03:00:00+01:00;1603481
2019-03-10T04:00:00+01:00;1699874
2019-03-10T05:00:00+01:00;445030
2019-03-10T06:00:00+01:00;996420
2019-03-10T07:00:00+01:00;813021
2019-03-10T08:00:00+01:00;1166011
2019-03-10T09:00:00+01:00;592486
2019-03-10T10:00:00+01:00;840038
2019-03-10T11:00:00+01:00;847564
2019-03-10T12:00:00+01:00;1096089
2019-03-10T13:00:00+01:00;729651
2019-03-10T14:00:00+01:00;933188
2019-03-10T15:00:00+01:00;774434
2019-03-10T16:00:00+01:00;1027106
2019-03-10T17:00:00+01:00;663637
2019-03-10T18:00:00+01:00;1012445
2019-03-10T19:00:00+01:00;915456
2019-03-10T20:00:00+01:00;1025041
2019-03-10T21:00:00+01:00;769706
2019-03-10T22:00:00+01:00;919125
2019-03-10T23:00:00+01:00;810086
2019-03-11T00:00:00+01:00;16950237
2019-03-11T01:00:00+01:00;806894
2019-03-11T02:00:00+01:00;939264
2019-03-11T03:00:00+01:00;7607790
2019-03-11T04:00:00+01:00;3654468
2019-03-11T05:00:00+01:00;2147549
2019-03-11T06:00:00+01:00;954675
2019-03-11T07:00:00+01:00;735931
2019-03-11T08:00:00+01:00;944384
2019-03-11T09:00:00+01:00;1091425
2019-03-11T10:00:00+01:00;902587
2019-03-11T11:00:00+01:00;872806
2019-03-11T12:00:00+01:00;1123174
2019-03-11T13:00:00+01:00;1048951
2019-03-11T14:00:00+01:00;1317785
2019-03-11T15:00:00+01:00;1213798
2019-03-11T16:00:00+01:00;1479748
2019-03-11T17:00:00+01:00;1263752
2019-03-11T18:00:00+01:00;836590
2019-03-11T19:00:00+01:00;733764
2019-03-11T20:00:00+01:00;1173504
2019-03-11T21:00:00+01:00;988569
2019-03-11T22:00:00+01:00;825344
2019-03-11T23:00:00+01:00;647560
2019-03-12T00:00:00+01:00;16300629
2019-03-12T01:00:00+01:00;951876
2019-03-12T02:00:00+01:00;1774694
2019-03-12T03:00:00+01:00;1877857
2019-03-12T04:00:00+01:00;765525
2019-03-12T05:00:00+01:00;995481
2019-03-12T06:00:00+01:00;948292
2019-03-12T07:00:00+01:00;757708
2019-03-12T08:00:00+01:00;832580
2019-03-12T09:00:00+01:00;812236
2019-03-12T10:00:00+01:00;1173009
2019-03-12T11:00:00+01:00;877056
2019-03-12T12:00:00+01:00;1172957
2019-03-12T13:00:00+01:00;897382
2019-03-12T14:00:00+01:00;862276
2019-03-12T15:00:00+01:00;904430
2019-03-12T16:00:00+01:00;928460
2019-03-12T17:00:00+01:00;843298
2019-03-12T18:00:00+01:00;899413
2019-03-12T19:00:00+01:00;1029649
2019-03-12T20:00:00+01:00;883473
2019-03-12T21:00:00+01:00;1055675
2019-03-12T22:00:00+01:00;1094621
2019-03-12T23:00:00+01:00;988689
2019-03-13T00:00:00+01:00;16959419
2019-03-13T01:00:00+01:00;1249228
2019-03-13T02:00:00+01:00;1122696
2019-03-13T03:00:00+01:00;3720960
2019-03-13T04:00:00+01:00;1255116
2019-03-13T05:00:00+01:00;1062570
2019-03-13T06:00:00+01:00;1274743
2019-03-13T07:00:00+01:00;812731
2019-03-13T08:00:00+01:00;836676
2019-03-13T09:00:00+01:00;1169254
2019-03-13T10:00:00+01:00;1076343
2019-03-13T11:00:00+01:00;1158434
2019-03-13T12:00:00+01:00;1800021
2019-03-13T13:00:00+01:00;1452748
2019-03-13T14:00:00+01:00;1392162
2019-03-13T15:00:00+01:00;1169646
2019-03-13T16:00:00+01:00;1224379
2019-03-13T17:00:00+01:00;1373900
2019-03-13T18:00:00+01:00;1207108
2019-03-13T19:00:00+01:00;1319475
2019-03-13T20:00:00+01:00;1212416
2019-03-13T21:00:00+01:00;1325124
2019-03-13T22:00:00+01:00;1243340
2019-03-13T23:00:00+01:00;1456179
2019-03-14T00:00:00+01:00;18124202
2019-03-14T01:00:00+01:00;984029
2019-03-14T02:00:00+01:00;956040
2019-03-14T03:00:00+01:00;2118468
2019-03-14T04:00:00+01:00;2965060
2019-03-14T05:00:00+01:00;951705
2019-03-14T06:00:00+01:00;1132202
2019-03-14T07:00:00+01:00;1052296
2019-03-14T08:00:00+01:00;959061
2019-03-14T09:00:00+01:00;1236445
2019-03-14T10:00:00+01:00;1526391
2019-03-14T11:00:00+01:00;891562
2019-03-14T12:00:00+01:00;889924
2019-03-14T13:00:00+01:00;1174835
2019-03-14T14:00:00+01:00;1102370
2019-03-14T15:00:00+01:00;1282560
2019-03-14T16:00:00+01:00;995669
2019-03-14T17:00:00+01:00;1265971
2019-03-14T18:00:00+01:00;840482
2019-03-14T19:00:00+01:00;1028642
2019-03-14T20:00:00+01:00;1058440
2019-03-14T21:00:00+01:00;727005
2019-03-14T22:00:00+01:00;1118566
2019-03-14T23:00:00+01:00;1065011
2019-03-15T00:00:00+01:00;19638835
2019-03-15T01:00:00+01:00;1433770
2019-03-15T02:00:00+01:00;812509
2019-03-15T03:00:00+01:00;3153203
2019-03-15T04:00:00+01:00;808516
2019-03-15T05:00:00+01:00;1836270
2019-03-15T06:00:00+01:00;885947
2019-03-15T07:00:00+01:00;1049480
2019-03-15T08:00:00+01:00;823159
2019-03-15T09:00:00+01:00;1124932
2019-03-15T10:00:00+01:00;902348
2019-03-15T11:00:00+01:00;1026918
2019-03-15T12:00:00+01:00;1272302
2019-03-15T13:00:00+01:00;1462545
2019-03-15T14:00:00+01:00;1207995
2019-03-15T15:00:00+01:00;1255901
2019-03-15T16:00:00+01:00;990344
2019-03-15T17:00:00+01:00;1032106
2019-03-15T18:00:00+01:00;906939
2019-03-15T19:00:00+01:00;806485
2019-03-15T20:00:00+01:00;869358
2019-03-15T21:00:00+01:00;775475
2019-03-15T22:00:00+01:00;761105
2019-03-15T23:00:00+01:00;1066496
2019-03-16T00:00:00+01:00;21171370
2019-03-16T01:00:00+01:00;797798
2019-03-16T02:00:00+01:00;781960
2019-03-16T03:00:00+01:00;2336665
2019-03-16T04:00:00+01:00;3293644
2019-03-16T05:00:00+01:00;3513224
2019-03-16T06:00:00+01:00;680516
2019-03-16T07:00:00+01:00;969420
2019-03-16T08:00:00+01:00;738440
2019-03-16T09:00:00+01:00;758476
2019-03-16T10:00:00+01:00;830890
2019-03-16T11:00:00+01:00;908083
2019-03-16T12:00:00+01:00;706764
2019-03-16T13:00:00+01:00;934468
2019-03-16T14:00:00+01:00;957405
2019-03-16T15:00:00+01:00;811776
2019-03-16T16:00:00+01:00;873369
2019-03-16T17:00:00+01:00;761344
2019-03-16T18:00:00+01:00;897484
2019-03-16T19:00:00+01:00;840499
2019-03-16T20:00:00+01:00;742382
2019-03-16T21:00:00+01:00;799146
2019-03-16T22:00:00+01:00;724428
2019-03-16T23:00:00+01:00;1083357
2019-03-17T00:00:00+01:00;15507541
2019-03-17T01:00:00+01:00;1004526
2019-03-17T02:00:00+01:00;598613
2019-03-17T03:00:00+01:00;1767560
2019-03-17T04:00:00+01:00;1046357
2019-03-17T05:00:00+01:00;637422
2019-03-17T06:00:00+01:00;1376904
2019-03-17T07:00:00+01:00;934690
2019-03-17T08:00:00+01:00;798361
2019-03-17T09:00:00+01:00;709546
2019-03-17T10:00:00+01:00;775884
2019-03-17T11:00:00+01:00;687650
2019-03-17T12:00:00+01:00;1043200
2019-03-17T13:00:00+01:00;659848
2019-03-17T14:00:00+01:00;794299
2019-03-17T15:00:00+01:00;663620
2019-03-17T16:00:00+01:00;1156300
2019-03-17T17:00:00+01:00;749294
2019-03-17T18:00:00+01:00;1077742
2019-03-17T19:00:00+01:00;1200264
2019-03-17T20:00:00+01:00;889105
2019-03-17T21:00:00+01:00;676761
2019-03-17T22:00:00+01:00;978261
2019-03-17T23:00:00+01:00;1159816
2019-03-18T00:00:00+01:00;15789568
2019-03-18T01:00:00+01:00;4309145
2019-03-18T02:00:00+01:00;774707
2019-03-18T03:00:00+01:00;3289002
2019-03-18T04:00:00+01:00;1349888
2019-03-18T05:00:00+01:00;793975
2019-03-18T06:00:00+01:00;1051238
2019-03-18T07:00:00+01:00;969113
2019-03-18T08:00:00+01:00;903082
2019-03-18T09:00:00+01:00;945408
2019-03-18T10:00:00+01:00;815189
2019-03-18T11:00:00+01:00;1111108
2019-03-18T12:00:00+01:00;1230387
2019-03-18T13:00:00+01:00;1596330
2019-03-18T14:00:00+01:00;887586
2019-03-18T15:00:00+01:00;1477717
2019-03-18T16:00:00+01:00;1556992
2019-03-18T17:00:00+01:00;1419724
2019-03-18T18:00:00+01:00;1113400
2019-03-18T19:00:00+01:00;932215
2019-03-18T20:00:00+01:00;921002
2019-03-18T21:00:00+01:00;1065642
2019-03-18T22:00:00+01:00;1126468
2019-03-18T23:00:00+01:00;1050197
2019-03-19T00:00:00+01:00;16619656
2019-03-19T01:00:00+01:00;1391803
2019-03-19T02:00:00+01:00;1064311
2019-03-19T03:00:00+01:00;5501064
2019-03-19T04:00:00+01:00;1514666
