Time;Number of packets transmitted on interface Network adapter 1
2019-03-01T00:00:00+01:00;21177
2019-03-01T01:00:00+01:00;17947
2019-03-01T02:00:00+01:00;19667
2019-03-01T03:00:00+01:00;19858
2019-03-01T04:00:00+01:00;22218
2019-03-01T05:00:00+01:00;17035
2019-03-01T06:00:00+01:00;18100
2019-03-01T07:00:00+01:00;26043
2019-03-01T08:00:00+01:00;30527
2019-03-01T09:00:00+01:00;24264
2019-03-01T10:00:00+01:00;24411
2019-03-01T11:00:00+01:00;27486
2019-03-01T12:00:00+01:00;32228
2019-03-01T13:00:00+01:00;27001
2019-03-01T14:00:00+01:00;24143
2019-03-01T15:00:00+01:00;22464
2019-03-01T16:00:00+01:00;23743
2019-03-01T17:00:00+01:00;17595
2019-03-01T18:00:00+01:00;19309
2019-03-01T19:00:00+01:00;18696
2019-03-01T20:00:00+01:00;21772
2019-03-01T21:00:00+01:00;15178
2019-03-01T22:00:00+01:00;18739
2019-03-01T23:00:00+01:00;16502
2019-03-02T00:00:00+01:00;18766
2019-03-02T01:00:00+01:00;17216
2019-03-02T02:00:00+01:00;16792
2019-03-02T03:00:00+01:00;18561
2019-03-02T04:00:00+01:00;24749
2019-03-02T05:00:00+01:00;14189
2019-03-02T06:00:00+01:00;24619
2019-03-02T07:00:00+01:00;15426
2019-03-02T08:00:00+01:00;23503
2019-03-02T09:00:00+01:00;15106
2019-03-02T10:00:00+01:00;20397
2019-03-02T11:00:00+01:00;19133
2019-03-02T12:00:00+01:00;21397
2019-03-02T13:00:00+01:00;15276
2019-03-02T14:00:00+01:00;14860
2019-03-02T15:00:00+01:00;19346
2019-03-02T16:00:00+01:00;25044
2019-03-02T17:00:00+01:00;15284
2019-03-02T18:00:00+01:00;17475
2019-03-02T19:00:00+01:00;17138
2019-03-02T20:00:00+01:00;22839
2019-03-02T21:00:00+01:00;15765
2019-03-02T22:00:00+01:00;15037
2019-03-02T23:00:00+01:00;14365
2019-03-03T00:00:00+01:00;20699
2019-03-03T01:00:00+01:00;13966
2019-03-03T02:00:00+01:00;17644
2019-03-03T03:00:00+01:00;17844
2019-03-03T04:00:00+01:00;18906
2019-03-03T05:00:00+01:00;16574
2019-03-03T06:00:00+01:00;19090
2019-03-03T07:00:00+01:00;21755
2019-03-03T08:00:00+01:00;18746
2019-03-03T09:00:00+01:00;15669
2019-03-03T10:00:00+01:00;17525
2019-03-03T11:00:00+01:00;16054
2019-03-03T12:00:00+01:00;21801
2019-03-03T13:00:00+01:00;14966
2019-03-03T14:00:00+01:00;16496
2019-03-03T15:00:00+01:00;17083
2019-03-03T16:00:00+01:00;24774
2019-03-03T17:00:00+01:00;15145
2019-03-03T18:00:00+01:00;19511
2019-03-03T19:00:00+01:00;17826
2019-03-03T20:00:00+01:00;20336
2019-03-03T21:00:00+01:00;17680
2019-03-03T22:00:00+01:00;19173
2019-03-03T23:00:00+01:00;15588
2019-03-04T00:00:00+01:00;20009
2019-03-04T01:00:00+01:00;14488
2019-03-04T02:00:00+01:00;17797
2019-03-04T03:00:00+01:00;17011
2019-03-04T04:00:00+01:00;74401
2019-03-04T05:00:00+01:00;13677
2019-03-04T06:00:00+01:00;18609
2019-03-04T07:00:00+01:00;21973
2019-03-04T08:00:00+01:00;41716
2019-03-04T09:00:00+01:00;24864
2019-03-04T10:00:00+01:00;23430
2019-03-04T11:00:00+01:00;27718
2019-03-04T12:00:00+01:00;30255
2019-03-04T13:00:00+01:00;32599
2019-03-04T14:00:00+01:00;25358
2019-03-04T15:00:00+01:00;28098
2019-03-04T16:00:00+01:00;25262
2019-03-04T17:00:00+01:00;30064
2019-03-04T18:00:00+01:00;19586
2019-03-04T19:00:00+01:00;19656
2019-03-04T20:00:00+01:00;15074
2019-03-04T21:00:00+01:00;25101
2019-03-04T22:00:00+01:00;16186
2019-03-04T23:00:00+01:00;20604
2019-03-05T00:00:00+01:00;19598
2019-03-05T01:00:00+01:00;21608
2019-03-05T02:00:00+01:00;16085
2019-03-05T03:00:00+01:00;20774
2019-03-05T04:00:00+01:00;18427
2019-03-05T05:00:00+01:00;37787
2019-03-05T06:00:00+01:00;19691
2019-03-05T07:00:00+01:00;24814
2019-03-05T08:00:00+01:00;37032
2019-03-05T09:00:00+01:00;31156
2019-03-05T10:00:00+01:00;22457
2019-03-05T11:00:00+01:00;23999
2019-03-05T12:00:00+01:00;26999
2019-03-05T13:00:00+01:00;27210
2019-03-05T14:00:00+01:00;35875
2019-03-05T15:00:00+01:00;24500
2019-03-05T16:00:00+01:00;25215
2019-03-05T17:00:00+01:00;24776
2019-03-05T18:00:00+01:00;26314
2019-03-05T19:00:00+01:00;16679
2019-03-05T20:00:00+01:00;16182
2019-03-05T21:00:00+01:00;19735
2019-03-05T22:00:00+01:00;25470
2019-03-05T23:00:00+01:00;22502
2019-03-06T00:00:00+01:00;15832
2019-03-06T01:00:00+01:00;17021
2019-03-06T02:00:00+01:00;24478
2019-03-06T03:00:00+01:00;15883
2019-03-06T04:00:00+01:00;33703
2019-03-06T05:00:00+01:00;17738
2019-03-06T06:00:00+01:00;17915
2019-03-06T07:00:00+01:00;10741
2019-03-06T08:00:00+01:00;11487
2019-03-06T09:00:00+01:00;15049
2019-03-06T10:00:00+01:00;53329
2019-03-06T11:00:00+01:00;29277
2019-03-06T12:00:00+01:00;11549
2019-03-06T13:00:00+01:00;12856
2019-03-06T14:00:00+01:00;49829
2019-03-06T15:00:00+01:00;30785
2019-03-06T16:00:00+01:00;10054
2019-03-06T17:00:00+01:00;10450
2019-03-06T18:00:00+01:00;48040
2019-03-06T19:00:00+01:00;26432
2019-03-06T20:00:00+01:00;5062
2019-03-06T21:00:00+01:00;6525
2019-03-06T22:00:00+01:00;43536
2019-03-06T23:00:00+01:00;26332
2019-03-07T00:00:00+01:00;4870
2019-03-07T01:00:00+01:00;4270
2019-03-07T02:00:00+01:00;41316
2019-03-07T03:00:00+01:00;27798
2019-03-07T04:00:00+01:00;11513
2019-03-07T05:00:00+01:00;5027
2019-03-07T06:00:00+01:00;40367
2019-03-07T07:00:00+01:00;29864
2019-03-07T08:00:00+01:00;16304
2019-03-07T09:00:00+01:00;15521
2019-03-07T10:00:00+01:00;54496
2019-03-07T11:00:00+01:00;35867
2019-03-07T12:00:00+01:00;17695
2019-03-07T13:00:00+01:00;15826
2019-03-07T14:00:00+01:00;45058
2019-03-07T15:00:00+01:00;35255
2019-03-07T16:00:00+01:00;15380
2019-03-07T17:00:00+01:00;12419
2019-03-07T18:00:00+01:00;36809
2019-03-07T19:00:00+01:00;29947
2019-03-07T20:00:00+01:00;7289
2019-03-07T21:00:00+01:00;7457
2019-03-07T22:00:00+01:00;36232
2019-03-07T23:00:00+01:00;28613
2019-03-08T00:00:00+01:00;7962
2019-03-08T01:00:00+01:00;6051
2019-03-08T02:00:00+01:00;32853
2019-03-08T03:00:00+01:00;41643
2019-03-08T04:00:00+01:00;7189
2019-03-08T05:00:00+01:00;6151
2019-03-08T06:00:00+01:00;30275
2019-03-08T07:00:00+01:00;34876
2019-03-08T08:00:00+01:00;17885
