Time;CPU usage;Ntwk_bytes receiv;Ntwk_bytes transmitted;Number of VMs;Used memory;Aver write latency LUN_080;Average read latency LUN_080;Average write latency  LUN_081;Average read latency LUN_081;Average write latency LUN_082;Average read latency LUN_082;Average write latency LUN_083;Average read latency LUN_083;Average write latency LUN_084;Average read latency LUN_084;Average write latency LUN_085;Average read latency LUN_085;Average read latency LUN_086;Average read latency LUN_086
2019-03-01T00:00:00+01:00;10144100000;13583547;13138858;76;2.35E+11;2;2;4;2;1;3;3;1;1;1;1;8;2;2
2019-03-01T01:00:00+01:00;10260416666;7147963;32474009;76;2.35E+11;2;1;6;0;2;2;3;0;2;1;2;6;5;5
2019-03-01T02:00:00+01:00;8396933333;4062600;15103385;76;2.35E+11;2;2;2;0;2;3;2;0;3;1;2;6;2;2
2019-03-01T03:00:00+01:00;8504783333;2821495;12728473;76;2.37E+11;3;2;1;1;2;4;2;0;3;3;2;6;4;4
2019-03-01T04:00:00+01:00;8670983333;1757201;3101781;77;2.40E+11;5;5;1;0;8;2;1;0;10;0;2;5;3;3
2019-03-01T05:00:00+01:00;8188816666;1752849;2684996;77;2.40E+11;1;3;24;0;1;2;22;0;1;0;1;5;1;1
2019-03-01T06:00:00+01:00;8215350000;2011904;1782903;77;2.40E+11;2;3;3;0;4;2;1;0;5;1;1;4;0;0
2019-03-01T07:00:00+01:00;10024166666;7245636;6865134;77;2.40E+11;1;6;2;1;1;3;2;5;1;0;1;6;1;1
2019-03-01T08:00:00+01:00;10538533333;5600392;5446809;77;2.40E+11;1;6;1;3;1;2;1;5;1;0;1;6;2;2
2019-03-01T09:00:00+01:00;10420433333;6508356;5964919;78;2.41E+11;2;10;1;1;1;2;0;4;1;1;1;7;2;2
2019-03-01T10:00:00+01:00;12635933333;7323396;7179605;78;2.41E+11;1;6;1;0;1;1;0;4;2;0;1;7;1;1
2019-03-01T11:00:00+01:00;13232200000;8779485;8298649;78;2.41E+11;1;6;2;1;1;2;1;3;1;0;1;6;2;2
2019-03-01T12:00:00+01:00;14843150000;18930449;25273975;78;2.42E+11;2;7;1;0;1;4;0;5;1;0;1;7;1;1
2019-03-01T13:00:00+01:00;13710300000;22583417;22715600;78;2.43E+11;1;5;1;0;0;3;0;4;1;1;0;6;2;2
2019-03-01T14:00:00+01:00;11808633333;11542886;12383795;78;2.43E+11;1;4;2;5;1;2;1;5;1;0;1;5;2;2
2019-03-01T15:00:00+01:00;13363133333;12234376;14854980;78;2.43E+11;2;6;2;0;1;2;1;5;2;0;1;8;3;3
2019-03-01T16:00:00+01:00;12483800000;17295776;17792000;78;2.44E+11;2;6;2;0;1;2;1;4;1;1;1;6;3;3
2019-03-01T17:00:00+01:00;13220150000;16676676;15923780;78;2.44E+11;1;3;1;1;0;3;0;4;1;0;0;6;2;2
2019-03-01T18:00:00+01:00;12805633333;17282798;22342946;78;2.44E+11;2;8;1;0;1;2;1;3;1;0;0;5;1;1
2019-03-01T19:00:00+01:00;14799350000;22166101;21899980;78;2.44E+11;0;3;0;0;0;2;0;1;0;1;0;6;0;0
2019-03-01T20:00:00+01:00;15839283333;21340876;20895948;78;2.44E+11;1;3;1;0;1;2;1;1;1;0;0;6;2;2
2019-03-01T21:00:00+01:00;16507016666;20783479;28964983;78;2.43E+11;1;2;0;0;0;2;0;3;1;0;0;5;1;1
2019-03-01T22:00:00+01:00;16564683333;20662801;22463590;77;2.38E+11;1;3;1;0;1;2;1;2;2;0;0;6;2;2
2019-03-01T23:00:00+01:00;13900783333;17720917;17405934;77;2.37E+11;1;1;0;0;0;2;0;0;1;1;0;5;1;1
2019-03-02T00:00:00+01:00;9496000000;19872307;13509853;77;2.47E+11;2;1;3;1;1;3;2;2;2;1;2;5;1;1
2019-03-02T01:00:00+01:00;11737283333;10794001;40994252;77;2.43E+11;2;3;2;1;2;2;2;0;2;2;1;6;4;4
2019-03-02T02:00:00+01:00;10624500000;4018909;17657275;77;2.37E+11;3;6;2;0;3;2;2;0;3;1;3;6;2;2
2019-03-02T03:00:00+01:00;8518566666;4819200;11721540;77;2.39E+11;2;7;2;1;3;2;1;0;3;2;2;7;2;2
2019-03-02T04:00:00+01:00;7716666666;6724369;6701550;80;2.51E+11;8;5;2;0;10;2;1;2;8;1;1;5;4;4
2019-03-02T05:00:00+01:00;8573133333;2546892;2118041;80;2.52E+11;1;4;0;0;1;2;0;0;0;0;0;4;0;0
2019-03-02T06:00:00+01:00;8869500000;2038558;8423094;80;2.52E+11;1;5;4;0;1;1;1;0;1;0;2;4;0;0
2019-03-02T07:00:00+01:00;8212350000;2022365;1955379;80;2.52E+11;0;2;0;0;0;1;0;0;0;0;0;4;0;0
2019-03-02T08:00:00+01:00;8680750000;5612595;8950766;80;2.52E+11;0;6;0;0;1;1;0;0;0;0;0;4;1;1
2019-03-02T09:00:00+01:00;11053850000;11144562;21531753;80;2.52E+11;1;4;0;0;0;1;0;0;0;1;0;5;1;1
2019-03-02T10:00:00+01:00;12024416666;14817661;41099611;79;2.45E+11;1;5;2;0;0;1;0;0;1;0;0;5;1;1
2019-03-02T11:00:00+01:00;14062683333;16408354;34123861;79;2.44E+11;1;4;1;0;1;2;0;0;1;0;0;4;1;1
2019-03-02T12:00:00+01:00;13942600000;17430937;17443464;79;2.44E+11;1;4;0;0;1;2;0;1;1;1;0;5;1;1
2019-03-02T13:00:00+01:00;13764433333;23326054;23648051;79;2.44E+11;1;8;1;0;1;2;0;0;1;1;0;5;2;2
2019-03-02T14:00:00+01:00;12891083333;27473373;27026380;79;2.44E+11;1;4;2;0;0;1;1;0;0;0;0;4;0;0
2019-03-02T15:00:00+01:00;13021050000;27833941;30393907;78;2.40E+11;1;2;1;0;0;1;1;0;0;0;0;4;0;0
2019-03-02T16:00:00+01:00;11467250000;23523754;23260313;78;2.39E+11;0;2;0;0;0;1;0;1;0;1;0;5;1;1
