Time;Number of bytes received
2019-03-01T00:00:00+01:00;13583547
2019-03-01T01:00:00+01:00;7147963
2019-03-01T02:00:00+01:00;4062600
2019-03-01T03:00:00+01:00;2821495
2019-03-01T04:00:00+01:00;1757201
2019-03-01T05:00:00+01:00;1752849
2019-03-01T06:00:00+01:00;2011904
2019-03-01T07:00:00+01:00;7245636
2019-03-01T08:00:00+01:00;5600392
2019-03-01T09:00:00+01:00;6508356
2019-03-01T10:00:00+01:00;7323396
2019-03-01T11:00:00+01:00;8779485
2019-03-01T12:00:00+01:00;18930449
2019-03-01T13:00:00+01:00;22583417
2019-03-01T14:00:00+01:00;11542886
2019-03-01T15:00:00+01:00;12234376
2019-03-01T16:00:00+01:00;17295776
2019-03-01T17:00:00+01:00;16676676
2019-03-01T18:00:00+01:00;17282798
2019-03-01T19:00:00+01:00;22166101
2019-03-01T20:00:00+01:00;21340876
2019-03-01T21:00:00+01:00;20783479
2019-03-01T22:00:00+01:00;20662801
2019-03-01T23:00:00+01:00;17720917
2019-03-02T00:00:00+01:00;19872307
2019-03-02T01:00:00+01:00;10794001
2019-03-02T02:00:00+01:00;4018909
2019-03-02T03:00:00+01:00;4819200
2019-03-02T04:00:00+01:00;6724369
2019-03-02T05:00:00+01:00;2546892
2019-03-02T06:00:00+01:00;2038558
2019-03-02T07:00:00+01:00;2022365
2019-03-02T08:00:00+01:00;5612595
2019-03-02T09:00:00+01:00;11144562
2019-03-02T10:00:00+01:00;14817661
2019-03-02T11:00:00+01:00;16408354
2019-03-02T12:00:00+01:00;17430937
2019-03-02T13:00:00+01:00;23326054
2019-03-02T14:00:00+01:00;27473373
2019-03-02T15:00:00+01:00;27833941
2019-03-02T16:00:00+01:00;23523754
2019-03-02T17:00:00+01:00;24326929
2019-03-02T18:00:00+01:00;25241804
2019-03-02T19:00:00+01:00;26990472
2019-03-02T20:00:00+01:00;24227737
2019-03-02T21:00:00+01:00;28882295
2019-03-02T22:00:00+01:00;29992174
2019-03-02T23:00:00+01:00;20531200
2019-03-03T00:00:00+01:00;18456923
2019-03-03T01:00:00+01:00;14298487
2019-03-03T02:00:00+01:00;9145122
2019-03-03T03:00:00+01:00;6852386
2019-03-03T04:00:00+01:00;4904526
2019-03-03T05:00:00+01:00;5528985
2019-03-03T06:00:00+01:00;3798886
2019-03-03T07:00:00+01:00;3672558
2019-03-03T08:00:00+01:00;10701499
2019-03-03T09:00:00+01:00;11554764
2019-03-03T10:00:00+01:00;14994295
2019-03-03T11:00:00+01:00;21641551
2019-03-03T12:00:00+01:00;24717465
2019-03-03T13:00:00+01:00;24021845
2019-03-03T14:00:00+01:00;27392512
2019-03-03T15:00:00+01:00;24232311
2019-03-03T16:00:00+01:00;26259915
2019-03-03T17:00:00+01:00;26303590
2019-03-03T18:00:00+01:00;24195191
2019-03-03T19:00:00+01:00;27878758
2019-03-03T20:00:00+01:00;34279031
2019-03-03T21:00:00+01:00;37423451
2019-03-03T22:00:00+01:00;38579950
2019-03-03T23:00:00+01:00;28601702
2019-03-04T00:00:00+01:00;17906329
2019-03-04T01:00:00+01:00;7517409
2019-03-04T02:00:00+01:00;2810828
2019-03-04T03:00:00+01:00;1592439
2019-03-04T04:00:00+01:00;1736439
2019-03-04T05:00:00+01:00;1550506
2019-03-04T06:00:00+01:00;2620723
2019-03-04T07:00:00+01:00;7899511
2019-03-04T08:00:00+01:00;7499844
2019-03-04T09:00:00+01:00;7472264
2019-03-04T10:00:00+01:00;16794368
2019-03-04T11:00:00+01:00;15882240
