Time;Number of bytes transmitted
2019-03-01T00:00:00+01:00;13138858
2019-03-01T01:00:00+01:00;32474009
2019-03-01T02:00:00+01:00;15103385
2019-03-01T03:00:00+01:00;12728473
2019-03-01T04:00:00+01:00;3101781
2019-03-01T05:00:00+01:00;2684996
2019-03-01T06:00:00+01:00;1782903
2019-03-01T07:00:00+01:00;6865134
2019-03-01T08:00:00+01:00;5446809
2019-03-01T09:00:00+01:00;5964919
2019-03-01T10:00:00+01:00;7179605
2019-03-01T11:00:00+01:00;8298649
2019-03-01T12:00:00+01:00;25273975
2019-03-01T13:00:00+01:00;22715600
2019-03-01T14:00:00+01:00;12383795
2019-03-01T15:00:00+01:00;14854980
2019-03-01T16:00:00+01:00;17792000
2019-03-01T17:00:00+01:00;15923780
2019-03-01T18:00:00+01:00;22342946
2019-03-01T19:00:00+01:00;21899980
2019-03-01T20:00:00+01:00;20895948
2019-03-01T21:00:00+01:00;28964983
2019-03-01T22:00:00+01:00;22463590
2019-03-01T23:00:00+01:00;17405934
2019-03-02T00:00:00+01:00;13509853
2019-03-02T01:00:00+01:00;40994252
2019-03-02T02:00:00+01:00;17657275
2019-03-02T03:00:00+01:00;11721540
2019-03-02T04:00:00+01:00;6701550
2019-03-02T05:00:00+01:00;2118041
2019-03-02T06:00:00+01:00;8423094
2019-03-02T07:00:00+01:00;1955379
2019-03-02T08:00:00+01:00;8950766
2019-03-02T09:00:00+01:00;21531753
2019-03-02T10:00:00+01:00;41099611
2019-03-02T11:00:00+01:00;34123861
2019-03-02T12:00:00+01:00;17443464
2019-03-02T13:00:00+01:00;23648051
2019-03-02T14:00:00+01:00;27026380
2019-03-02T15:00:00+01:00;30393907
2019-03-02T16:00:00+01:00;23260313
2019-03-02T17:00:00+01:00;23778150
2019-03-02T18:00:00+01:00;32847769
2019-03-02T19:00:00+01:00;27386094
2019-03-02T20:00:00+01:00;23929241
2019-03-02T21:00:00+01:00;28499251
2019-03-02T22:00:00+01:00;27467127
2019-03-02T23:00:00+01:00;20566954
2019-03-03T00:00:00+01:00;19001725
2019-03-03T01:00:00+01:00;33452851
2019-03-03T02:00:00+01:00;10624904
2019-03-03T03:00:00+01:00;8505873
2019-03-03T04:00:00+01:00;6247724
2019-03-03T05:00:00+01:00;3767364
2019-03-03T06:00:00+01:00;8520004
2019-03-03T07:00:00+01:00;29588480
2019-03-03T08:00:00+01:00;22576930
2019-03-03T09:00:00+01:00;11223074
2019-03-03T10:00:00+01:00;14525508
2019-03-03T11:00:00+01:00;21489204
2019-03-03T12:00:00+01:00;24631756
2019-03-03T13:00:00+01:00;23849557
2019-03-03T14:00:00+01:00;26844330
2019-03-03T15:00:00+01:00;24836096
2019-03-03T16:00:00+01:00;37437581
2019-03-03T17:00:00+01:00;25961557
2019-03-03T18:00:00+01:00;40228386
2019-03-03T19:00:00+01:00;44164078
2019-03-03T20:00:00+01:00;34204825
2019-03-03T21:00:00+01:00;37150962
2019-03-03T22:00:00+01:00;38730564
2019-03-03T23:00:00+01:00;28288819
2019-03-04T00:00:00+01:00;13581090
2019-03-04T01:00:00+01:00;31615531
2019-03-04T02:00:00+01:00;13640618
2019-03-04T03:00:00+01:00;10404096
2019-03-04T04:00:00+01:00;2342647
2019-03-04T05:00:00+01:00;1074227
2019-03-04T06:00:00+01:00;2187366
2019-03-04T07:00:00+01:00;18503799
2019-03-04T08:00:00+01:00;7141051
2019-03-04T09:00:00+01:00;7607432
2019-03-04T10:00:00+01:00;17941828
