Time;Used memory
2019-03-01T00:00:00+01:00;235421547451
2019-03-01T01:00:00+01:00;235475356876
2019-03-01T02:00:00+01:00;235498058547
2019-03-01T03:00:00+01:00;237040671129
2019-03-01T04:00:00+01:00;239693778124
2019-03-01T05:00:00+01:00;239684672989
2019-03-01T06:00:00+01:00;239660031453
2019-03-01T07:00:00+01:00;239732470579
2019-03-01T08:00:00+01:00;239953143398
2019-03-01T09:00:00+01:00;241018985949
2019-03-01T10:00:00+01:00;241347399953
2019-03-01T11:00:00+01:00;241292279808
2019-03-01T12:00:00+01:00;242363959432
2019-03-01T13:00:00+01:00;242651461495
2019-03-01T14:00:00+01:00;242829981559
2019-03-01T15:00:00+01:00;242987320388
2019-03-01T16:00:00+01:00;244053861990
2019-03-01T17:00:00+01:00;244005907114
2019-03-01T18:00:00+01:00;243958791099
2019-03-01T19:00:00+01:00;244039391641
2019-03-01T20:00:00+01:00;243973785736
2019-03-01T21:00:00+01:00;243412850005
2019-03-01T22:00:00+01:00;238260601924
2019-03-01T23:00:00+01:00;237255157350
2019-03-02T00:00:00+01:00;247435729305
2019-03-02T01:00:00+01:00;242736081578
2019-03-02T02:00:00+01:00;237186126097
2019-03-02T03:00:00+01:00;238970819925
2019-03-02T04:00:00+01:00;251004103338
2019-03-02T05:00:00+01:00;252413966199
2019-03-02T06:00:00+01:00;252346385476
2019-03-02T07:00:00+01:00;252304529817
2019-03-02T08:00:00+01:00;252442400085
2019-03-02T09:00:00+01:00;252490896725
2019-03-02T10:00:00+01:00;244918570188
2019-03-02T11:00:00+01:00;243795353053
2019-03-02T12:00:00+01:00;244001922525
2019-03-02T13:00:00+01:00;243621376819
2019-03-02T14:00:00+01:00;243655140966
2019-03-02T15:00:00+01:00;239760537463
2019-03-02T16:00:00+01:00;239274767155
2019-03-02T17:00:00+01:00;239257465651
2019-03-02T18:00:00+01:00;239644844578
2019-03-02T19:00:00+01:00;239461273873
2019-03-02T20:00:00+01:00;239572283118
2019-03-02T21:00:00+01:00;238945933721
2019-03-02T22:00:00+01:00;242088288802
2019-03-02T23:00:00+01:00;243269055283
2019-03-03T00:00:00+01:00;243196196727
2019-03-03T01:00:00+01:00;243214284663
2019-03-03T02:00:00+01:00;243102838510
2019-03-03T03:00:00+01:00;243325224004
2019-03-03T04:00:00+01:00;243261348249
2019-03-03T05:00:00+01:00;244094878788
2019-03-03T06:00:00+01:00;245502417305
2019-03-03T07:00:00+01:00;245976478515
2019-03-03T08:00:00+01:00;244449734382
2019-03-03T09:00:00+01:00;240254311901
2019-03-03T10:00:00+01:00;240152058265
2019-03-03T11:00:00+01:00;238190679381
2019-03-03T12:00:00+01:00;238146062472
2019-03-03T13:00:00+01:00;238122993800
2019-03-03T14:00:00+01:00;237884565094
2019-03-03T15:00:00+01:00;237228785664
2019-03-03T16:00:00+01:00;237116797747
2019-03-03T17:00:00+01:00;237107412992
2019-03-03T18:00:00+01:00;237352832204
2019-03-03T19:00:00+01:00;237409420356
2019-03-03T20:00:00+01:00;237767089629
2019-03-03T21:00:00+01:00;237385110869
2019-03-03T22:00:00+01:00;236102003370
2019-03-03T23:00:00+01:00;232898009497
2019-03-04T00:00:00+01:00;236812500992
2019-03-04T01:00:00+01:00;239499599325
2019-03-04T02:00:00+01:00;241413268002
2019-03-04T03:00:00+01:00;243381235438
2019-03-04T04:00:00+01:00;243197122969
2019-03-04T05:00:00+01:00;243199307502
