Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status;RLATE;WLATE
2019-05-07T13:00:00+02:00;17607454545;2,45302E+11;15211892;14517154;1;8;14
2019-05-07T14:00:00+02:00;18251900000;2,45224E+11;10746265;12125883;1;10;5
2019-05-07T15:00:00+02:00;18826466666;2,46067E+11;9353506;8406033;1;14;5
2019-05-07T16:00:00+02:00;19719216666;2,46368E+11;13472597;12556919;1;10;4
2019-05-07T17:00:00+02:00;19350016666;2,45512E+11;17755789;17329346;1;12;7
2019-05-07T18:00:00+02:00;20117933333;2,44258E+11;17993932;19165457;1;11;6
2019-05-07T19:00:00+02:00;20456000000;2,3962E+11;22112699;21955737;1;9;3
2019-05-07T20:00:00+02:00;20007816666;2,39644E+11;26471304;27905297;1;9;5
2019-05-07T21:00:00+02:00;20041300000;2,39627E+11;31058312;31532407;1;8;4
2019-05-07T22:00:00+02:00;19730833333;2,39556E+11;31792640;31143304;1;11;5
2019-05-07T23:00:00+02:00;18303966666;2,39553E+11;22998254;22408857;1;7;4
2019-05-08T00:00:00+02:00;19158650000;2,39618E+11;17005158;16368981;1;12;11
2019-05-08T01:00:00+02:00;17858483333;2,24159E+11;10721945;34647893;1;11;16
2019-05-08T02:00:00+02:00;15548866666;2,1977E+11;6906984;6820916;1;12;17
2019-05-08T03:00:00+02:00;14106666666;2,19799E+11;3730363;5617459;1;10;22
2019-05-08T04:00:00+02:00;13980566666;2,19816E+11;2685320;2543479;1;16;43
2019-05-08T05:00:00+02:00;13623066666;2,19721E+11;2542644;2031439;1;9;6
2019-05-08T06:00:00+02:00;14142316666;2,19766E+11;2667980;2120840;1;10;10
2019-05-08T07:00:00+02:00;13418233333;2,19773E+11;2502929;4901632;1;6;2
2019-05-08T08:00:00+02:00;14434633333;2,19671E+11;4401442;6768145;1;8;5
2019-05-08T09:00:00+02:00;14617850000;2,19792E+11;11650952;11074372;1;8;2
2019-05-08T10:00:00+02:00;19119233333;2,24691E+11;23184418;21378082;1;8;5
2019-05-08T11:00:00+02:00;19533266666;2,28404E+11;28423577;31712563;1;11;9
2019-05-08T12:00:00+02:00;19272900000;2,28246E+11;31065105;30329767;1;10;10
2019-05-08T13:00:00+02:00;19719933333;2,28158E+11;31453013;30632635;1;10;5
2019-05-08T14:00:00+02:00;20540200000;2,32481E+11;28166365;25219584;1;10;3
2019-05-08T15:00:00+02:00;20606333333;2,37009E+11;27111526;26620433;1;9;4
2019-05-08T16:00:00+02:00;21849766666;2,36925E+11;31097395;30439185;1;8;4
2019-05-08T17:00:00+02:00;22395933333;2,3693E+11;34367300;34111266;1;7;10
2019-05-08T18:00:00+02:00;20019733333;2,36954E+11;23526707;23157282;1;10;7
2019-05-08T19:00:00+02:00;19628350000;2,36876E+11;28545860;27806993;1;8;3
2019-05-08T20:00:00+02:00;19068150000;2,36817E+11;33471078;39712921;1;9;4
2019-05-08T21:00:00+02:00;21194483333;2,37016E+11;38110378;38347349;1;9;5
2019-05-08T22:00:00+02:00;21373566666;2,37053E+11;37126041;38661802;1;10;8
2019-05-08T23:00:00+02:00;19000533333;2,36933E+11;27131596;26293657;1;9;13
2019-05-09T00:00:00+02:00;15083183333;2,36958E+11;15385924;14806033;1;12;5
2019-05-09T01:00:00+02:00;15665883333;2,36956E+11;8783121;29733580;1;10;8
2019-05-09T02:00:00+02:00;13445466666;2,36726E+11;4655206;4854869;1;8;15
2019-05-09T03:00:00+02:00;14084450000;2,36219E+11;4119773;4191385;1;8;14
2019-05-09T04:00:00+02:00;12919583333;2,3605E+11;3207202;3695701;1;13;36
2019-05-09T05:00:00+02:00;13429633333;2,36366E+11;2042562;1520728;1;9;9
2019-05-09T06:00:00+02:00;13827416666;2,36912E+11;1716650;1176132;1;11;15
2019-05-09T07:00:00+02:00;13639216666;2,36005E+11;4617181;8429909;1;12;4
2019-05-09T08:00:00+02:00;15773166666;2,35787E+11;9882299;10566229;1;12;12
2019-05-09T09:00:00+02:00;18873966666;2,42983E+11;11228689;8549717;1;14;12
2019-05-09T10:00:00+02:00;17724566666;2,44801E+11;10342502;9725457;1;12;9
2019-05-09T11:00:00+02:00;17253500000;2,44714E+11;11371571;10066875;1;11;9
2019-05-09T12:00:00+02:00;16765783333;2,44632E+11;19128729;17995520;1;12;8
2019-05-09T13:00:00+02:00;18570316666;2,36395E+11;26591846;27109427;1;11;4
2019-05-09T14:00:00+02:00;19188350000;2,36104E+11;25696013;25786090;1;10;6
2019-05-09T15:00:00+02:00;21262066666;2,36305E+11;23275349;23388057;1;12;6
2019-05-09T16:00:00+02:00;21465816666;2,38494E+11;26220953;23336174;1;13;9
2019-05-09T17:00:00+02:00;20514566666;2,39318E+11;27037030;32127607;1;12;13
2019-05-09T18:00:00+02:00;20296800000;2,45161E+11;24916565;24367684;1;12;10
2019-05-09T19:00:00+02:00;20328000000;2,45049E+11;22340983;21642922;1;9;21
2019-05-09T20:00:00+02:00;22618866666;2,45174E+11;31140104;34071022;1;12;6
2019-05-09T21:00:00+02:00;20921733333;2,44935E+11;31760998;31816038;1;9;9
2019-05-09T22:00:00+02:00;21160133333;2,44886E+11;26410712;25798465;1;12;13
2019-05-09T23:00:00+02:00;18920350000;2,45096E+11;22566331;21504034;1;9;8
2019-05-10T00:00:00+02:00;14753833333;2,45004E+11;13888870;13189034;1;10;18
2019-05-10T01:00:00+02:00;14810216666;2,44899E+11;8472832;31229696;1;7;11
2019-05-10T02:00:00+02:00;13418333333;2,45194E+11;3481856;14603588;1;9;18
2019-05-10T03:00:00+02:00;14660066666;2,45346E+11;2181393;16419174;1;16;26
2019-05-10T04:00:00+02:00;12655183333;2,453E+11;1316616;1941433;1;13;38
2019-05-10T05:00:00+02:00;12872166666;2,45151E+11;1547663;1167568;1;11;6
2019-05-10T06:00:00+02:00;14166250000;2,45322E+11;2611763;2071176;1;10;12
2019-05-10T07:00:00+02:00;14637150000;2,45311E+11;5549380;8250811;1;8;12
2019-05-10T08:00:00+02:00;13842283333;2,45234E+11;6016546;5376733;1;11;11
2019-05-10T09:00:00+02:00;17421850000;2,45292E+11;5310634;5066939;1;11;9
2019-05-10T10:00:00+02:00;16503716666;2,4536E+11;4341879;3920366;1;12;9
2019-05-10T11:00:00+02:00;17371683333;2,45245E+11;7143371;9067762;1;13;10
2019-05-10T12:00:00+02:00;17815783333;2,45276E+11;17854634;19850069;1;12;9
2019-05-10T13:00:00+02:00;19584733333;2,45256E+11;18886451;18552934;1;10;7
2019-05-10T14:00:00+02:00;16685000000;2,45389E+11;8992546;8436565;1;13;9
2019-05-10T15:00:00+02:00;18535416666;2,45375E+11;7790540;6165674;1;10;11
2019-05-10T16:00:00+02:00;14498616666;2,45313E+11;4675208;11730909;1;7;6
2019-05-10T17:00:00+02:00;16264916666;2,45411E+11;8685772;8079052;1;11;11
2019-05-10T18:00:00+02:00;17099383333;2,45427E+11;13503027;16514065;1;11;4
2019-05-10T19:00:00+02:00;19720533333;2,45366E+11;16394035;16298700;1;7;5
2019-05-10T20:00:00+02:00;16429050000;2,4535E+11;15804876;15484313;1;8;12
2019-05-10T21:00:00+02:00;17348516666;2,45397E+11;19052202;20358673;1;8;5
2019-05-10T22:00:00+02:00;16752933333;2,45296E+11;20019524;19721062;1;12;6
2019-05-10T23:00:00+02:00;16737766666;2,45229E+11;19629271;19490043;1;7;7
2019-05-11T00:00:00+02:00;15322233333;2,45255E+11;13767406;14138726;1;9;10
2019-05-11T01:00:00+02:00;14623750000;2,45266E+11;11423539;36489472;1;7;15
2019-05-11T02:00:00+02:00;14270516666;2,45278E+11;6568977;18104439;1;9;25
2019-05-11T03:00:00+02:00;14779933333;2,4531E+11;4034628;15513531;1;7;12
2019-05-11T04:00:00+02:00;14480266666;2,45325E+11;3461102;4839577;1;10;36
2019-05-11T05:00:00+02:00;14124683333;2,45348E+11;3002828;5670724;1;9;6
2019-05-11T06:00:00+02:00;14196966666;2,45251E+11;1684019;1376392;1;13;15
2019-05-11T07:00:00+02:00;14238500000;2,45215E+11;2709469;2337297;1;7;2
2019-05-11T08:00:00+02:00;13880166666;2,45327E+11;3232580;2964974;1;7;5
2019-05-11T09:00:00+02:00;15144400000;2,4529E+11;7453491;14456371;1;7;5
2019-05-11T10:00:00+02:00;19333983333;2,45261E+11;16798446;38830848;1;9;6
2019-05-11T11:00:00+02:00;20455433333;2,45265E+11;19977591;40244923;1;9;3
2019-05-11T12:00:00+02:00;19880900000;2,45414E+11;19056110;20570043;1;9;0
2019-05-11T13:00:00+02:00;20239333333;2,45271E+11;22022809;21747012;1;8;3
2019-05-11T14:00:00+02:00;19802000000;2,45237E+11;28521966;28795306;1;8;4
2019-05-11T15:00:00+02:00;20460500000;2,45243E+11;27758370;27520034;1;7;3
2019-05-11T16:00:00+02:00;19938683333;2,45331E+11;26774203;33309798;1;12;8
2019-05-11T17:00:00+02:00;20977616666;2,45134E+11;27291118;26914233;1;9;14
2019-05-11T18:00:00+02:00;21648716666;2,43389E+11;24651810;26336460;1;7;1
2019-05-11T19:00:00+02:00;20011966666;2,39882E+11;26553941;22231552;1;9;2
2019-05-11T20:00:00+02:00;20082883333;2,45063E+11;23420569;22916334;1;8;1
2019-05-11T21:00:00+02:00;19856233333;2,45046E+11;24275482;24285201;1;7;5
2019-05-11T22:00:00+02:00;19865100000;2,38217E+11;26144629;29921175;1;8;5
2019-05-11T23:00:00+02:00;17592433333;2,36546E+11;19119624;19910968;1;6;6
2019-05-12T00:00:00+02:00;17378083333;2,36727E+11;15657150;16225297;1;8;9
2019-05-12T01:00:00+02:00;15854900000;2,36788E+11;11268215;31076846;1;13;4
2019-05-12T02:00:00+02:00;13755116666;2,36813E+11;7830404;12050679;1;11;17
2019-05-12T03:00:00+02:00;14790300000;2,36825E+11;6285641;7435871;1;11;11
2019-05-12T04:00:00+02:00;13520483333;2,36753E+11;4211387;5055078;1;10;25
2019-05-12T05:00:00+02:00;14203216666;2,3669E+11;3002743;2804002;1;7;2
2019-05-12T06:00:00+02:00;13308766666;2,36758E+11;1244467;5831338;1;7;20
2019-05-12T07:00:00+02:00;13779283333;2,36777E+11;1147238;3217868;1;5;8
2019-05-12T08:00:00+02:00;13881566666;2,36628E+11;2571537;10670950;1;3;3
2019-05-12T09:00:00+02:00;13976816666;2,36668E+11;5605256;26744132;1;8;7
2019-05-12T10:00:00+02:00;16560250000;2,3662E+11;14187844;20040226;1;8;14
2019-05-12T11:00:00+02:00;20882766666;2,33033E+11;21549636;39426508;1;11;5
2019-05-12T12:00:00+02:00;19412466666;2,36187E+11;18088601;30845269;1;9;13
2019-05-12T13:00:00+02:00;18894583333;2,3572E+11;22638028;22121079;1;8;2
2019-05-12T14:00:00+02:00;19797166666;2,35762E+11;24184576;24290184;1;9;5
2019-05-12T15:00:00+02:00;20850333333;2,37051E+11;22522880;21014528;1;7;3
2019-05-12T16:00:00+02:00;20252750000;2,35393E+11;23630900;26029802;1;8;2
2019-05-12T17:00:00+02:00;20105500000;2,35164E+11;25237589;24825753;1;10;6
2019-05-12T18:00:00+02:00;20063683333;2,35154E+11;25905083;36653141;1;14;6
2019-05-12T19:00:00+02:00;20683683333;2,35078E+11;25945626;26176598;1;9;3
2019-05-12T20:00:00+02:00;19553183333;2,35047E+11;32717516;33581772;1;9;2
2019-05-12T21:00:00+02:00;21024233333;2,35253E+11;40473873;41073100;1;10;1
2019-05-12T22:00:00+02:00;19900266666;2,35176E+11;37592081;37190502;1;10;5
2019-05-12T23:00:00+02:00;17823800000;2,35125E+11;27752686;29356475;1;8;4
2019-05-13T00:00:00+02:00;15114383333;2,35202E+11;10306184;9879722;1;8;8
2019-05-13T01:00:00+02:00;14242116666;2,35213E+11;6047061;31046519;1;10;14
2019-05-13T02:00:00+02:00;14119500000;2,35287E+11;3331481;15460625;1;8;21
2019-05-13T03:00:00+02:00;14637666666;2,35198E+11;3718229;19927859;1;9;17
2019-05-13T04:00:00+02:00;13549550000;2,3519E+11;2265975;26175556;1;12;49
