Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted
2019-06-06T00:00:00+02:00;15407000000;2,29E+11;20417536;20557824
2019-06-06T00:01:00+02:00;23226000000;2,29E+11;24104960;23638016
2019-06-06T00:02:00+02:00;23226000000;2,29E+11;23094272;22553600
2019-06-06T00:03:00+02:00;11886000000;2,29E+11;16806912;16589824
2019-06-06T00:04:00+02:00;14181000000;2,29E+11;16806912;16589824
2019-06-06T00:05:00+02:00;13911000000;2,29E+11;21393408;20831232
2019-06-06T00:06:00+02:00;11943000000;2,29E+11;20037632;19510272
2019-06-06T00:07:00+02:00;12838000000;2,29E+11;22304768;21619712
2019-06-06T00:08:00+02:00;13866000000;2,29E+11;19375104;18931712
2019-06-06T00:09:00+02:00;13905000000;2,29E+11;19375104;18931712
2019-06-06T00:10:00+02:00;14043000000;2,29E+11;16268288;15814656
2019-06-06T00:11:00+02:00;18007000000;2,29E+11;17701888;16940032
2019-06-06T00:12:00+02:00;11966000000;2,29E+11;17695744;17291264
2019-06-06T00:13:00+02:00;12945000000;2,29E+11;18889728;18812928
2019-06-06T00:14:00+02:00;12949000000;2,29E+11;18889728;18812928
2019-06-06T00:15:00+02:00;13915000000;2,29E+11;15301632;14530560
2019-06-06T00:16:00+02:00;14684000000;2,29E+11;19156992;18587648
2019-06-06T00:17:00+02:00;13591000000;2,29E+11;15679488;15391744
2019-06-06T00:18:00+02:00;17341000000;2,29E+11;15679488;15391744
2019-06-06T00:19:00+02:00;15049000000;2,29E+11;14834688;14525440
2019-06-06T00:20:00+02:00;14057000000;2,29E+11;15210496;14675968
2019-06-06T00:21:00+02:00;17960000000;2,29E+11;17726464;17373184
2019-06-06T00:22:00+02:00;13455000000;2,29E+11;16734208;16549888
2019-06-06T00:23:00+02:00;13455000000;2,29E+11;16734208;16549888
2019-06-06T00:24:00+02:00;12452000000;2,29E+11;17930240;17273856
2019-06-06T00:25:00+02:00;10854000000;2,29E+11;15736832;15781888
2019-06-06T00:26:00+02:00;14779000000;2,29E+11;17395712;16993280
2019-06-06T00:27:00+02:00;13209000000;2,29E+11;17395712;16993280
2019-06-06T00:28:00+02:00;12687000000;2,29E+11;20402176;19886080
2019-06-06T00:29:00+02:00;12835000000;2,29E+11;17500160;17096704
2019-06-06T00:30:00+02:00;10931000000;2,29E+11;14722048;14300160
2019-06-06T00:31:00+02:00;20139000000;2,29E+11;15502336;15248384
2019-06-06T00:32:00+02:00;14393000000;2,29E+11;15502336;15248384
2019-06-06T00:33:00+02:00;12652000000;2,29E+11;13885440;13490176
2019-06-06T00:34:00+02:00;12110000000;2,29E+11;13536256;12996608
2019-06-06T00:35:00+02:00;14480000000;2,29E+11;11411456;11421696
2019-06-06T00:36:00+02:00;15569000000;2,29E+11;11411456;11421696
2019-06-06T00:37:00+02:00;11629000000;2,29E+11;14134272;14285824
2019-06-06T00:38:00+02:00;12036000000;2,29E+11;13985792;13389824
