Time;Number of bytes received
2019-06-06T00:00:00+02:00;20417536
2019-06-06T00:01:00+02:00;24104960
2019-06-06T00:02:00+02:00;23094272
2019-06-06T00:03:00+02:00;16806912
2019-06-06T00:04:00+02:00;16806912
2019-06-06T00:05:00+02:00;21393408
2019-06-06T00:06:00+02:00;20037632
2019-06-06T00:07:00+02:00;22304768
2019-06-06T00:08:00+02:00;19375104
2019-06-06T00:09:00+02:00;19375104
2019-06-06T00:10:00+02:00;16268288
2019-06-06T00:11:00+02:00;17701888
2019-06-06T00:12:00+02:00;17695744
2019-06-06T00:13:00+02:00;18889728
2019-06-06T00:14:00+02:00;18889728
2019-06-06T00:15:00+02:00;15301632
2019-06-06T00:16:00+02:00;19156992
2019-06-06T00:17:00+02:00;15679488
2019-06-06T00:18:00+02:00;15679488
2019-06-06T00:19:00+02:00;14834688
2019-06-06T00:20:00+02:00;15210496
2019-06-06T00:21:00+02:00;17726464
2019-06-06T00:22:00+02:00;16734208
2019-06-06T00:23:00+02:00;16734208
2019-06-06T00:24:00+02:00;17930240
2019-06-06T00:25:00+02:00;15736832
2019-06-06T00:26:00+02:00;17395712
2019-06-06T00:27:00+02:00;17395712
2019-06-06T00:28:00+02:00;20402176
2019-06-06T00:29:00+02:00;17500160
2019-06-06T00:30:00+02:00;14722048
2019-06-06T00:31:00+02:00;15502336
2019-06-06T00:32:00+02:00;15502336
2019-06-06T00:33:00+02:00;13885440
2019-06-06T00:34:00+02:00;13536256
2019-06-06T00:35:00+02:00;11411456
2019-06-06T00:36:00+02:00;11411456
2019-06-06T00:37:00+02:00;14134272
2019-06-06T00:38:00+02:00;13985792
2019-06-06T00:39:00+02:00;16497664
2019-06-06T00:40:00+02:00;14280704
2019-06-06T00:41:00+02:00;14280704
2019-06-06T00:42:00+02:00;13203456
2019-06-06T00:43:00+02:00;14244864
2019-06-06T00:44:00+02:00;14560256
2019-06-06T00:45:00+02:00;14560256
2019-06-06T00:46:00+02:00;16622592
2019-06-06T00:47:00+02:00;16324608
2019-06-06T00:48:00+02:00;12319744
2019-06-06T00:49:00+02:00;12319744
2019-06-06T00:50:00+02:00;9417728
2019-06-06T00:51:00+02:00;11575296
2019-06-06T00:52:00+02:00;11478016
2019-06-06T00:53:00+02:00;7907328
2019-06-06T00:54:00+02:00;7907328
2019-06-06T00:55:00+02:00;11184128
2019-06-06T00:56:00+02:00;9216000
2019-06-06T00:57:00+02:00;7546880
2019-06-06T00:58:00+02:00;7546880
2019-06-06T00:59:00+02:00;9705472
2019-06-06T01:00:00+02:00;8962048
2019-06-06T01:01:00+02:00;10359808
2019-06-06T01:02:00+02:00;11770880
2019-06-06T01:03:00+02:00;11770880
2019-06-06T01:04:00+02:00;8404992
2019-06-06T01:05:00+02:00;11061248
2019-06-06T01:06:00+02:00;7708672
2019-06-06T01:07:00+02:00;7708672
2019-06-06T01:08:00+02:00;7872512
2019-06-06T01:09:00+02:00;8582144
2019-06-06T01:10:00+02:00;6890496
2019-06-06T01:11:00+02:00;7443456
2019-06-06T01:12:00+02:00;7443456
2019-06-06T01:13:00+02:00;8428544
2019-06-06T01:14:00+02:00;7156736
2019-06-06T01:15:00+02:00;7727104
2019-06-06T01:16:00+02:00;7727104
2019-06-06T01:17:00+02:00;7270400
2019-06-06T01:18:00+02:00;6975488
2019-06-06T01:19:00+02:00;5297152
2019-06-06T01:20:00+02:00;6239232
2019-06-06T01:21:00+02:00;6239232
2019-06-06T01:22:00+02:00;6099968
2019-06-06T01:23:00+02:00;5892096
2019-06-06T01:24:00+02:00;4029440
2019-06-06T01:25:00+02:00;3927040
2019-06-06T01:26:00+02:00;3927040
2019-06-06T01:27:00+02:00;4380672
2019-06-06T01:28:00+02:00;3654656
2019-06-06T01:29:00+02:00;7263232
2019-06-06T01:30:00+02:00;7263232
2019-06-06T01:31:00+02:00;4264960
2019-06-06T01:32:00+02:00;4662272
2019-06-06T01:33:00+02:00;6988800
2019-06-06T01:34:00+02:00;7282688
2019-06-06T01:35:00+02:00;7282688
2019-06-06T01:36:00+02:00;5607424
2019-06-06T01:37:00+02:00;5810176
2019-06-06T01:38:00+02:00;6757376
2019-06-06T01:39:00+02:00;7521280
2019-06-06T01:40:00+02:00;7521280
2019-06-06T01:41:00+02:00;5540864
2019-06-06T01:42:00+02:00;6692864
2019-06-06T01:43:00+02:00;6326272
2019-06-06T01:44:00+02:00;6326272
2019-06-06T01:45:00+02:00;5360640
2019-06-06T01:46:00+02:00;4704256
2019-06-06T01:47:00+02:00;5095424
2019-06-06T01:48:00+02:00;5760000
2019-06-06T01:49:00+02:00;5760000
2019-06-06T01:50:00+02:00;3889152
2019-06-06T01:51:00+02:00;5225472
2019-06-06T01:52:00+02:00;4580352
2019-06-06T01:53:00+02:00;4580352
2019-06-06T01:54:00+02:00;6874112
2019-06-06T01:55:00+02:00;5318656
2019-06-06T01:56:00+02:00;5422080
2019-06-06T01:57:00+02:00;5096448
2019-06-06T01:58:00+02:00;5096448
2019-06-06T01:59:00+02:00;5102592
2019-06-06T02:00:00+02:00;5128192
2019-06-06T02:01:00+02:00;5145600
2019-06-06T02:02:00+02:00;5145600
2019-06-06T02:03:00+02:00;4720640
2019-06-06T02:04:00+02:00;4418560
2019-06-06T02:05:00+02:00;6998016
2019-06-06T02:06:00+02:00;5763072
2019-06-06T02:07:00+02:00;5763072
2019-06-06T02:08:00+02:00;6749184
2019-06-06T02:09:00+02:00;7077888
2019-06-06T02:10:00+02:00;5915648
2019-06-06T02:11:00+02:00;5915648
2019-06-06T02:12:00+02:00;4765696
2019-06-06T02:13:00+02:00;4467712
2019-06-06T02:14:00+02:00;5135360
2019-06-06T02:15:00+02:00;5458944
2019-06-06T02:16:00+02:00;5458944
2019-06-06T02:17:00+02:00;6090752
2019-06-06T02:18:00+02:00;5189632
2019-06-06T02:19:00+02:00;3627008
2019-06-06T02:20:00+02:00;3557376
2019-06-06T02:21:00+02:00;3557376
2019-06-06T02:22:00+02:00;4110336
2019-06-06T02:23:00+02:00;4405248
2019-06-06T02:24:00+02:00;6049792
2019-06-06T02:25:00+02:00;4165632
2019-06-06T02:26:00+02:00;4165632
2019-06-06T02:27:00+02:00;5256192
2019-06-06T02:28:00+02:00;3284992
2019-06-06T02:29:00+02:00;2893824
2019-06-06T02:30:00+02:00;2893824
2019-06-06T02:31:00+02:00;2861056
2019-06-06T02:32:00+02:00;3120128
2019-06-06T02:33:00+02:00;3374080
2019-06-06T02:34:00+02:00;4065280
2019-06-06T02:35:00+02:00;4065280
2019-06-06T02:36:00+02:00;3045376
2019-06-06T02:37:00+02:00;3579904
2019-06-06T02:38:00+02:00;3480576
2019-06-06T02:39:00+02:00;3027968
2019-06-06T02:40:00+02:00;3027968
2019-06-06T02:41:00+02:00;4633600
2019-06-06T02:42:00+02:00;4120576
2019-06-06T02:43:00+02:00;2920448
2019-06-06T02:44:00+02:00;2920448
2019-06-06T02:45:00+02:00;4318208
2019-06-06T02:46:00+02:00;3952640
2019-06-06T02:47:00+02:00;2997248
2019-06-06T02:48:00+02:00;3523584
2019-06-06T02:49:00+02:00;3523584
2019-06-06T02:50:00+02:00;2684928
2019-06-06T02:51:00+02:00;2800640
2019-06-06T02:52:00+02:00;4011008
2019-06-06T02:53:00+02:00;4011008
2019-06-06T02:54:00+02:00;3866624
2019-06-06T02:55:00+02:00;4051968
2019-06-06T02:56:00+02:00;3505152
2019-06-06T02:57:00+02:00;2124800
2019-06-06T02:58:00+02:00;2124800
2019-06-06T02:59:00+02:00;2661376
2019-06-06T03:00:00+02:00;2870272
2019-06-06T03:01:00+02:00;2445312
2019-06-06T03:02:00+02:00;2445312
2019-06-06T03:03:00+02:00;3102720
2019-06-06T03:04:00+02:00;2574336
2019-06-06T03:05:00+02:00;3179520
2019-06-06T03:06:00+02:00;2502656
2019-06-06T03:07:00+02:00;2502656
2019-06-06T03:08:00+02:00;2077696
2019-06-06T03:09:00+02:00;3351552
2019-06-06T03:10:00+02:00;3581952
2019-06-06T03:11:00+02:00;3581952
2019-06-06T03:12:00+02:00;3354624
2019-06-06T03:13:00+02:00;2412544
2019-06-06T03:14:00+02:00;2658304
2019-06-06T03:15:00+02:00;3501056
2019-06-06T03:16:00+02:00;3501056
2019-06-06T03:17:00+02:00;2100224
2019-06-06T03:18:00+02:00;2981888
2019-06-06T03:19:00+02:00;2865152
2019-06-06T03:20:00+02:00;2865152
2019-06-06T03:21:00+02:00;2882560
2019-06-06T03:22:00+02:00;2214912
2019-06-06T03:23:00+02:00;2742272
2019-06-06T03:24:00+02:00;2760704
2019-06-06T03:25:00+02:00;2760704
2019-06-06T03:26:00+02:00;2059264
2019-06-06T03:27:00+02:00;3336192
2019-06-06T03:28:00+02:00;2343936
2019-06-06T03:29:00+02:00;3438592
2019-06-06T03:30:00+02:00;3438592
2019-06-06T03:31:00+02:00;4068352
2019-06-06T03:32:00+02:00;2305024
2019-06-06T03:33:00+02:00;2950144
2019-06-06T03:34:00+02:00;2950144
2019-06-06T03:35:00+02:00;2829312
2019-06-06T03:36:00+02:00;2342912
2019-06-06T03:37:00+02:00;3419136
2019-06-06T03:38:00+02:00;3002368
2019-06-06T03:39:00+02:00;3002368
2019-06-06T03:40:00+02:00;2757632
2019-06-06T03:41:00+02:00;2638848
2019-06-06T03:42:00+02:00;2857984
2019-06-06T03:43:00+02:00;2486272
2019-06-06T03:44:00+02:00;2486272
2019-06-06T03:45:00+02:00;2531328
2019-06-06T03:46:00+02:00;3098624
2019-06-06T03:47:00+02:00;3080192
2019-06-06T03:48:00+02:00;3080192
2019-06-06T03:49:00+02:00;2904064
2019-06-06T03:50:00+02:00;2837504
2019-06-06T03:51:00+02:00;3674112
2019-06-06T03:52:00+02:00;3313664
2019-06-06T03:53:00+02:00;3313664
2019-06-06T03:54:00+02:00;5667840
2019-06-06T03:55:00+02:00;3640320
2019-06-06T03:56:00+02:00;3522560
2019-06-06T03:57:00+02:00;3522560
2019-06-06T03:58:00+02:00;2934784
2019-06-06T03:59:00+02:00;3273728
2019-06-06T04:00:00+02:00;3224576
2019-06-06T04:01:00+02:00;2772992
2019-06-06T04:02:00+02:00;2772992
2019-06-06T04:03:00+02:00;3616768
2019-06-06T04:04:00+02:00;3121152
2019-06-06T04:05:00+02:00;2715648
2019-06-06T04:06:00+02:00;2715648
2019-06-06T04:07:00+02:00;3040256
2019-06-06T04:08:00+02:00;3650560
2019-06-06T04:09:00+02:00;2653184
2019-06-06T04:10:00+02:00;3051520
2019-06-06T04:11:00+02:00;3051520
2019-06-06T04:12:00+02:00;2753536
2019-06-06T04:13:00+02:00;2919424
2019-06-06T04:14:00+02:00;3136512
2019-06-06T04:15:00+02:00;3136512
2019-06-06T04:16:00+02:00;2690048
2019-06-06T04:17:00+02:00;6634496
2019-06-06T04:18:00+02:00;2397184
2019-06-06T04:19:00+02:00;1852416
2019-06-06T04:20:00+02:00;1852416
2019-06-06T04:21:00+02:00;2513920
2019-06-06T04:22:00+02:00;2443264
2019-06-06T04:23:00+02:00;1945600
2019-06-06T04:24:00+02:00;1945600
2019-06-06T04:25:00+02:00;1931264
2019-06-06T04:26:00+02:00;2231296
2019-06-06T04:27:00+02:00;null
