Time;dsi-vm04 (tomcat utilitaire): CPU usage;FEX: CPU usage;ADE-SERVEUR: CPU usage;zstore10: CPU usage;CSIGES3 (AppWeb - Gripe): CPU usage;dsi-prtg: CPU usage;dsi-tac: CPU usage;DSI60 (PAXTON Net2): CPU usage;DSI-VMWO: CPU usage;GMD-SMART (GMD Catia Smarteam): CPU usage;IF-ORACLE01 (IF TP Oracle Lamarre): CPU usage;DSI67 (Media4display): CPU usage;DSI-VM21 (Hebergement web 5717): CPU usage;IF-DEVHUB: CPU usage;DSI76 (admiges): CPU usage;dsi-captif-abcd: CPU usage;DSI32 (SQL Vizelia): CPU usage;DSI316: CPU usage;DSI65 (TSE Cocktail): CPU usage;DSI-WO-TEST: CPU usage;DSI37 (OpenReports): CPU usage;dsi-etl-dev: CPU usage;DSI-SYSLOG: CPU usage;DSI39 (VSphere 6.0): CPU usage;DSI-PGDM-SQL01 (Pedago MySQL): CPU usage;DSI-RED5SERVER2: CPU usage;DSI-VM09 (esup dematec): CPU usage;PDM-LSS: CPU usage;IF-ORACLE14  (IF TP Oracle Lamarre): CPU usage;DSI-PGDM-MSSQL1 (StdParts ST3 a conserver jusquen sept 2017 + BDD SimaPro 8.2): CPU usage;DSI180: CPU usage;DSI29 (Plone): CPU usage;DIRPAT-LEGIC (Controle acces LEGIC - Solution KABA): CPU usage;ZLDAP2: CPU usage;ade-test: CPU usage;DSI-RESEAU-SNMP: CPU usage;INSA-TSE-SRV1: CPU usage;DSI-NMS: CPU usage;RASS2: CPU usage;CENTREON: CPU usage;MATEIS9: CPU usage;LVASERV01 (Lic Flexlm LVA): CPU usage;VK1000-7.0-TEMPLATE: CPU usage;ZSMTP2 (Proxy IMAP): CPU usage;template zimbra: CPU usage;SERVIF-TV (IF app télévisions halls IF et SGM): CPU usage;GPS-ISO (TC TP Isorce : a voir): CPU usage;TELECOM (TC site web departement): CPU usage;SRVDOC300-01: CPU usage;WIN2012R2-TEMPLATE: CPU usage;UBUNTU-1804-TEMPLATE: CPU usage;6TM-WIKI: CPU usage;dsi-puppet5: CPU usage;DSI-VMRESTAURANT: CPU usage;insa-avaproxy302-migrate-insa: CPU usage
2019-06-06T00:00:00+02:00;39000000;45000000;0;3080000000;0;551000000;114000000;275000000;22000000;0;0;129000000;22000000;45000000;22000000;2161000000;91000000;25000000;1793000000;22000000;68000000;25000000;0;1862000000;0;0;45000000;0;229000000;91000000;0;45000000;574000000;45000000;22000000;0;25000000;0;0;436000000;114000000;91000000;0;285000000;0;206000000;0;22000000;114000000;0;0;0;528000000;0;0
2019-06-06T00:01:00+02:00;59000000;45000000;0;3770000000;0;551000000;137000000;275000000;22000000;0;0;181000000;22000000;298000000;22000000;2161000000;68000000;25000000;91000000;22000000;68000000;25000000;0;2712000000;0;0;45000000;91000000;206000000;91000000;0;68000000;2161000000;321000000;91000000;0;25000000;0;0;574000000;137000000;91000000;0;207000000;0;183000000;0;0;114000000;0;0;0;22000000;0;0
2019-06-06T00:02:00+02:00;39000000;45000000;0;3770000000;21000000;551000000;137000000;298000000;22000000;0;0;129000000;22000000;137000000;22000000;2321000000;114000000;25000000;91000000;22000000;68000000;25000000;0;3034000000;0;0;45000000;68000000;206000000;91000000;0;68000000;2344000000;68000000;45000000;0;25000000;0;0;160000000;114000000;91000000;0;311000000;0;206000000;0;0;114000000;0;0;0;22000000;0;0
2019-06-06T00:03:00+02:00;19000000;45000000;0;3080000000;0;620000000;114000000;275000000;22000000;0;0;415000000;114000000;45000000;22000000;2321000000;91000000;25000000;91000000;22000000;68000000;25000000;0;2046000000;0;0;91000000;0;275000000;91000000;0;45000000;1333000000;91000000;22000000;0;25000000;0;0;344000000;114000000;91000000;0;207000000;0;528000000;0;0;114000000;0;0;0;22000000;0;0
2019-06-06T00:04:00+02:00;59000000;45000000;0;3103000000;0;574000000;114000000;298000000;22000000;0;0;467000000;22000000;45000000;22000000;2115000000;68000000;25000000;91000000;22000000;68000000;25000000;0;2230000000;0;0;45000000;0;712000000;91000000;0;68000000;206000000;91000000;45000000;0;25000000;0;0;712000000;114000000;91000000;0;259000000;0;183000000;0;0;114000000;0;0;0;22000000;0;0
2019-06-06T00:05:00+02:00;19000000;45000000;0;3379000000;0;574000000;114000000;252000000;22000000;0;0;129000000;22000000;45000000;22000000;1908000000;68000000;25000000;91000000;22000000;68000000;25000000;0;3172000000;0;0;45000000;0;206000000;68000000;0;68000000;206000000;45000000;22000000;0;25000000;0;0;436000000;114000000;91000000;0;181000000;0;206000000;0;0;114000000;0;0;0;22000000;0;0
2019-06-06T00:06:00+02:00;39000000;45000000;0;3494000000;0;574000000;114000000;298000000;22000000;0;0;155000000;22000000;45000000;22000000;2069000000;68000000;25000000;91000000;22000000;68000000;25000000;0;1609000000;0;0;45000000;0;206000000;68000000;0;68000000;206000000;298000000;22000000;0;25000000;0;0;551000000;114000000;91000000;0;311000000;0;206000000;0;0;114000000;0;0;0;22000000;0;0
2019-06-06T00:07:00+02:00;59000000;45000000;0;3885000000;0;551000000;137000000;275000000;22000000;0;0;155000000;22000000;45000000;22000000;2046000000;68000000;25000000;45000000;22000000;68000000;25000000;0;2023000000;0;0;45000000;0;206000000;91000000;0;68000000;183000000;45000000;22000000;0;25000000;0;0;551000000;114000000;91000000;0;285000000;0;229000000;0;0;574000000;0;0;0;22000000;0;0
2019-06-06T00:08:00+02:00;39000000;45000000;0;3264000000;0;551000000;114000000;321000000;22000000;0;0;389000000;22000000;45000000;22000000;2000000000;68000000;25000000;114000000;22000000;68000000;25000000;0;2505000000;0;0;45000000;0;206000000;91000000;0;68000000;206000000;91000000;45000000;0;25000000;0;0;160000000;137000000;91000000;0;285000000;0;206000000;0;0;114000000;0;0;0;22000000;0;0
2019-06-06T00:09:00+02:00;239000000;45000000;0;3264000000;0;551000000;114000000;298000000;22000000;0;0;129000000;22000000;22000000;0;2161000000;275000000;25000000;91000000;22000000;68000000;25000000;0;2850000000;0;0;45000000;0;206000000;91000000;0;45000000;183000000;45000000;45000000;0;25000000;0;0;321000000;137000000;91000000;0;155000000;0;183000000;0;0;229000000;0;0;0;22000000;0;0
