Time;SERVIF-TV (IF app télévisions halls IF et SGM): Number of bytes received on interface Network adapter 1;DSI29 (Plone): Number of bytes received on interface Network adapter 1;DIRPAT-LEGIC (Controle acces LEGIC - Solution KABA): Number of bytes received on interface Network adapter 1;TELECOM (TC site web departement): Number of bytes received on interface Network adapter 1;ZLDAP2: Number of bytes received on interface Network adapter 1;dsi-vm04 (tomcat utilitaire): Number of bytes received on interface Network adapter 1;FEX: Number of bytes received on interface Network adapter 1;DSI60 (PAXTON Net2): Number of bytes received on interface Network adapter 1;DSI-VMWO: Number of bytes received on interface Network adapter 1;ade-test: Number of bytes received on interface Network adapter 1;DSI37 (OpenReports): Number of bytes received on interface Network adapter 1;DSI67 (Media4display): Number of bytes received on interface Network adapter 1;dsi-etl-dev: Number of bytes received on interface Network adapter 1;DSI-VM21 (Hebergement web 5717): Number of bytes received on interface Network adapter 1;IF-DEVHUB: Number of bytes received on interface Network adapter 1;DSI76 (admiges): Number of bytes received on interface Network adapter 1;DSI-RESEAU-SNMP: Number of bytes received on interface Network adapter 1;zstore10: Number of bytes received on interface Network adapter 1;dsi-captif-abcd: Number of bytes received on interface Network adapter 1;DSI39 (VSphere 6.0): Number of bytes received on interface Network adapter 1;INSA-TSE-SRV1: Number of bytes received on interface Network adapter 1;DSI32 (SQL Vizelia): Number of bytes received on interface Network adapter 1;DSI-VM09 (esup dematec): Number of bytes received on interface Network adapter 1;RASS2: Number of bytes received on interface Network adapter 1;PDM-LSS: Number of bytes received on interface Network adapter 1;CENTREON: Number of bytes received on interface Network adapter 1;MATEIS9: Number of bytes received on interface Network adapter 1;CSIGES3 (AppWeb - Gripe): Number of bytes received on interface Network adapter 1;DSI316: Number of bytes received on interface Network adapter 1;DSI65 (TSE Cocktail): Number of bytes received on interface Network adapter 1;dsi-prtg: Number of bytes received on interface Network adapter 1;ZSMTP2 (Proxy IMAP): Number of bytes received on interface Network adapter 1;IF-ORACLE14  (IF TP Oracle Lamarre): Number of bytes received on interface Network adapter 1;DSI-WO-TEST: Number of bytes received on interface Network adapter 1;DSI-PGDM-MSSQL1 (StdParts ST3 a conserver jusquen sept 2017 + BDD SimaPro 8.2): Number of bytes received on interface Network adapter 1;dsi-tac: Number of bytes received on interface Network adapter 1;dsi-puppet5: Number of bytes received on interface Network adapter 1;insa-avaproxy302-migrate-insa: Number of bytes received on interface Network adapter 1;DIRPAT-LEGIC (Controle acces LEGIC - Solution KABA): Number of bytes received on interface Network adapter 2;SRVDOC300-01: Number of bytes received on interface Network adapter 2;DSI60 (PAXTON Net2): Number of bytes received on interface Network adapter 2;DSI-RESEAU-SNMP: Number of bytes received on interface Network adapter 2;dsi-captif-abcd: Number of bytes received on interface Network adapter 2;RASS2: Number of bytes received on interface Network adapter 2;LVASERV01 (Lic Flexlm LVA): Number of bytes received on interface Network adapter 2;dsi-prtg: Number of bytes received on interface Network adapter 2;Number of bytes received on interface Network adapter 3
2019-06-06T12:00:00+02:00;1024;1024;1024;0;0;12288;1024;0;5120;0;0;2048;0;0;0;17408;0;117760;7333888;795648;0;0;0;0;0;7168;1024;0;1024;12288;0;703488;5120;0;0;0;0;0;0;0;3072;0;356352;0;0;0;0
2019-06-06T12:01:00+02:00;1024;1024;1024;0;0;12288;1024;0;18432;0;0;2048;0;0;3072;17408;0;117760;5990400;795648;0;0;0;0;0;3072;1024;0;1024;13312;0;753664;5120;0;0;0;0;0;0;0;3072;0;286720;0;1024;0;1024
2019-06-06T12:02:00+02:00;3072;0;3072;0;0;8192;2048;0;10240;0;0;3072;0;0;0;6144;0;88064;5179392;857088;0;0;0;0;0;5120;1024;0;3072;12288;0;568320;7168;0;0;0;0;0;0;0;3072;0;263168;0;3072;0;2048
2019-06-06T12:03:00+02:00;2048;0;1024;0;0;11264;2048;0;10240;0;0;825344;0;0;0;4096;0;55296;5179392;708608;0;0;0;0;0;52224;1024;0;1024;12288;0;568320;4096;0;0;0;0;0;0;0;3072;0;263168;0;3072;0;2048
2019-06-06T12:04:00+02:00;1024;1024;1024;0;0;13312;2048;0;3072;0;0;1024;0;0;0;4096;0;54272;6434816;132096;0;0;0;0;0;52224;0;0;1024;8192;0;730112;6144;0;0;9216;0;0;0;0;3072;0;293888;0;1024;0;0
2019-06-06T12:05:00+02:00;2048;1024;1024;0;0;13312;0;8192;12288;0;0;1024;0;0;0;7168;0;54272;8825856;832512;0;0;0;0;0;32768;0;0;1024;1024;0;935936;6144;0;0;9216;0;0;0;0;3072;0;425984;0;1024;0;1024
2019-06-06T12:06:00+02:00;2048;1024;1024;0;0;23552;0;0;4096;0;0;2048;0;0;0;2048;0;344064;6724608;832512;0;0;0;0;0;3072;0;0;1024;5120;0;744448;6144;0;0;0;0;0;0;0;3072;0;466944;0;1024;0;1024
2019-06-06T12:07:00+02:00;2048;1024;2048;0;0;20480;0;0;11264;0;0;2048;0;0;0;17408;0;144384;6724608;596992;0;0;0;0;0;4096;0;0;2048;5120;0;714752;9216;0;0;0;0;0;0;0;3072;0;342016;0;1024;0;1024
2019-06-06T12:08:00+02:00;2048;0;2048;0;1024;25600;1024;0;11264;0;0;825344;0;0;0;17408;0;50176;8290304;297984;0;0;1024;0;0;52224;1024;0;2048;3072;0;714752;4096;0;0;0;0;0;0;0;3072;0;342016;0;0;0;2048
2019-06-06T12:09:00+02:00;1024;1024;1024;0;1024;14336;1024;1024;12288;0;0;2048;0;0;0;23552;0;44032;9768960;193536;0;0;1024;0;0;52224;0;0;1024;1024;0;472064;4096;0;0;0;0;0;0;0;3072;0;369664;0;2048;0;0
2019-06-06T12:10:00+02:00;1024;0;1024;0;0;14336;0;0;4096;0;0;2048;0;0;1024;11264;0;44032;7577600;193536;0;0;0;0;0;32768;0;0;1024;1024;0;1068032;4096;0;0;0;0;0;0;0;3072;0;371712;0;1024;0;1024
2019-06-06T12:11:00+02:00;2048;0;2048;0;0;10240;1024;0;4096;0;0;2048;0;0;0;2048;0;141312;7314432;240640;0;0;0;0;0;0;1024;0;2048;1024;0;961536;7168;0;0;0;0;0;0;0;3072;0;338944;0;1024;0;2048
2019-06-06T12:12:00+02:00;1024;0;1024;0;0;25600;1024;0;4096;0;0;1024;0;0;0;19456;0;52224;7314432;610304;0;0;0;0;0;13312;1024;0;1024;1024;0;961536;6144;4096;0;0;0;0;0;0;3072;0;338944;0;1024;0;2048
2019-06-06T12:13:00+02:00;1024;1024;1024;0;0;45056;1024;0;13312;0;0;2048;0;0;0;19456;0;54272;10384384;675840;0;0;0;0;0;13312;1024;0;1024;1024;0;531456;4096;4096;0;9216;0;0;0;0;3072;0;420864;0;1024;0;0
2019-06-06T12:14:00+02:00;2048;1024;1024;0;0;45056;3072;2048;17408;0;0;2048;0;0;0;9216;0;54272;9322496;22528;0;0;0;0;0;1024;0;0;1024;1024;0;641024;4096;0;0;9216;0;0;0;0;3072;0;352256;0;1024;0;1024
2019-06-06T12:15:00+02:00;2048;0;3072;0;0;14336;0;0;4096;0;0;3072;0;0;0;10240;0;63488;8086528;22528;0;0;0;0;0;32768;0;0;3072;1024;0;1074176;4096;0;0;0;0;0;0;0;3072;0;359424;0;1024;0;0
2019-06-06T12:16:00+02:00;1024;0;2048;0;0;16384;1024;0;6144;0;0;2048;0;0;0;9216;0;62464;8633344;708608;0;2048;0;0;0;1024;1024;0;2048;1024;0;538624;7168;0;0;0;0;0;0;0;3072;0;395264;0;1024;0;2048
2019-06-06T12:17:00+02:00;1024;0;2048;0;0;15360;1024;0;6144;0;0;1024;0;0;0;9216;0;76800;8633344;762880;0;2048;0;0;0;13312;1024;0;2048;1024;0;538624;4096;0;0;0;0;0;0;0;3072;0;395264;0;0;0;2048
2019-06-06T12:18:00+02:00;2048;0;1024;0;0;16384;1024;0;3072;0;0;2048;0;0;0;16384;0;66560;10443776;19456;0;0;0;0;0;13312;0;0;1024;1024;0;739328;4096;0;0;0;0;0;0;0;3072;0;453632;0;0;0;0
2019-06-06T12:19:00+02:00;2048;0;1024;0;0;16384;0;1024;7168;0;0;2048;0;0;0;9216;0;66560;11458560;19456;0;0;0;0;0;1024;0;0;1024;1024;0;1131520;4096;0;0;0;0;0;0;0;3072;0;470016;0;0;0;1024
2019-06-06T12:20:00+02:00;2048;0;2048;0;0;16384;1024;0;5120;0;1024;2048;0;0;0;8192;0;55296;9067520;662528;0;0;0;0;0;3072;1024;0;2048;6144;0;851968;9216;0;0;0;0;0;0;0;3072;0;457728;0;2048;0;1024
2019-06-06T12:21:00+02:00;1024;0;1024;0;0;11264;1024;0;5120;0;1024;1024;0;0;0;1024;0;78848;9067520;622592;0;0;0;0;0;1024;1024;0;1024;6144;0;851968;4096;0;0;0;0;0;0;0;3072;0;457728;0;2048;0;1024
2019-06-06T12:22:00+02:00;1024;0;1024;0;0;18432;1024;0;20480;0;0;1024;0;0;0;1024;0;84992;13249536;93184;0;0;0;0;0;1024;1024;0;1024;1024;0;1527808;4096;0;0;0;0;0;0;0;3072;0;534528;0;0;0;0
2019-06-06T12:23:00+02:00;2048;0;1024;0;0;18432;0;0;10240;0;0;1024;1024;0;0;4096;0;52224;10994688;607232;0;0;0;0;0;13312;0;0;1024;1024;0;1145856;4096;0;0;0;0;0;0;0;3072;0;496640;0;0;0;0
2019-06-06T12:24:00+02:00;2048;0;1024;0;0;12288;0;0;1024;0;0;2048;0;0;0;6144;0;52224;10810368;607232;0;0;0;0;0;0;1024;0;1024;1024;0;617472;4096;0;0;0;0;0;0;0;3072;0;424960;0;0;0;1024
2019-06-06T12:25:00+02:00;2048;0;2048;0;0;10240;0;0;0;0;0;2048;0;0;0;10240;0;74752;11079680;476160;0;0;0;0;0;3072;1024;0;2048;1024;0;253952;7168;1024;0;0;0;0;0;0;3072;0;477184;0;1024;0;1024
2019-06-06T12:26:00+02:00;1024;0;1024;0;0;14336;0;0;0;0;0;1024;0;0;0;6144;0;81920;11079680;290816;0;0;0;0;0;0;1024;0;1024;1024;0;253952;4096;1024;0;0;0;0;0;0;3072;0;477184;0;1024;0;1024
2019-06-06T12:27:00+02:00;1024;0;1024;0;0;18432;0;0;3072;0;0;1024;0;0;0;6144;0;72704;14867456;222208;0;0;0;0;0;0;2048;0;1024;1024;0;463872;6144;1024;0;0;0;0;0;0;3072;0;658432;0;1024;0;0
2019-06-06T12:28:00+02:00;2048;0;1024;0;0;18432;0;0;7168;0;0;1024;0;0;0;4096;0;72704;13307904;522240;0;0;0;0;0;9216;0;0;1024;1024;0;1388544;6144;0;0;0;0;0;0;0;3072;0;1647616;0;0;0;1024
2019-06-06T12:29:00+02:00;2048;0;1024;0;0;17408;1024;0;1024;0;0;2048;0;0;0;5120;0;65536;11581440;522240;0;0;0;0;0;0;0;0;1024;1024;0;6466560;6144;0;0;9216;0;0;0;0;3072;0;904192;0;1024;0;1024
2019-06-06T12:30:00+02:00;1024;0;1024;0;0;53248;0;0;4096;0;0;2048;0;0;0;8192;0;58368;14710784;411648;0;0;0;0;0;3072;1024;0;2048;1024;0;1839104;7168;2048;0;9216;0;0;0;0;3072;1024;627712;0;1024;0;1024
2019-06-06T12:31:00+02:00;2048;0;1024;0;0;1024;0;0;4096;0;0;2048;0;0;0;8192;0;46080;14710784;364544;0;0;0;0;0;1024;1024;0;2048;1024;0;1839104;4096;2048;0;0;0;0;0;0;3072;1024;627712;0;1024;0;2048
2019-06-06T12:32:00+02:00;1024;1024;1024;0;0;21504;1024;1024;0;0;0;2048;1024;0;0;3072;0;102400;14257152;84992;0;0;0;0;0;1024;0;0;2048;1024;0;295936;4096;0;0;0;0;0;0;0;3072;0;572416;0;0;0;0
2019-06-06T12:33:00+02:00;1024;0;1024;0;0;21504;0;0;3072;0;1024;2048;0;0;0;2048;0;102400;15397888;84992;0;0;0;0;0;9216;0;0;1024;1024;0;962560;4096;0;0;0;0;0;0;0;3072;0;653312;0;0;0;1024
