Time;SERVIF-TV (IF app télévisions halls IF et SGM): Number of bytes transmitted on interface Network adapter 1;DSI29 (Plone): Number of bytes transmitted on interface Network adapter 1;DIRPAT-LEGIC (Controle acces LEGIC - Solution KABA): Number of bytes transmitted on interface Network adapter 1;TELECOM (TC site web departement): Number of bytes transmitted on interface Network adapter 1;ZLDAP2: Number of bytes transmitted on interface Network adapter 1;dsi-vm04 (tomcat utilitaire): Number of bytes transmitted on interface Network adapter 1;FEX: Number of bytes transmitted on interface Network adapter 1;DSI60 (PAXTON Net2): Number of bytes transmitted on interface Network adapter 1;DSI-VMWO: Number of bytes transmitted on interface Network adapter 1;ade-test: Number of bytes transmitted on interface Network adapter 1;DSI37 (OpenReports): Number of bytes transmitted on interface Network adapter 1;DSI67 (Media4display): Number of bytes transmitted on interface Network adapter 1;dsi-etl-dev: Number of bytes transmitted on interface Network adapter 1;DSI-VM21 (Hebergement web 5717): Number of bytes transmitted on interface Network adapter 1;IF-DEVHUB: Number of bytes transmitted on interface Network adapter 1;DSI76 (admiges): Number of bytes transmitted on interface Network adapter 1;DSI-RESEAU-SNMP: Number of bytes transmitted on interface Network adapter 1;zstore10: Number of bytes transmitted on interface Network adapter 1;dsi-captif-abcd: Number of bytes transmitted on interface Network adapter 1;DSI39 (VSphere 6.0): Number of bytes transmitted on interface Network adapter 1;INSA-TSE-SRV1: Number of bytes transmitted on interface Network adapter 1;DSI32 (SQL Vizelia): Number of bytes transmitted on interface Network adapter 1;DSI-VM09 (esup dematec): Number of bytes transmitted on interface Network adapter 1;RASS2: Number of bytes transmitted on interface Network adapter 1;PDM-LSS: Number of bytes transmitted on interface Network adapter 1;CENTREON: Number of bytes transmitted on interface Network adapter 1;MATEIS9: Number of bytes transmitted on interface Network adapter 1;CSIGES3 (AppWeb - Gripe): Number of bytes transmitted on interface Network adapter 1;DSI316: Number of bytes transmitted on interface Network adapter 1;DSI65 (TSE Cocktail): Number of bytes transmitted on interface Network adapter 1;dsi-prtg: Number of bytes transmitted on interface Network adapter 1;ZSMTP2 (Proxy IMAP): Number of bytes transmitted on interface Network adapter 1;IF-ORACLE14  (IF TP Oracle Lamarre): Number of bytes transmitted on interface Network adapter 1;DSI-WO-TEST: Number of bytes transmitted on interface Network adapter 1;DSI-PGDM-MSSQL1 (StdParts ST3 a conserver jusquen sept 2017 + BDD SimaPro 8.2): Number of bytes transmitted on interface Network adapter 1;dsi-tac: Number of bytes transmitted on interface Network adapter 1;dsi-puppet5: Number of bytes transmitted on interface Network adapter 1;insa-avaproxy302-migrate-insa: Number of bytes transmitted on interface Network adapter 1;DIRPAT-LEGIC (Controle acces LEGIC - Solution KABA): Number of bytes received on interface Network adapter 2;SRVDOC300-01: Number of bytes received on interface Network adapter 2;DSI60 (PAXTON Net2): Number of bytes received on interface Network adapter 2;DSI-RESEAU-SNMP: Number of bytes received on interface Network adapter 2;dsi-captif-abcd: Number of bytes received on interface Network adapter 2;RASS2: Number of bytes received on interface Network adapter 2;LVASERV01 (Lic Flexlm LVA): Number of bytes received on interface Network adapter 2;dsi-prtg: Number of bytes received on interface Network adapter 2;Number of bytes transmitted on interface Network adapter 3
2019-06-06T12:00:00+02:00;0;0;0;0;0;13312;1024;0;4096;0;0;0;0;0;0;1817600;0;202752;332800;1688576;0;0;0;0;0;2048;0;0;0;7168;0;594944;5120;0;0;0;0;0;0;0;3072;0;356352;0;0;0;0
2019-06-06T12:01:00+02:00;0;0;0;0;0;13312;1024;0;18432;0;0;0;0;0;1024;189440;0;202752;257024;1688576;0;0;0;0;0;3072;0;0;0;4096;0;710656;5120;0;0;0;0;0;0;0;3072;0;286720;0;1024;0;0
2019-06-06T12:02:00+02:00;0;0;0;0;0;8192;1024;0;10240;0;0;0;0;0;0;56320;0;121856;225280;46080;0;0;0;0;0;3072;0;0;0;5120;0;487424;7168;0;0;0;0;0;0;0;3072;0;263168;0;3072;0;0
2019-06-06T12:03:00+02:00;0;0;0;0;0;19456;1024;0;10240;0;0;25600;0;0;0;28672;0;116736;225280;151552;0;0;0;0;0;10240;0;0;0;5120;0;487424;4096;4096;0;0;0;0;0;0;3072;0;263168;0;3072;0;0
2019-06-06T12:04:00+02:00;0;0;0;0;0;32768;1024;0;2048;0;0;0;0;0;0;28672;0;189440;266240;417792;0;0;0;0;0;10240;0;0;0;9216;0;586752;5120;4096;0;3072;0;0;0;0;3072;0;293888;0;1024;0;0
2019-06-06T12:05:00+02:00;0;0;0;0;0;32768;0;0;11264;0;0;0;0;0;0;63488;0;189440;392192;431104;0;0;0;0;0;3072;0;0;0;1024;0;685056;5120;0;0;3072;0;0;0;0;3072;0;425984;0;1024;0;0
2019-06-06T12:06:00+02:00;0;0;0;0;0;52224;0;0;4096;0;0;0;0;0;0;4096;0;103424;431104;431104;0;0;0;0;0;3072;0;0;0;5120;0;687104;5120;0;0;0;0;0;0;0;3072;0;466944;0;1024;0;0
2019-06-06T12:07:00+02:00;0;0;0;0;0;20480;0;0;9216;0;0;0;0;0;0;106496;0;191488;309248;390144;0;0;0;0;0;2048;0;0;0;5120;0;546816;8192;0;0;0;0;0;0;0;3072;0;342016;0;1024;0;0
2019-06-06T12:08:00+02:00;0;0;0;0;0;24576;0;0;9216;0;0;25600;0;0;0;106496;0;148480;309248;91136;0;0;0;0;0;10240;0;0;0;5120;0;546816;3072;0;0;0;0;0;0;0;3072;0;342016;0;0;0;0
2019-06-06T12:09:00+02:00;0;0;0;0;0;14336;0;0;11264;0;0;0;0;0;0;158720;0;385024;333824;74752;0;0;0;0;0;10240;0;0;0;1024;0;333824;4096;4096;0;0;0;0;0;0;3072;0;369664;0;2048;0;0
2019-06-06T12:10:00+02:00;0;0;0;0;0;14336;0;0;3072;0;0;0;0;0;0;71680;0;385024;337920;74752;0;0;0;0;0;3072;0;0;0;1024;0;1008640;4096;0;0;0;0;0;0;0;3072;0;371712;0;1024;0;0
2019-06-06T12:11:00+02:00;0;0;0;0;0;20480;0;0;4096;0;0;0;0;0;0;4096;0;92160;303104;397312;0;0;0;0;0;0;0;0;0;1024;0;889856;7168;0;0;0;0;0;0;0;3072;0;338944;0;1024;0;0
