Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-07-08T00:00:00+02:00;9647666666;2,20015E+11;265881;834048;20;10
2019-07-08T01:00:00+02:00;9343566666;2,19945E+11;557346;17307989;17;9
2019-07-08T02:00:00+02:00;10982566666;2,18467E+11;4439705;20172270;15;14
2019-07-08T03:00:00+02:00;9730966666;2,15613E+11;636459;17411644;17;27
2019-07-08T04:00:00+02:00;9973433333;2,15599E+11;418252;4241664;20;35
2019-07-08T05:00:00+02:00;10437250000;2,15573E+11;295901;600268;14;5
2019-07-08T06:00:00+02:00;11061550000;2,15607E+11;401544;819080;18;5
2019-07-08T07:00:00+02:00;8454950000;2,15581E+11;809591;2164940;14;6
2019-07-08T08:00:00+02:00;11026016666;2,15545E+11;907673;1723801;15;5
2019-07-08T09:00:00+02:00;11887550000;2,15568E+11;1000123;2100974;23;15
2019-07-08T10:00:00+02:00;12589300000;2,1561E+11;966707;2614306;23;14
2019-07-08T11:00:00+02:00;11172633333;2,1569E+11;1186491;2227609;22;18
2019-07-08T12:00:00+02:00;12106700000;2,15771E+11;1984963;2656308;20;6
2019-07-08T13:00:00+02:00;10628016666;2,1557E+11;1562502;37991424;19;9
2019-07-08T14:00:00+02:00;11333266666;2,12566E+11;2461627;73680162;24;13
2019-07-08T15:00:00+02:00;12365666666;2,08694E+11;854852;4329113;19;9
2019-07-08T16:00:00+02:00;12359183333;2,08493E+11;750557;1612800;21;12
2019-07-08T17:00:00+02:00;9473066666;2,08548E+11;536645;2594798;14;5
2019-07-08T18:00:00+02:00;11603683333;2,08631E+11;469616;2354054;21;13
2019-07-08T19:00:00+02:00;8379583333;2,10466E+11;1241804;2703479;14;19
2019-07-08T20:00:00+02:00;8661133333;2,12891E+11;366370;1077521;16;5
2019-07-08T21:00:00+02:00;8273500000;2,1291E+11;556117;11069764;14;11
2019-07-08T22:00:00+02:00;11339300000;2,11745E+11;904550;6509056;20;8
2019-07-08T23:00:00+02:00;8897350000;2,06352E+11;429653;1318792;14;10
2019-07-09T00:00:00+02:00;8976133333;2,06433E+11;410988;1357285;16;12
2019-07-09T01:00:00+02:00;8803200000;2,06345E+11;715140;19345460;13;10
2019-07-09T02:00:00+02:00;10664500000;2,0637E+11;4824752;21539204;17;27
2019-07-09T03:00:00+02:00;9120316666;2,06334E+11;503552;11351210;19;23
2019-07-09T04:00:00+02:00;11742516666;2,06956E+11;388130;1544362;19;33
2019-07-09T05:00:00+02:00;11886800000;2,04099E+11;411821;5063870;14;11
2019-07-09T06:00:00+02:00;8524166666;2,03627E+11;651639;2193203;17;15
2019-07-09T07:00:00+02:00;8353183333;2,03543E+11;588322;1687005;16;3
2019-07-09T08:00:00+02:00;9944183333;2,0355E+11;926907;2119099;18;13
2019-07-09T09:00:00+02:00;11068333333;2,03844E+11;1282065;16930850;19;10
2019-07-09T10:00:00+02:00;11200733333;2,03839E+11;1511065;41951266;18;10
2019-07-09T11:00:00+02:00;10598600000;2,03796E+11;1864379;58039005;20;9
2019-07-09T12:00:00+02:00;9600383333;2,03996E+11;1572603;48569274;15;6
2019-07-09T13:00:00+02:00;9545516666;2,00967E+11;732381;11012539;17;15
