Time;CPU usage;Number of bytes received;Number of bytes transmitted;Used memory;Average read latency of the datastore LUN_080;Average write latency of the datastore LUN_080
2019-05-20T00:00:00+02:00;16776500000;24267264;24052224;234556489728;5;6
2019-05-20T00:02:00+02:00;14029000000;19980288;19657728;234559111168;6;7.5
2019-05-20T00:04:00+02:00;15386500000;21833728;21724672;234558586880;2;5.5
2019-05-20T00:06:00+02:00;18169000000;22803968;22264320;234559111168;2;7
2019-05-20T00:08:00+02:00;16733000000;22036992;21739008;234578509824;5;5
2019-05-20T00:10:00+02:00;18391000000;23401472;45228032;234583228416;4.5;5
2019-05-20T00:12:00+02:00;18375500000;22184960;46428160;234602102784;8.5;3.5
2019-05-20T00:14:00+02:00;19402000000;16002048;43302400;234593189888;4;0
2019-05-20T00:16:00+02:00;19170500000;15989760;43367424;234590568448;6;4.5
2019-05-20T00:18:00+02:00;21407000000;15964672;40999936;234596335616;2;1
2019-05-20T00:20:00+02:00;18364500000;15142912;43397120;234597384192;2.5;1
2019-05-20T00:22:00+02:00;15472500000;17261568;41774592;234597384192;2;0.5
2019-05-20T00:24:00+02:00;16238000000;15515648;41620480;234606297088;2;0.5
2019-05-20T00:26:00+02:00;20237000000;16601600;44299264;234579034112;2;1.5
2019-05-20T00:28:00+02:00;14956500000;17972224;42457600;234575364096;1.5;0
2019-05-20T00:30:00+02:00;13418500000;16868864;44453376;234607345664;1;1.5
2019-05-20T00:32:00+02:00;16274500000;17637888;44171776;234601054208;2;1.5
2019-05-20T00:34:00+02:00;13731500000;15419392;14880768;234596335616;1.5;0.5
2019-05-20T00:36:00+02:00;14915000000;13783040;13362688;234576936960;2.5;1.5
2019-05-20T00:38:00+02:00;13238500000;14273536;13927936;234572742656;1;1
2019-05-20T00:40:00+02:00;14970000000;13744128;13308416;234565926912;1;0.5
2019-05-20T00:42:00+02:00;16020000000;13413888;12750848;234567499776;0.5;1
2019-05-20T00:44:00+02:00;12723000000;11849216;11470848;234565926912;0.5;0.5
2019-05-20T00:46:00+02:00;15935500000;12387840;11943424;234561208320;1;2
2019-05-20T00:48:00+02:00;13191000000;13921280;13427712;234568548352;0;0
2019-05-20T00:50:00+02:00;15865000000;12275712;11985408;234576412672;0;0.5
2019-05-20T00:52:00+02:00;13368000000;13350912;12716032;234578509824;1;1
2019-05-20T00:54:00+02:00;14898000000;12973056;12813312;234577985536;0;0
2019-05-20T00:56:00+02:00;14603000000;13904384;14121472;234575364096;1;2
2019-05-20T00:58:00+02:00;13762000000;13001216;13120000;234571694080;0;1
2019-05-20T01:00:00+02:00;12698500000;12233216;19312128;234569072640;0;0
2019-05-20T01:02:00+02:00;14461000000;12538368;30211072;234567499776;3;4.5
2019-05-20T01:04:00+02:00;17720000000;12732928;37089792;234566975488;2;0
2019-05-20T01:06:00+02:00;16422000000;10337280;25776128;234570121216;1;5.5
2019-05-20T01:08:00+02:00;13498500000;9325056;31285248;234570645504;1;1
2019-05-20T01:10:00+02:00;13164000000;8722944;25507840;234573266944;1.5;1
2019-05-20T01:12:00+02:00;14620000000;9002496;38514176;234581655552;1;2
2019-05-20T01:14:00+02:00;14209000000;10376704;31353856;234574315520;1;0
2019-05-20T01:16:00+02:00;13320500000;10298368;25380352;234573791232;3;2
2019-05-20T01:18:00+02:00;13452500000;9560576;27459072;234580606976;2.5;1
2019-05-20T01:20:00+02:00;13696500000;7882752;33795072;234583228416;1.5;1
2019-05-20T01:22:00+02:00;16294500000;8077824;28163072;234587422720;2;1.5
