Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-06-27T00:00:00+02:00;10226000000;2,25E+11;5877248;31498752;8;7
2019-06-27T00:02:00+02:00;9362500000;2,25E+11;4866560;5431296;49,5;72,5
2019-06-27T00:04:00+02:00;8490000000;2,25E+11;5247488;5050368;47;20
2019-06-27T00:06:00+02:00;9079000000;2,25E+11;6056960;6340608;54,5;36,5
2019-06-27T00:08:00+02:00;7504000000;2,25E+11;4986368;5183488;11;14,5
2019-06-27T00:10:00+02:00;9547000000;2,25E+11;8224768;7968768;19;26
2019-06-27T00:12:00+02:00;10823000000;2,25E+11;7103488;7086592;7,5;15,5
2019-06-27T00:14:00+02:00;11031000000;2,25E+11;7892992;7607296;10,5;16
2019-06-27T00:16:00+02:00;9431000000;2,25E+11;8099840;8070144;54;147,5
2019-06-27T00:18:00+02:00;13212000000;2,25E+11;6759936;9068544;6;4
2019-06-27T00:20:00+02:00;8644000000;2,25E+11;6560768;6436864;22,5;3,5
2019-06-27T00:22:00+02:00;9427500000;2,25E+11;7067648;6916608;10,5;3
2019-06-27T00:24:00+02:00;10618500000;2,25E+11;7186432;8844288;6;2
2019-06-27T00:26:00+02:00;8938000000;2,25E+11;6968832;6974976;6,5;2
2019-06-27T00:28:00+02:00;9521500000;2,25E+11;4646400;4480512;12;6,5
2019-06-27T00:30:00+02:00;9063000000;2,25E+11;4451328;4802048;12,5;7
2019-06-27T00:32:00+02:00;12589000000;2,25E+11;5592064;5842432;10,5;4,5
2019-06-27T00:34:00+02:00;10414000000;2,25E+11;4825088;5331968;13;2
2019-06-27T00:36:00+02:00;9201500000;2,25E+11;3442176;3969024;14;6,5
2019-06-27T00:38:00+02:00;8879000000;2,25E+11;2281472;2536448;13;2,5
2019-06-27T00:40:00+02:00;9932500000;2,25E+11;4221440;4824576;18,5;11
2019-06-27T00:42:00+02:00;9594000000;2,25E+11;3568640;4151296;15;4,5
2019-06-27T00:44:00+02:00;8237000000;2,25E+11;2969088;3534848;17,5;3
2019-06-27T00:46:00+02:00;9373500000;2,25E+11;2779136;2550272;24,5;22
2019-06-27T00:48:00+02:00;8388000000;2,25E+11;1705472;1948672;9,5;3,5
2019-06-27T00:50:00+02:00;8263500000;2,25E+11;2249216;1977856;5,5;5,5
2019-06-27T00:52:00+02:00;10321000000;2,25E+11;2271232;2379776;13,5;5,5
2019-06-27T00:54:00+02:00;7628500000;2,25E+11;2970112;4635648;9;2,5
2019-06-27T00:56:00+02:00;8900500000;2,25E+11;4047872;3985920;9,5;14,5
2019-06-27T00:58:00+02:00;7590500000;2,25E+11;3987968;4367872;8,5;2
2019-06-27T01:00:00+02:00;12049500000;2,25E+11;5260288;20267520;8,5;3,5
2019-06-27T01:02:00+02:00;12096000000;2,25E+11;5711872;25553920;17;40,5
2019-06-27T01:04:00+02:00;13504500000;2,25E+11;4373504;25716224;11,5;9,5
2019-06-27T01:06:00+02:00;10057000000;2,25E+11;3350528;25145344;14;24
2019-06-27T01:08:00+02:00;8511500000;2,25E+11;3107328;22136832;13,5;4
2019-06-27T01:10:00+02:00;9200000000;2,25E+11;7735296;25029120;7,5;4,5
2019-06-27T01:12:00+02:00;8203500000;2,25E+11;5633536;31196672;27,5;330,5
2019-06-27T01:14:00+02:00;10612000000;2,25E+11;4604928;28273152;10,5;4
2019-06-27T01:16:00+02:00;9649000000;2,25E+11;3563008;30279168;9;5
2019-06-27T01:18:00+02:00;9343000000;2,25E+11;5318656;25823232;12;4
2019-06-27T01:20:00+02:00;8843000000;2,25E+11;5538816;23697408;7,5;5
2019-06-27T01:22:00+02:00;9342000000;2,25E+11;7052800;24425472;9;5
2019-06-27T01:24:00+02:00;9322500000;2,25E+11;6194176;26540032;7;5,5
2019-06-27T01:26:00+02:00;10360000000;2,25E+11;6227456;21058048;15,5;31,5
2019-06-27T01:28:00+02:00;12762000000;2,25E+11;6977536;23292928;16,5;4,5
2019-06-27T01:30:00+02:00;9199000000;2,25E+11;6619648;28450304;30;36
2019-06-27T01:32:00+02:00;10127500000;2,25E+11;3981312;34523648;21;13
2019-06-27T01:34:00+02:00;8421000000;2,25E+11;3815936;32652800;6,5;4
2019-06-27T01:36:00+02:00;8889500000;2,25E+11;4533760;36329472;8;5
2019-06-27T01:38:00+02:00;7563500000;2,25E+11;3701760;40995840;7;5,5
2019-06-27T01:40:00+02:00;8113000000;2,25E+11;4443648;27445248;7;8
2019-06-27T01:42:00+02:00;8292000000;2,25E+11;3321856;19954688;8,5;9
2019-06-27T01:44:00+02:00;8251500000;2,25E+11;3145728;36560384;10,5;10
2019-06-27T01:46:00+02:00;10223000000;2,25E+11;4932096;30060032;12;15,5
2019-06-27T01:48:00+02:00;7970500000;2,25E+11;4323328;32644608;11,5;6,5
2019-06-27T01:50:00+02:00;10572500000;2,25E+11;4150784;39359488;12,5;7
2019-06-27T01:52:00+02:00;7844000000;2,25E+11;3767296;34366976;22;21,5
2019-06-27T01:54:00+02:00;8088500000;2,25E+11;4130816;38195200;9,5;4,5
2019-06-27T01:56:00+02:00;8612500000;2,25E+11;4710400;19491840;37;72,5
2019-06-27T01:58:00+02:00;7675500000;2,25E+11;3331072;37757952;10;9,5
