Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Average read latency of the datastore NFS;Average read latency of the datastore LUN_080;Average read latency of the datastore LUN_081;Average read latency of the datastore LUN_082;Average read latency of the datastore LUN_083;Average read latency of the datastore LUN_084;Average read latency of the datastore LUN_085;Average write latency of the datastore NFS;Average write latency of the datastore LUN_080;Average write latency of the datastore LUN_081;Average write latency of the datastore LUN_082;Average write latency of the datastore LUN_083;Average write latency of the datastore LUN_084;Average write latency of the datastore LUN_085;Overall status
2019-06-27T00:00:00+02:00;10226000000;224833568768;5877248;31498752;0;1;0;0.5;0;1.5;5;0;1;0;1;0;0;5;1
2019-06-27T00:02:00+02:00;9362500000;224837763072;4866560;5431296;0;3;13;2.5;8;0.5;22.5;0;10;12.5;9;26;8;7;1
2019-06-27T00:04:00+02:00;8490000000;224837238784;5247488;5050368;0;4;11;2;12;1;17;0;5;3;3.5;0.5;3;5;1
2019-06-27T00:06:00+02:00;9079000000;224845627392;6056960;6340608;0;7;19.5;4.5;6;2.5;15;0;5.5;4.5;8;6;8;4.5;1
2019-06-27T00:08:00+02:00;7504000000;224854016000;4986368;5183488;0;2;0.5;2;0;0;6.5;0;2;4;3;1;1.5;3;1
2019-06-27T00:10:00+02:00;9547000000;224848773120;8224768;7968768;0;4;2;2;0;0;11;0;2.5;10.5;5;1;3;4;1
2019-06-27T00:12:00+02:00;10823000000;224852443136;7103488;7086592;0;0;0;0;0;0;7.5;0;3;3;2;2.5;3.5;1.5;1
2019-06-27T00:14:00+02:00;11031000000;224860831744;7892992;7607296;0;0.5;0;0;0;0;10;0;1;0;2;4;1;8;1
2019-06-27T00:16:00+02:00;9431000000;224862928896;8099840;8070144;0;1;1;2.5;1;0;48.5;0;4.5;112;6;12;5;8;1
2019-06-27T00:18:00+02:00;13212000000;224860831744;6759936;9068544;0;0;0;0;0;0;6;0;1;1;1;0;1;0;1
2019-06-27T00:20:00+02:00;8644000000;224858210304;6560768;6436864;0;2;12.5;0.5;0;3;4.5;0;0.5;0;2.5;0;0.5;0;1
2019-06-27T00:22:00+02:00;9427500000;224859258880;7067648;6916608;0;3;0;2;0;0;5.5;0;0.5;0.5;1;0;1;0;1
2019-06-27T00:24:00+02:00;10618500000;224859258880;7186432;8844288;0;0.5;0;0.5;0;0;5;0;0;0;1;0;1;0;1
2019-06-27T00:26:00+02:00;8938000000;224861356032;6968832;6974976;0;0;0;0.5;0;0;6;0;0;0;0.5;0.5;1;0;1
2019-06-27T00:28:00+02:00;9521500000;224900677632;4646400;4480512;0;1;0;0.5;0;6.5;4;0;1;0.5;3;1;0;1;1
2019-06-27T00:30:00+02:00;9063000000;224881278976;4451328;4802048;0;5;0;1;0;0;6.5;0;1.5;0.5;1.5;0;2.5;1;1
2019-06-27T00:32:00+02:00;12589000000;224884948992;5592064;5842432;0;3;0;0.5;0;0;7;0;1;0;2;0;1;0.5;1
2019-06-27T00:34:00+02:00;10414000000;224890716160;4825088;5331968;0;5.5;0;1;0;0;6.5;0;0;0;1;0;1;0;1
2019-06-27T00:36:00+02:00;9201500000;224888094720;3442176;3969024;0;6;0;1;0;0;7;0;0.5;0;4;0;1.5;0.5;1
2019-06-27T00:38:00+02:00;8879000000;224889143296;2281472;2536448;0;6;0;1.5;0;0;5.5;0;0;0.5;1;0;1;0;1
2019-06-27T00:40:00+02:00;9932500000;224893861888;4221440;4824576;0;8.5;0;0;0;3.5;6.5;0;0.5;0.5;6;2;1.5;0.5;1
2019-06-27T00:42:00+02:00;9594000000;224893861888;3568640;4151296;0;8;0;0;0;1;6;0;0;0.5;0.5;1.5;2;0;1
2019-06-27T00:44:00+02:00;8237000000;224887570432;2969088;3534848;0;2.5;0;1;0;8.5;5.5;0;0.5;0.5;1;0;1;0;1
2019-06-27T00:46:00+02:00;9373500000;224891240448;2779136;2550272;0;12;0;1;0;1.5;10;0;5;1;6;4;5;1;1
2019-06-27T00:48:00+02:00;8388000000;224893861888;1705472;1948672;0;1.5;0;1;0;0;7;0;0.5;1.5;0.5;0;1;0;1
