Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status;RLATE;WLATE
2019-02-01T00:00:00+01:00;14160583333;2,30396E+11;26420906;17821747;1;18;10
2019-02-01T01:00:00+01:00;14255183333;2,30005E+11;15870941;37243972;1;12;22
2019-02-01T02:00:00+01:00;13801683333;2,31005E+11;8976418;17241668;1;10;20
2019-02-01T03:00:00+01:00;16563350000;2,4483E+11;21392998;23140317;1;13;20
2019-02-01T04:00:00+01:00;17668500000;2,49447E+11;9733675;6783080;1;14;28
2019-02-01T05:00:00+01:00;18909350000;2,46959E+11;8135270;3866555;1;8;2
2019-02-01T06:00:00+01:00;19152883333;2,47295E+11;7158647;2937258;1;8;6
2019-02-01T07:00:00+01:00;20021483333;2,47424E+11;10928366;6450722;1;16;6
2019-02-01T08:00:00+01:00;22315000000;2,44617E+11;20714240;17833608;1;20;6
2019-02-01T09:00:00+01:00;23599750000;2,37073E+11;27860206;29943091;1;17;7
2019-02-01T10:00:00+01:00;27185133333;2,3374E+11;31305369;24178449;1;27;21
2019-02-01T11:00:00+01:00;25429283333;2,3318E+11;31946456;22529631;1;20;10
2019-02-01T12:00:00+01:00;16450233333;2,31083E+11;39069235;30990062;1;19;8
2019-02-01T13:00:00+01:00;14092900000;2,3484E+11;28497083;24964812;1;27;16
2019-02-01T14:00:00+01:00;13792150000;2,33049E+11;18366361;8329813;1;21;21
2019-02-01T15:00:00+01:00;14474666666;2,41598E+11;20535569;8231321;1;25;22
2019-02-01T16:00:00+01:00;14338166666;2,42698E+11;17346764;9787272;1;25;21
2019-02-01T17:00:00+01:00;18450000000;2,42435E+11;28927470;24483396;1;28;26
2019-02-01T18:00:00+01:00;18835650000;2,39677E+11;29618756;20671488;1;22;27
2019-02-01T19:00:00+01:00;14418966666;2,48118E+11;24576989;24125678;1;16;16
2019-02-01T20:00:00+01:00;14179416666;2,44562E+11;19237563;14397405;1;17;18
2019-02-01T21:00:00+01:00;15148500000;2,45266E+11;16609928;13265169;1;13;15
2019-02-01T22:00:00+01:00;15836816666;2,45578E+11;16115677;12064021;1;17;14
2019-02-01T23:00:00+01:00;13693633333;2,48604E+11;15809143;12856746;1;10;14
2019-02-02T00:00:00+01:00;13900683333;2,52617E+11;14067438;9948262;1;19;17
2019-02-02T01:00:00+01:00;14126850000;2,51944E+11;16097315;38232169;1;14;32
2019-02-02T02:00:00+01:00;12164783333;2,52147E+11;11951240;21814510;1;15;39
2019-02-02T03:00:00+01:00;12088083333;2,51574E+11;12219357;14371140;1;15;27
2019-02-02T04:00:00+01:00;13379033333;2,54288E+11;8707276;12751854;1;16;44
2019-02-02T05:00:00+01:00;13084766666;2,54213E+11;6399232;2491682;1;12;14
2019-02-02T06:00:00+01:00;13110650000;2,54597E+11;5512403;3223304;1;11;15
2019-02-02T07:00:00+01:00;13096450000;2,46655E+11;5821269;1827703;1;11;9
2019-02-02T08:00:00+01:00;11961166666;2,45182E+11;7461256;3630626;1;11;10
2019-02-02T09:00:00+01:00;13137133333;2,462E+11;11434632;9430493;1;12;14
2019-02-02T10:00:00+01:00;14873400000;2,46772E+11;18109627;17686715;1;13;29
2019-02-02T11:00:00+01:00;16840600000;2,44735E+11;22739353;39401352;1;13;17
2019-02-02T12:00:00+01:00;14741566666;2,43511E+11;24696203;44916789;1;14;12
2019-02-02T13:00:00+01:00;15455983333;2,42988E+11;29066410;28247825;1;13;6
2019-02-02T14:00:00+01:00;14604266666;2,42928E+11;31523433;28499244;1;12;8
2019-02-02T15:00:00+01:00;15389650000;2,43006E+11;26076740;22002005;1;10;3
2019-02-02T16:00:00+01:00;16913233333;2,40249E+11;25816376;25837845;1;11;4
2019-02-02T17:00:00+01:00;18795566666;2,37151E+11;27852270;28035778;1;9;3
2019-02-02T18:00:00+01:00;17980833333;2,36226E+11;29598088;25731959;1;9;4
2019-02-02T19:00:00+01:00;16280116666;2,36693E+11;28558995;24947312;1;10;1
2019-02-02T20:00:00+01:00;15549483333;2,3868E+11;28112809;25764082;1;7;7
2019-02-02T21:00:00+01:00;14630933333;2,38603E+11;27268676;25985467;1;6;3
2019-02-02T22:00:00+01:00;14581416666;2,41329E+11;31514146;27302997;1;7;10
2019-02-02T23:00:00+01:00;15932600000;2,43803E+11;27435315;23408725;1;12;5
2019-02-03T00:00:00+01:00;15186966666;2,44076E+11;23141546;18086656;1;10;7
2019-02-03T01:00:00+01:00;16297800000;2,44834E+11;16987921;33542417;1;12;11
2019-02-03T02:00:00+01:00;15585833333;2,46081E+11;12103307;15847200;1;11;17
2019-02-03T03:00:00+01:00;15367383333;2,45837E+11;9579673;6602393;1;14;13
2019-02-03T04:00:00+01:00;14973700000;2,45606E+11;6973301;3558729;1;12;29
2019-02-03T05:00:00+01:00;13632400000;2,45409E+11;6401109;2342826;1;6;3
2019-02-03T06:00:00+01:00;14281900000;2,38856E+11;7667968;6081774;1;8;7
2019-02-03T07:00:00+01:00;14267350000;2,32653E+11;6607554;2493793;1;8;2
2019-02-03T08:00:00+01:00;13889700000;2,32827E+11;7319654;3070634;1;12;4
2019-02-03T09:00:00+01:00;14170216666;2,33125E+11;10172091;16673996;1;11;4
2019-02-03T10:00:00+01:00;15566516666;2,31137E+11;15368277;11945096;1;8;2
2019-02-03T11:00:00+01:00;17238333333;2,30615E+11;22207726;17961045;1;10;5
2019-02-03T12:00:00+01:00;17730100000;2,30619E+11;26583483;23016140;1;10;5
2019-02-03T13:00:00+01:00;16433050000;2,30643E+11;28289126;26015778;1;9;7
2019-02-03T14:00:00+01:00;16033450000;2,3219E+11;34272187;30431180;1;9;6
2019-02-03T15:00:00+01:00;17989066666;2,29166E+11;34222694;32058948;1;9;5
2019-02-03T16:00:00+01:00;16269783333;2,27381E+11;30047283;25737915;1;13;5
2019-02-03T17:00:00+01:00;18227416666;2,27359E+11;31368533;27209386;1;14;9
2019-02-03T18:00:00+01:00;20152533333;2,27538E+11;31966832;32070881;1;12;8
2019-02-03T19:00:00+01:00;18210000000;2,2756E+11;30700339;33779507;1;14;9
2019-02-03T20:00:00+01:00;18756016666;2,2775E+11;31539564;29604968;1;10;8
2019-02-03T21:00:00+01:00;20561933333;2,27378E+11;38326900;34076366;1;16;4
2019-02-03T22:00:00+01:00;20907383333;2,27744E+11;42835367;39282176;1;17;5
2019-02-03T23:00:00+01:00;19098900000;2,27121E+11;31091035;26608015;1;12;8
2019-02-04T00:00:00+01:00;15402883333;2,29384E+11;27039344;18249328;1;16;11
2019-02-04T01:00:00+01:00;16318633333;2,32873E+11;15851149;36697617;1;12;8
2019-02-04T02:00:00+01:00;14756816666;2,36086E+11;11845905;15777126;1;11;19
2019-02-04T03:00:00+01:00;15459616666;2,42465E+11;8239769;10013900;1;14;18
2019-02-04T04:00:00+01:00;14426800000;2,41954E+11;6714828;3453457;1;14;38
2019-02-04T05:00:00+01:00;14695600000;2,41534E+11;6115484;1770669;1;14;3
2019-02-04T06:00:00+01:00;15341716666;2,4163E+11;6010350;1640362;1;14;8
2019-02-04T07:00:00+01:00;17210550000;2,38836E+11;8590933;6450739;1;20;2
2019-02-04T08:00:00+01:00;16518316666;2,3354E+11;12164113;7879867;1;25;8
2019-02-04T09:00:00+01:00;18383083333;2,33749E+11;12748678;8829257;1;25;12
2019-02-04T10:00:00+01:00;19734133333;2,32767E+11;21196697;17215453;1;22;10
2019-02-04T11:00:00+01:00;19021550000;2,31677E+11;22709018;19909949;1;25;12
2019-02-04T12:00:00+01:00;17459316666;2,32793E+11;25821798;22035029;1;24;15
2019-02-04T13:00:00+01:00;19711866666;2,32914E+11;29009015;25741431;1;27;12
2019-02-04T14:00:00+01:00;17794383333;2,33225E+11;12451388;17219167;1;24;7
2019-02-04T15:00:00+01:00;17887083333;2,33448E+11;12744243;12976059;1;18;5
2019-02-04T16:00:00+01:00;17371033333;2,33825E+11;13233493;9049582;1;22;7
2019-02-04T17:00:00+01:00;15958800000;2,32876E+11;18449876;13881187;1;20;10
2019-02-04T18:00:00+01:00;19752316666;2,3491E+11;24906444;21031389;1;22;11
2019-02-04T19:00:00+01:00;20877050000;2,33165E+11;37041390;40554496;1;16;9
2019-02-04T20:00:00+01:00;18620050000;2,31833E+11;44144198;41153359;1;22;14
2019-02-04T21:00:00+01:00;17861216666;2,31518E+11;43723034;39655388;1;16;9
2019-02-04T22:00:00+01:00;18871250000;2,31942E+11;45147170;41118071;1;13;7
2019-02-04T23:00:00+01:00;16969716666;2,30866E+11;32068761;30071330;1;13;10
2019-02-05T00:00:00+01:00;14727666666;2,26913E+11;18462276;16196812;1;13;15
2019-02-05T01:00:00+01:00;14079650000;2,29587E+11;11522218;35862715;1;11;8
2019-02-05T02:00:00+01:00;13918966666;2,33875E+11;10357674;14275959;1;13;14
2019-02-05T03:00:00+01:00;14481750000;2,44128E+11;6520729;3709064;1;16;19
2019-02-05T04:00:00+01:00;12152350000;2,42611E+11;6035809;6840708;1;11;24
2019-02-05T05:00:00+01:00;12801733333;2,42371E+11;6045013;1841527;1;6;2
2019-02-05T06:00:00+01:00;15432933333;2,4403E+11;6668885;2393326;1;11;21
2019-02-05T07:00:00+01:00;16740166666;2,44234E+11;13180023;9195656;1;21;4
2019-02-05T08:00:00+01:00;16938916666;2,44761E+11;14644070;10611080;1;22;6
2019-02-05T09:00:00+01:00;18845750000;2,44626E+11;12936465;10269149;1;31;8
2019-02-05T10:00:00+01:00;19615866666;2,4321E+11;10456046;10737834;1;25;12
2019-02-05T11:00:00+01:00;18624316666;2,42156E+11;12141533;13665894;1;28;7
2019-02-05T12:00:00+01:00;17802683333;2,36245E+11;22675643;26124185;1;17;7
2019-02-05T13:00:00+01:00;17046100000;2,41538E+11;37818555;38139460;1;28;28
2019-02-05T14:00:00+01:00;19204750000;2,43193E+11;26256793;26251912;1;24;16
2019-02-05T15:00:00+01:00;18012383333;2,42941E+11;17147016;15730756;1;17;4
2019-02-05T16:00:00+01:00;17166750000;2,43058E+11;13832192;13492974;1;21;13
2019-02-05T17:00:00+01:00;16726700000;2,42871E+11;13661064;14009002;1;19;6
2019-02-05T18:00:00+01:00;18145050000;2,42961E+11;22142685;28560691;1;17;14
2019-02-05T19:00:00+01:00;20234433333;2,42156E+11;29631829;32129314;1;15;18
2019-02-05T20:00:00+01:00;19165166666;2,35626E+11;33513540;40320955;1;17;5
2019-02-05T21:00:00+01:00;19652033333;2,27904E+11;34645930;35244697;1;15;13
2019-02-05T22:00:00+01:00;18677950000;2,3024E+11;42689433;40884002;1;17;35
2019-02-05T23:00:00+01:00;15759300000;2,41922E+11;30339993;25859618;1;9;4
2019-02-06T00:00:00+01:00;16099233333;2,44072E+11;18493115;17739144;1;16;10
2019-02-06T01:00:00+01:00;17147250000;2,43981E+11;13944797;32639375;1;18;17
2019-02-06T02:00:00+01:00;14660716666;2,44334E+11;9410612;8152258;1;12;21
2019-02-06T03:00:00+01:00;14668833333;2,51911E+11;6984704;7302546;1;14;13
2019-02-06T04:00:00+01:00;13139233333;2,51662E+11;5763959;7267140;1;16;33
2019-02-06T05:00:00+01:00;13750766666;2,51555E+11;5474286;4943479;1;10;9
2019-02-06T06:00:00+01:00;13606800000;2,49809E+11;6366086;9940106;1;9;5
2019-02-06T07:00:00+01:00;14916383333;2,44291E+11;9402214;8940083;1;32;51
2019-02-06T08:00:00+01:00;16343750000;2,44396E+11;10281591;12253508;1;24;9
2019-02-06T09:00:00+01:00;16759283333;2,44575E+11;9777964;8874231;1;27;25
2019-02-06T10:00:00+01:00;16718800000;2,4461E+11;8519133;8049937;1;17;9
2019-02-06T11:00:00+01:00;16503316666;2,44593E+11;9509120;10338286;1;18;6
2019-02-06T12:00:00+01:00;17053416666;2,43336E+11;22626460;24967185;1;22;7
2019-02-06T13:00:00+01:00;15825116666;2,35663E+11;29361885;28115182;1;18;6
2019-02-06T14:00:00+01:00;15757516666;2,3692E+11;16993740;16739225;1;20;15
2019-02-06T15:00:00+01:00;16262216666;2,37486E+11;17784371;17071172;1;26;18
2019-02-06T16:00:00+01:00;17982316666;2,35979E+11;21095611;24945664;1;26;9
2019-02-06T17:00:00+01:00;16818983333;2,30339E+11;20152832;26991240;1;19;10
2019-02-06T18:00:00+01:00;17103983333;2,30316E+11;21328010;24320607;1;18;19
2019-02-06T19:00:00+01:00;16461766666;2,29802E+11;32737041;31117858;1;17;11
2019-02-06T20:00:00+01:00;16384966666;2,28868E+11;32542088;40025412;1;11;3
2019-02-06T21:00:00+01:00;17169750000;2,3012E+11;31351569;31509538;1;16;4
2019-02-06T22:00:00+01:00;16611750000;2,30259E+11;28960997;29591604;1;15;9
2019-02-06T23:00:00+01:00;16414566666;2,29828E+11;15005525;15104887;1;7;3
2019-02-07T00:00:00+01:00;13776100000;2,29895E+11;9993045;9929250;1;13;8
2019-02-07T01:00:00+01:00;14634650000;2,29773E+11;8877209;22209126;1;16;19
2019-02-07T02:00:00+01:00;13166050000;2,38384E+11;8695119;7272253;1;10;15
2019-02-07T03:00:00+01:00;13605750000;2,45712E+11;6740224;6255018;1;13;13
2019-02-07T04:00:00+01:00;12841666666;2,45471E+11;5749145;6806732;1;12;17
2019-02-07T05:00:00+01:00;10819850000;2,41556E+11;5889501;5797205;1;8;5
2019-02-07T06:00:00+01:00;11115533333;2,35862E+11;4051575;3299174;1;11;5
2019-02-07T07:00:00+01:00;15652850000;2,39782E+11;7636206;13200247;1;21;4
2019-02-07T08:00:00+01:00;16706933333;2,39894E+11;7449548;8730112;1;20;6
2019-02-07T09:00:00+01:00;18611500000;2,4018E+11;6484144;6387888;1;24;5
2019-02-07T10:00:00+01:00;17928716666;2,39991E+11;7908881;8254993;1;29;9
2019-02-07T11:00:00+01:00;19010033333;2,38828E+11;9990246;11302946;1;26;9
2019-02-07T12:00:00+01:00;18318133333;2,33456E+11;16180553;17864964;1;23;6
2019-02-07T13:00:00+01:00;18046583333;2,31644E+11;22266982;22860782;1;18;7
2019-02-07T14:00:00+01:00;15576483333;2,32568E+11;13468996;12903441;1;18;8
2019-02-07T15:00:00+01:00;16504266666;2,31722E+11;12578338;16595985;1;24;16
2019-02-07T16:00:00+01:00;15626516666;2,29263E+11;29642905;27797862;1;20;10
2019-02-07T17:00:00+01:00;16619300000;2,42351E+11;35321668;42408806;1;17;8
2019-02-07T18:00:00+01:00;16873833333;2,41882E+11;25781555;25235541;1;15;7
2019-02-07T19:00:00+01:00;16744350000;2,41401E+11;28474760;30966135;1;16;19
2019-02-07T20:00:00+01:00;16102666666;2,2839E+11;34689996;36301943;1;11;2
2019-02-07T21:00:00+01:00;16589050000;2,28328E+11;36668521;37084389;1;11;4
2019-02-07T22:00:00+01:00;16167883333;2,28764E+11;34721740;34608264;1;10;5
2019-02-07T23:00:00+01:00;15389416666;2,39578E+11;30282266;29624719;1;9;6
2019-02-08T00:00:00+01:00;13699266666;2,41516E+11;17761109;27314466;1;8;7
2019-02-08T01:00:00+01:00;13546800000;2,41399E+11;9876775;47593489;1;10;9
2019-02-08T02:00:00+01:00;12533833333;2,34042E+11;11167658;27209608;1;13;19
2019-02-08T03:00:00+01:00;11467800000;2,39838E+11;8149282;19269068;1;12;16
2019-02-08T04:00:00+01:00;10887316666;2,46984E+11;2571628;4629799;1;13;22
2019-02-08T05:00:00+01:00;9958116666;2,44683E+11;2520797;5353318;1;9;0
2019-02-08T06:00:00+01:00;10900483333;2,44836E+11;2690794;2836393;1;14;5
2019-02-08T07:00:00+01:00;12457683333;2,4494E+11;6581508;5984967;1;20;9
2019-02-08T08:00:00+01:00;13670250000;2,5026E+11;8482781;8043016;1;20;4
2019-02-08T09:00:00+01:00;17272100000;2,44426E+11;8268800;10574097;1;22;8
2019-02-08T10:00:00+01:00;15243566666;2,46207E+11;8138530;9967308;1;24;8
2019-02-08T11:00:00+01:00;14495950000;2,47479E+11;11057759;10725775;1;22;7
2019-02-08T12:00:00+01:00;16105266666;2,46792E+11;23387648;23045836;1;23;5
2019-02-08T13:00:00+01:00;17801133333;2,45375E+11;24538931;24362581;1;23;5
2019-02-08T14:00:00+01:00;13320133333;2,45355E+11;11921902;14384520;1;23;7
2019-02-08T15:00:00+01:00;13550750000;2,44364E+11;9971660;12000426;1;35;64
2019-02-08T16:00:00+01:00;16394533333;2,41556E+11;15290436;25497753;1;34;44
2019-02-08T17:00:00+01:00;15010400000;2,41313E+11;13423342;13502549;1;20;11
2019-02-08T18:00:00+01:00;16241133333;2,41438E+11;17532228;17428258;1;17;4
2019-02-08T19:00:00+01:00;17811483333;2,41388E+11;26940433;31980236;1;17;1
2019-02-08T20:00:00+01:00;19094150000;2,39329E+11;30226241;32279239;1;14;0
2019-02-08T21:00:00+01:00;18664900000;2,38923E+11;29986286;30575155;1;20;6
2019-02-08T22:00:00+01:00;17682733333;2,39021E+11;31006583;32904669;1;17;4
2019-02-08T23:00:00+01:00;16002850000;2,384E+11;24871459;28355901;1;15;3
2019-02-09T00:00:00+01:00;15504050000;2,38401E+11;18689433;18439748;1;13;1
2019-02-09T01:00:00+01:00;14984433333;2,38516E+11;15921698;41902080;1;16;10
2019-02-09T02:00:00+01:00;13560583333;2,38731E+11;12060535;30775808;1;16;14
2019-02-09T03:00:00+01:00;12825233333;2,3878E+11;8566903;15633425;1;15;15
2019-02-09T04:00:00+01:00;12329150000;2,38692E+11;5547042;7011430;1;12;44
2019-02-09T05:00:00+01:00;12080366666;2,3857E+11;4317303;4133939;1;6;2
2019-02-09T06:00:00+01:00;12088366666;2,38574E+11;6036709;6042941;1;9;1
2019-02-09T07:00:00+01:00;11903600000;2,38482E+11;4765576;5004509;1;10;5
2019-02-09T08:00:00+01:00;13178066666;2,38627E+11;7271150;7500953;1;9;2
2019-02-09T09:00:00+01:00;16373800000;2,38909E+11;11010781;20832836;1;11;1
2019-02-09T10:00:00+01:00;17936950000;2,389E+11;13163315;34624170;1;14;2
2019-02-09T11:00:00+01:00;18981783333;2,34226E+11;20496162;41228151;1;10;2
2019-02-09T12:00:00+01:00;18818483333;2,2905E+11;24352955;26320981;1;11;7
2019-02-09T13:00:00+01:00;19110716666;2,29081E+11;25506116;25640448;1;7;4
2019-02-09T14:00:00+01:00;18732216666;2,29106E+11;23631872;23933849;1;12;12
2019-02-09T15:00:00+01:00;18284950000;2,29286E+11;20451601;27711163;1;8;2
2019-02-09T16:00:00+01:00;18741466666;2,29482E+11;25126485;24695176;1;9;1
2019-02-09T17:00:00+01:00;18566266666;2,25947E+11;26329529;27717526;1;8;2
2019-02-09T18:00:00+01:00;17433550000;2,23043E+11;22826036;25101520;1;12;4
2019-02-09T19:00:00+01:00;16733016666;2,23071E+11;23417497;23152674;1;12;0
2019-02-09T20:00:00+01:00;15587833333;2,23258E+11;24511812;24142540;1;8;1
2019-02-09T21:00:00+01:00;17062200000;2,19578E+11;26245050;29909634;1;10;3
2019-02-09T22:00:00+01:00;16507300000;2,26905E+11;27938618;25713933;1;11;4
2019-02-09T23:00:00+01:00;15664050000;2,31062E+11;22369262;25409570;1;6;2
2019-02-10T00:00:00+01:00;14929683333;2,30778E+11;19453510;19119616;1;11;5
2019-02-10T01:00:00+01:00;13113400000;2,30821E+11;12343347;31354641;1;14;12
2019-02-10T02:00:00+01:00;11212750000;2,34641E+11;11059950;9802257;1;8;12
2019-02-10T03:00:00+01:00;11615750000;2,35202E+11;5495893;6571605;1;11;11
2019-02-10T04:00:00+01:00;11105450000;2,35263E+11;3452685;5000782;1;8;22
2019-02-10T05:00:00+01:00;9974333333;2,35252E+11;2556706;3119394;1;7;1
2019-02-10T06:00:00+01:00;10000866666;2,37284E+11;2042671;1800087;1;7;1
2019-02-10T07:00:00+01:00;10327450000;2,37498E+11;2040644;1557555;1;9;3
2019-02-10T08:00:00+01:00;10817600000;2,37943E+11;3381265;3629619;1;10;0
