Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-06-01T00:00:00+02:00;12557883333;2,27508E+11;13729792;13599351;13;14
2019-06-01T01:00:00+02:00;11103150000;2,27363E+11;10679620;34346939;10;15
2019-06-01T02:00:00+02:00;11826533333;2,27262E+11;9950395;36280285;13;19
2019-06-01T03:00:00+02:00;10604033333;2,27285E+11;6090057;28342289;17;22
2019-06-01T04:00:00+02:00;9820616666;2,27321E+11;2806713;15780899;12;32
2019-06-01T05:00:00+02:00;9130100000;2,27264E+11;1090099;839936;8;9
2019-06-01T06:00:00+02:00;9109416666;2,27092E+11;927813;698263;8;12
2019-06-01T07:00:00+02:00;9207300000;2,27093E+11;2096423;2222288;8;7
2019-06-01T08:00:00+02:00;10156316666;2,27144E+11;3994453;6051908;8;4
2019-06-01T09:00:00+02:00;10278466666;2,27294E+11;7680590;7730262;8;3
2019-06-01T10:00:00+02:00;11115916666;2,27362E+11;8104786;8075385;7;11
2019-06-01T11:00:00+02:00;14430400000;2,27415E+11;11766625;20510720;10;4
2019-06-01T12:00:00+02:00;14006366666;2,2754E+11;12896409;33514444;10;6
2019-06-01T13:00:00+02:00;16107133333;2,27536E+11;18342912;34212135;11;6
2019-06-01T14:00:00+02:00;12434783333;2,27539E+11;15131255;26089233;8;6
2019-06-01T15:00:00+02:00;13287783333;2,27547E+11;14539059;14627703;10;3
2019-06-01T16:00:00+02:00;18257733333;2,2754E+11;15876539;15660322;9;6
2019-06-01T17:00:00+02:00;17149566666;2,27522E+11;16186692;15918745;8;3
2019-06-01T18:00:00+02:00;15647000000;2,27563E+11;16617301;16391765;9;4
2019-06-01T19:00:00+02:00;16460683333;2,2757E+11;14783214;14542967;8;6
2019-06-01T20:00:00+02:00;17318783333;2,27559E+11;19443234;19361262;8;3
2019-06-01T21:00:00+02:00;18082766666;2,27542E+11;23962624;25082932;8;4
2019-06-01T22:00:00+02:00;17497750000;2,2755E+11;25836700;25546456;8;18
2019-06-01T23:00:00+02:00;14938366666;2,27595E+11;19834026;19572445;11;8
2019-06-02T00:00:00+02:00;13735200000;2,27594E+11;15369798;15046638;13;12
2019-06-02T01:00:00+02:00;13184216666;2,27497E+11;10365576;28623633;9;7
2019-06-02T02:00:00+02:00;13203983333;2,27018E+11;6763042;26850781;11;18
2019-06-02T03:00:00+02:00;12994033333;2,26357E+11;4618820;8459264;12;21
2019-06-02T04:00:00+02:00;12647516666;2,26293E+11;2193042;10959744;13;25
2019-06-02T05:00:00+02:00;11968950000;2,26342E+11;2103876;10867780;7;8
2019-06-02T06:00:00+02:00;9475216666;2,2722E+11;1767714;9069704;7;8
2019-06-02T07:00:00+02:00;9624833333;2,27275E+11;2236450;12038826;11;3
2019-06-02T08:00:00+02:00;9867733333;2,27294E+11;3332283;9125461;8;2
2019-06-02T09:00:00+02:00;10449900000;2,27299E+11;9288977;9240968;9;7
2019-06-02T10:00:00+02:00;12419233333;2,27341E+11;13209275;12372838;11;6
2019-06-02T11:00:00+02:00;13807300000;2,27254E+11;15505186;21605358;7;3
2019-06-02T12:00:00+02:00;15575600000;2,27249E+11;16768256;17749401;8;5
2019-06-02T13:00:00+02:00;14744283333;2,27257E+11;25910954;26200968;12;45
2019-06-02T14:00:00+02:00;15939833333;2,2731E+11;24629421;24723698;8;8
2019-06-02T15:00:00+02:00;17032066666;2,27502E+11;23782486;23714989;8;5
2019-06-02T16:00:00+02:00;17047883333;2,27577E+11;25266312;25297322;9;5
2019-06-02T17:00:00+02:00;17127183333;2,27557E+11;25075080;24895436;8;5
2019-06-02T18:00:00+02:00;17411600000;2,27623E+11;25193710;29386956;7;6
2019-06-02T19:00:00+02:00;16188466666;2,276E+11;21945257;28454634;8;7
2019-06-02T20:00:00+02:00;16875400000;2,27597E+11;25678388;27023271;10;4
2019-06-02T21:00:00+02:00;17228500000;2,27648E+11;50039620;50911982;11;17
2019-06-02T22:00:00+02:00;17254683333;2,27621E+11;44998775;45447953;11;14
2019-06-02T23:00:00+02:00;14421066666;2,27674E+11;31112311;30916761;8;5
2019-06-03T00:00:00+02:00;13080633333;2,27717E+11;20875810;20693145;12;12
2019-06-03T01:00:00+02:00;12344800000;2,27678E+11;11940528;36595164;15;11
2019-06-03T02:00:00+02:00;10938066666;2,27635E+11;10811340;33317017;11;21
2019-06-03T03:00:00+02:00;11202800000;2,27648E+11;7633178;21575503;14;24
2019-06-03T04:00:00+02:00;10607816666;2,2771E+11;5370043;6056448;16;44
2019-06-03T05:00:00+02:00;10852016666;2,27593E+11;5096753;4750425;9;13
2019-06-03T06:00:00+02:00;9565300000;2,27475E+11;4096529;4516130;9;11
2019-06-03T07:00:00+02:00;10413850000;2,2862E+11;6052175;6305456;13;6
2019-06-03T08:00:00+02:00;12984866666;2,29749E+11;11188394;13049719;11;7
2019-06-03T09:00:00+02:00;16973350000;2,29775E+11;13613892;14105156;13;7
2019-06-03T10:00:00+02:00;16578900000;2,298E+11;20126310;22263893;16;8
2019-06-03T11:00:00+02:00;16512183333;2,2984E+11;17043404;24290082;13;11
2019-06-03T12:00:00+02:00;15938333333;2,29856E+11;18717218;19608405;15;7
2019-06-03T13:00:00+02:00;15185183333;2,29926E+11;16753293;18298279;10;6
2019-06-03T14:00:00+02:00;15820533333;2,29987E+11;10250717;10642193;12;12
2019-06-03T15:00:00+02:00;16568350000;2,30042E+11;10762308;12265335;12;8
2019-06-03T16:00:00+02:00;16451316666;2,30068E+11;17031115;18481540;10;12
2019-06-03T17:00:00+02:00;16929183333;2,30045E+11;13707281;15777687;12;7
