Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status
2019-08-28T00:00:00+02:00;303500000;12635865088;60928;2560;1
2019-08-28T00:02:00+02:00;203500000;12644253696;73728;2048;1
2019-08-28T00:04:00+02:00;241000000;12634816512;65536;98816;1
2019-08-28T00:06:00+02:00;217500000;12632719360;65024;2048;1
2019-08-28T00:08:00+02:00;917500000;12631670784;64000;2048;1
2019-08-28T00:10:00+02:00;217000000;12633767936;62464;98816;1
2019-08-28T00:12:00+02:00;1139500000;12632195072;68608;2048;1
2019-08-28T00:14:00+02:00;173500000;12632195072;56320;2560;1
2019-08-28T00:16:00+02:00;244000000;12634292224;65536;2048;1
2019-08-28T00:18:00+02:00;267000000;12633767936;62976;2048;1
2019-08-28T00:20:00+02:00;394000000;12635340800;59904;3072;1
2019-08-28T00:22:00+02:00;232500000;12633243648;61952;2048;1
2019-08-28T00:24:00+02:00;317500000;12633767936;65024;3584;1
2019-08-28T00:26:00+02:00;440500000;12636913664;65536;2048;1
2019-08-28T00:28:00+02:00;296000000;12634292224;60928;2560;1
2019-08-28T00:30:00+02:00;270500000;12634292224;60416;3072;1
2019-08-28T00:32:00+02:00;254500000;12633243648;60928;2560;1
2019-08-28T00:34:00+02:00;271500000;12635340800;64512;3584;1
2019-08-28T00:36:00+02:00;163500000;12637437952;55296;2048;1
2019-08-28T00:38:00+02:00;177500000;12640059392;59392;2560;1
2019-08-28T00:40:00+02:00;270000000;12643729408;61952;2560;1
2019-08-28T00:42:00+02:00;135500000;12638486528;60928;2048;1
2019-08-28T00:44:00+02:00;170000000;12640059392;61440;3584;1
2019-08-28T00:46:00+02:00;239000000;12642156544;60416;2048;1
2019-08-28T00:48:00+02:00;172000000;12640059392;64512;2560;1
2019-08-28T00:50:00+02:00;167000000;12642156544;62976;98304;1
2019-08-28T00:52:00+02:00;166000000;12639535104;59904;2048;1
2019-08-28T00:54:00+02:00;134500000;12641107968;64512;2560;1
2019-08-28T00:56:00+02:00;363000000;12641107968;59392;2048;1
2019-08-28T00:58:00+02:00;294500000;12640583680;61440;3072;1
2019-08-28T01:00:00+02:00;371000000;12642680832;61440;2048;1
2019-08-28T01:02:00+02:00;438500000;12657885184;61952;98304;1
2019-08-28T01:04:00+02:00;312000000;12641632256;77824;40448;1
2019-08-28T01:06:00+02:00;286500000;12643729408;56320;2048;1
2019-08-28T01:08:00+02:00;172000000;12642156544;65024;98816;1
2019-08-28T01:10:00+02:00;209500000;12642680832;63488;2048;1
2019-08-28T01:12:00+02:00;249000000;12642156544;64512;2048;1
2019-08-28T01:14:00+02:00;113500000;12643729408;63488;2560;1
2019-08-28T01:16:00+02:00;187500000;12644777984;58368;2048;1
2019-08-28T01:18:00+02:00;204000000;12648448000;64512;40960;1
2019-08-28T01:20:00+02:00;147500000;12646875136;63488;99840;1
2019-08-28T01:22:00+02:00;116500000;12641107968;61952;99840;1
2019-08-28T01:24:00+02:00;114000000;12642156544;69632;98816;1
2019-08-28T01:26:00+02:00;142500000;12643729408;57344;2048;1
2019-08-28T01:28:00+02:00;164500000;12646350848;60416;51200;1
2019-08-28T01:30:00+02:00;253500000;12644777984;64000;60928;1
2019-08-28T01:32:00+02:00;250500000;12645302272;58880;2048;1
2019-08-28T01:34:00+02:00;293000000;12648448000;63488;3584;1
2019-08-28T01:36:00+02:00;250500000;12644777984;62464;194560;1
2019-08-28T01:38:00+02:00;207000000;12646875136;59392;2560;1
2019-08-28T01:40:00+02:00;268000000;12653166592;62464;47104;1
2019-08-28T01:42:00+02:00;209000000;12646875136;59392;60928;1
2019-08-28T01:44:00+02:00;177000000;12647923712;59392;3584;1
2019-08-28T01:46:00+02:00;176000000;12647399424;66560;2048;1
