Time;CPU_usage;ANB_read;ANB_write;AN_read;AN_write;Free_disk;B_rec;B_trans;P_rec;P_trans;H_memory;G_memory;C_storage
2019-03-01T00:00:00+01:00;199200000;0;10308;0;0;75898953728;261478;2999825;5893;7071;17172529152;887077819;1,22E+11
2019-03-01T01:00:00+01:00;114500000;0;3515;0;0;75898953728;113459;331520;2650;2523;17172599057;517681971;1,22E+11
2019-03-01T02:00:00+01:00;81866666;1211;19473;0;0;75898953728;123886;104823;3253;3147;17172529152;491921954;1,22E+11
2019-03-01T03:00:00+01:00;76733333;0;5632;0;0;75898953728;66457;22749;1689;1699;17172529152;405938722;1,22E+11
2019-03-01T04:00:00+01:00;40800000;0;2918;0;0;75898953728;23313;15291;970;935;17172529152;360080998;1,22E+11
2019-03-01T05:00:00+01:00;61333333;0;3345;0;0;75898953728;158361;54749;4352;3881;17172564104;509118600;1,22E+11
2019-03-01T06:00:00+01:00;75266666;10871;25600;0;0;75898953728;108066;45004;2433;1928;17173647633;503386385;1,22E+11
2019-03-01T07:00:00+01:00;198833333;238;5563;0;0;75898953728;266513;5875507;6992;8322;17174888448;1007436868;1,22E+11
2019-03-01T08:00:00+01:00;418466666;0;6451;0;0;75898953728;645239;2450909;13296;13303;17175133115;1150550016;1,22E+11
2019-03-01T09:00:00+01:00;252733333;0;6570;0;0;75898953728;270830;286293;5262;5200;17175168068;829947904;1,22E+11
2019-03-01T10:00:00+01:00;495833333;34;6872;0;0;75898953728;676690;2492884;11104;11450;17175010781;1150689826;1,22E+11
2019-03-01T11:00:00+01:00;491383333;68;10427;0;0;75898953728;553966;1684838;10518;10234;17174748637;832848964;1,22E+11
2019-03-01T12:00:00+01:00;271800000;0;12014;0;0;75898953728;355140;251238;7541;7094;17172703914;712612249;1,22E+11
2019-03-01T13:00:00+01:00;342566666;34;5290;0;0;75898953728;423662;465698;8128;8017;17172389341;1144800324;1,22E+11
2019-03-01T14:00:00+01:00;657166666;51;9506;0;0;75898953728;1089194;6295330;19319;20142;17172476723;1497069431;1,22E+11
2019-03-01T15:00:00+01:00;445600000;0;7133;0;0;75898953728;470647;472883;9604;9524;17172441770;941638724;1,22E+11
2019-03-01T16:00:00+01:00;515633333;0;9028;0;0;75898953728;713420;2235323;12481;12185;17172441770;850010658;1,22E+11
2019-03-01T17:00:00+01:00;345133333;0;6656;0;0;75898953728;545484;1326455;8509;8837;17172424294;1170717627;1,22E+11
2019-03-01T18:00:00+01:00;281333333;0;6860;0;0;75898953728;467780;1135991;8973;8529;17172529152;786991240;1,22E+11
2019-03-01T19:00:00+01:00;237333333;34;11434;0;0;75898953728;395451;483908;7037;7144;17172529152;901460787;1,22E+11
2019-03-01T20:00:00+01:00;397550000;0;24081;0;0;75898953728;234888;7979588;6964;8568;17172529152;881502890;1,22E+11
2019-03-01T21:00:00+01:00;126966666;0;4932;0;0;75898953728;250385;776755;4822;5170;17170921335;706775176;1,22E+11
2019-03-01T22:00:00+01:00;294500000;85;11963;0;0;75898953728;789589;908305;5364;4743;17172249531;592200772;1,22E+11
2019-03-01T23:00:00+01:00;123666666;0;4147;0;0;75898953728;224494;168925;4703;4596;17172476723;603700155;1,22E+11
2019-03-02T00:00:00+01:00;85900000;477;8209;0;0;75898953728;120576;77619;3265;2804;17172529152;491921954;1,22E+11
2019-03-02T01:00:00+01:00;62066666;17;3396;0;0;75898953728;65041;30720;1988;1983;17172529152;532047462;1,22E+11
2019-03-02T02:00:00+01:00;66483333;0;3106;0;0;75898953728;94873;37222;2065;2421;17172336913;434599799;1,22E+11
2019-03-02T03:00:00+01:00;1524483333;7782;21896;1;1;75898953728;34737817;9308177;106632;45287;17172564104;9348264755;1,22E+11
2019-03-02T04:00:00+01:00;1543666666;54698;20206;6;1;75898953728;46570683;7442773;132021;57169;17172721390;11469988386;1,22E+11
2019-03-02T05:00:00+01:00;1631183333;85333;32665;6;2;75898953728;51275451;7532014;140114;60313;17172301960;8726843665;1,22E+11
2019-03-02T06:00:00+01:00;1233116666;157098;12219;14;0;75898953728;23094562;5912115;83471;47995;17173962205;7524319232;1,22E+11
2019-03-02T07:00:00+01:00;974316666;15479;4778;1;0;75898953728;9295121;6184396;53754;34668;17174486493;3157769147;1,22E+11
2019-03-02T08:00:00+01:00;1120900000;51063;5341;1;0;75898953728;18810965;11950489;75065;39680;17174364160;7610145177;1,22E+11
2019-03-02T09:00:00+01:00;692000000;222924;93696;4;0;75898953728;1498163;1680349;32924;30816;17175657403;921558493;1,22E+11
2019-03-02T10:00:00+01:00;1492816666;76765;19097;7;0;75898953728;28333363;7720669;98092;50831;17175517593;8838569437;1,22E+11
2019-03-02T11:00:00+01:00;968466666;22306;7441;1;0;75898953728;2537949;2699554;42315;38284;17175604974;2782763417;1,22E+11
2019-03-02T12:00:00+01:00;1320750000;10427;8294;0;0;75898953728;23044795;5043524;82275;43038;17175639927;6307394355;1,22E+11
2019-03-02T13:00:00+01:00;1482700000;111394;10240;4;0;75898953728;42557115;8129058;128989;59068;17175604974;10064092637;1,22E+11
2019-03-02T14:00:00+01:00;1126100000;7799;7594;0;0;75898953728;6617582;5803741;54326;43549;17176041881;2476282129;1,22E+11
2019-03-02T15:00:00+01:00;1813733333;213879;13960;7;0;75898953728;45089996;23781102;149463;71878;17174975829;10988884241;1,22E+11
2019-03-02T16:00:00+01:00;1633116666;142523;10888;5;0;75898953728;42728209;6410513;130161;66026;17174014634;8337385062;1,22E+11
2019-03-02T17:00:00+01:00;1348200000;77909;9728;6;0;75898953728;19737019;5209702;84565;48868;17173280631;6338939016;1,22E+11
2019-03-02T18:00:00+01:00;1653150000;12339;9898;2;0;75898953728;35841006;13364258;110992;54189;17173595204;9110552576;1,22E+11
2019-03-02T19:00:00+01:00;1741150000;308718;23876;7;0;75898953728;46811374;14482483;143648;63138;17173630156;11034724488;1,22E+11
2019-03-02T20:00:00+01:00;1619800000;66935;8243;3;0;75898953728;20193314;13244074;78957;39638;17173700061;9917991048;1,22E+11
2019-03-02T21:00:00+01:00;1406083333;125986;19404;5;0;75898953728;22148812;10517930;77735;42270;17174259302;6562180846;1,22E+11
2019-03-02T22:00:00+01:00;1591900000;60313;10137;4;0;75898953728;40231662;6215372;110157;47814;17173804919;9359711709;1,22E+11
2019-03-02T23:00:00+01:00;581250000;11349;8396;1;0;75898953728;5286724;7225924;26532;17768;17173839872;3484103475;1,22E+11
2019-03-03T00:00:00+01:00;94333333;16401;4522;0;0;75898953728;124125;195447;3262;2754;17172616533;342884352;1,22E+11
2019-03-03T01:00:00+01:00;74166666;358;3293;0;0;75898953728;145100;48315;3696;2687;17172581580;377277644;1,22E+11
2019-03-03T02:00:00+01:00;58400000;75605;5307;6;0;75898953728;85828;58060;2146;2116;17172529152;274097766;1,22E+11
2019-03-03T03:00:00+01:00;58033333;17;2013;0;0;75898953728;260864;249804;3462;2846;17170781525;288428305;1,22E+11
2019-03-03T04:00:00+01:00;45950000;119;2457;0;0;75898953728;127829;40328;3271;3299;17170886382;228240042;1,22E+11
2019-03-03T05:00:00+01:00;44533333;307;3908;0;0;75898953728;39645;35652;758;739;17172616533;268365550;1,22E+11
2019-03-03T06:00:00+01:00;62800000;223317;50858;37;0;75898953728;132369;34884;2792;2777;17173717538;345750459;1,22E+11
2019-03-03T07:00:00+01:00;62433333;34;2935;0;0;75898953728;147899;41216;2881;2839;17174626304;302758843;1,22E+11
2019-03-03T08:00:00+01:00;99833333;102;77175;0;0;75780757845;174506;115968;3090;3045;17174329207;678009241;1,22E+11
2019-03-03T09:00:00+01:00;124400000;392;6877;0;0;75912056832;216712;1216358;4495;4823;17174346683;500467848;1,22E+11
2019-03-03T10:00:00+01:00;286100000;477;6451;0;0;75912056832;1056051;5280648;12085;12271;17174294254;938720187;1,22E+11
2019-03-03T11:00:00+01:00;311033333;0;8669;0;0;75912056832;659421;5919505;10771;11338;17174573875;930069435;1,22E+11
2019-03-03T12:00:00+01:00;290133333;102;6331;0;0;75912056832;550178;3874713;10571;11195;17174573875;904309418;1,22E+11
2019-03-03T13:00:00+01:00;338533333;2150;8533;0;0;75912056832;664593;2206839;10569;10397;17174626304;904431752;1,22E+11
2019-03-03T14:00:00+01:00;432766666;68;8499;0;0;75912056832;750882;2077542;13974;13791;17174626304;950202094;1,22E+11
2019-03-03T15:00:00+01:00;477500000;17;8021;0;0;75912056832;852565;1044770;13520;13447;17174626304;878549401;1,22E+11
2019-03-03T16:00:00+01:00;495466666;119;8533;0;0;75912056832;624384;2242935;11631;11739;17174381636;996024866;1,22E+11
2019-03-03T17:00:00+01:00;488133333;0;8260;0;0;75912056832;734532;6525986;13067;14174;17173472870;1162171733;1,22E+11
2019-03-03T18:00:00+01:00;503900000;307;6246;0;0;75912056832;929638;921958;13455;13182;17168229990;878584354;1,22E+11
2019-03-03T19:00:00+01:00;421033333;68;6929;0;0;75912056832;710997;456840;12558;12325;17165695931;878671735;1,22E+11
2019-03-03T20:00:00+01:00;546066666;119;7253;0;0;75912056832;794436;443118;13723;13346;17165346406;772643225;1,22E+11
2019-03-03T21:00:00+01:00;591166666;187;9198;0;0;75882322807;1028608;817561;16163;16210;17165818265;1113343044;1,22E+11
2019-03-03T22:00:00+01:00;462833333;2850;8908;0;0;75807113216;657527;825600;11377;11396;17165678455;1056038365;1,22E+11
2019-03-03T23:00:00+01:00;384733333;290;7884;0;0;75807113216;595285;714478;10869;10588;17161414246;855707921;1,22E+11
2019-03-04T00:00:00+01:00;197366666;0;5358;0;0;75807113216;292317;199236;6045;5873;17154266453;663818513;1,22E+11
2019-03-04T01:00:00+01:00;145666666;0;3976;0;0;75807113216;456465;519065;7034;6765;17162794871;712559820;1,22E+11
2019-03-04T02:00:00+01:00;106800000;119;5341;0;0;75807113216;206318;240025;3527;3343;17167356177;514833339;1,22E+11
2019-03-04T03:00:00+01:00;44466666;0;3174;0;0;75807113216;50517;35515;1534;1538;17167583368;371545429;1,22E+11
2019-03-04T04:00:00+01:00;59866666;580;3925;0;0;75807113216;82432;32716;2143;1965;17168229990;448930338;1,22E+11
2019-03-04T05:00:00+01:00;113066666;68;3618;0;0;75807113216;164249;60330;4954;4992;17168387276;305624951;1,22E+11
2019-03-04T06:00:00+01:00;60966666;49868;24814;1;0;75807113216;77926;40328;2198;2185;17169418376;431733691;1,22E+11
2019-03-04T07:00:00+01:00;138700000;170;4061;0;0;75807113216;215210;100113;4560;4287;17171480576;635227340;1,22E+11
2019-03-04T08:00:00+01:00;404533333;529;7492;0;0;75807113216;631193;467200;11612;11510;17173298107;933127782;1,22E+11
2019-03-04T09:00:00+01:00;419200000;51;7389;0;0;75807113216;556578;1657326;10272;10329;17173577728;895903334;1,22E+11
2019-03-04T10:00:00+01:00;546433333;0;7611;0;0;75807113216;846967;1110681;14932;14458;17173577728;993123805;1,22E+11
2019-03-04T11:00:00+01:00;406366666;34;6656;0;0;75807113216;539972;2954444;10340;11424;17171900006;1190675524;1,22E+11
