Time;Number of bytes received on interface Network adapter 1
2019-03-01T00:00:00+01:00;261478
2019-03-01T01:00:00+01:00;113459
2019-03-01T02:00:00+01:00;123886
2019-03-01T03:00:00+01:00;66457
2019-03-01T04:00:00+01:00;23313
2019-03-01T05:00:00+01:00;158361
2019-03-01T06:00:00+01:00;108066
2019-03-01T07:00:00+01:00;266513
2019-03-01T08:00:00+01:00;645239
2019-03-01T09:00:00+01:00;270830
2019-03-01T10:00:00+01:00;676690
2019-03-01T11:00:00+01:00;553966
2019-03-01T12:00:00+01:00;355140
2019-03-01T13:00:00+01:00;423662
2019-03-01T14:00:00+01:00;1089194
2019-03-01T15:00:00+01:00;470647
2019-03-01T16:00:00+01:00;713420
2019-03-01T17:00:00+01:00;545484
2019-03-01T18:00:00+01:00;467780
2019-03-01T19:00:00+01:00;395451
2019-03-01T20:00:00+01:00;234888
2019-03-01T21:00:00+01:00;250385
2019-03-01T22:00:00+01:00;789589
2019-03-01T23:00:00+01:00;224494
2019-03-02T00:00:00+01:00;120576
2019-03-02T01:00:00+01:00;65041
2019-03-02T02:00:00+01:00;94873
2019-03-02T03:00:00+01:00;34737817
2019-03-02T04:00:00+01:00;46570683
2019-03-02T05:00:00+01:00;51275451
2019-03-02T06:00:00+01:00;23094562
2019-03-02T07:00:00+01:00;9295121
2019-03-02T08:00:00+01:00;18810965
2019-03-02T09:00:00+01:00;1498163
2019-03-02T10:00:00+01:00;28333363
2019-03-02T11:00:00+01:00;2537949
2019-03-02T12:00:00+01:00;23044795
2019-03-02T13:00:00+01:00;42557115
2019-03-02T14:00:00+01:00;6617582
2019-03-02T15:00:00+01:00;45089996
2019-03-02T16:00:00+01:00;42728209
2019-03-02T17:00:00+01:00;19737019
2019-03-02T18:00:00+01:00;35841006
2019-03-02T19:00:00+01:00;46811374
2019-03-02T20:00:00+01:00;20193314
2019-03-02T21:00:00+01:00;22148812
2019-03-02T22:00:00+01:00;40231662
2019-03-02T23:00:00+01:00;5286724
2019-03-03T00:00:00+01:00;124125
2019-03-03T01:00:00+01:00;145100
2019-03-03T02:00:00+01:00;85828
2019-03-03T03:00:00+01:00;260864
2019-03-03T04:00:00+01:00;127829
2019-03-03T05:00:00+01:00;39645
2019-03-03T06:00:00+01:00;132369
2019-03-03T07:00:00+01:00;147899
2019-03-03T08:00:00+01:00;174506
2019-03-03T09:00:00+01:00;216712
2019-03-03T10:00:00+01:00;1056051
2019-03-03T11:00:00+01:00;659421
2019-03-03T12:00:00+01:00;550178
2019-03-03T13:00:00+01:00;664593
2019-03-03T14:00:00+01:00;750882
2019-03-03T15:00:00+01:00;852565
2019-03-03T16:00:00+01:00;624384
2019-03-03T17:00:00+01:00;734532
2019-03-03T18:00:00+01:00;929638
2019-03-03T19:00:00+01:00;710997
2019-03-03T20:00:00+01:00;794436
2019-03-03T21:00:00+01:00;1028608
2019-03-03T22:00:00+01:00;657527
2019-03-03T23:00:00+01:00;595285
2019-03-04T00:00:00+01:00;292317
2019-03-04T01:00:00+01:00;456465
2019-03-04T02:00:00+01:00;206318
2019-03-04T03:00:00+01:00;50517
2019-03-04T04:00:00+01:00;82432
2019-03-04T05:00:00+01:00;164249
2019-03-04T06:00:00+01:00;77926
2019-03-04T07:00:00+01:00;215210
2019-03-04T08:00:00+01:00;631193
2019-03-04T09:00:00+01:00;556578
2019-03-04T10:00:00+01:00;846967
2019-03-04T11:00:00+01:00;539972
2019-03-04T12:00:00+01:00;403814
2019-03-04T13:00:00+01:00;651042
2019-03-04T14:00:00+01:00;1682875
2019-03-04T15:00:00+01:00;658602
2019-03-04T16:00:00+01:00;956723
2019-03-04T17:00:00+01:00;813158
2019-03-04T18:00:00+01:00;458154
2019-03-04T19:00:00+01:00;538231
2019-03-04T20:00:00+01:00;612829
2019-03-04T21:00:00+01:00;528793
2019-03-04T22:00:00+01:00;475118
2019-03-04T23:00:00+01:00;224563
2019-03-05T00:00:00+01:00;145578
2019-03-05T01:00:00+01:00;93866
2019-03-05T02:00:00+01:00;42598
2019-03-05T03:00:00+01:00;108110
2019-03-05T04:00:00+01:00;29474
2019-03-05T05:00:00+01:00;115797
2019-03-05T06:00:00+01:00;83712
2019-03-05T07:00:00+01:00;293768
2019-03-05T08:00:00+01:00;674201
2019-03-05T09:00:00+01:00;494045
2019-03-05T10:00:00+01:00;956791
2019-03-05T11:00:00+01:00;815462
2019-03-05T12:00:00+01:00;446190
2019-03-05T13:00:00+01:00;861525
2019-03-05T14:00:00+01:00;648482
2019-03-05T15:00:00+01:00;1153826
2019-03-05T16:00:00+01:00;611362
2019-03-05T17:00:00+01:00;586325
2019-03-05T18:00:00+01:00;1659204
2019-03-05T19:00:00+01:00;425574
2019-03-05T20:00:00+01:00;732774
2019-03-05T21:00:00+01:00;463308
2019-03-05T22:00:00+01:00;2441164
2019-03-05T23:00:00+01:00;321245
2019-03-06T00:00:00+01:00;182408
2019-03-06T01:00:00+01:00;54545
2019-03-06T02:00:00+01:00;90060
2019-03-06T03:00:00+01:00;112332
2019-03-06T04:00:00+01:00;57344
2019-03-06T05:00:00+01:00;182937
2019-03-06T06:00:00+01:00;84326
2019-03-06T07:00:00+01:00;186692
2019-03-06T08:00:00+01:00;543027
2019-03-06T09:00:00+01:00;1047261
2019-03-06T10:00:00+01:00;595694
2019-03-06T11:00:00+01:00;486707
2019-03-06T12:00:00+01:00;298086
2019-03-06T13:00:00+01:00;422673
2019-03-06T14:00:00+01:00;955818
2019-03-06T15:00:00+01:00;588305
2019-03-06T16:00:00+01:00;447453
2019-03-06T17:00:00+01:00;366062
2019-03-06T18:00:00+01:00;381149
2019-03-06T19:00:00+01:00;689612
2019-03-06T20:00:00+01:00;456038
2019-03-06T21:00:00+01:00;386286
2019-03-06T22:00:00+01:00;404497
2019-03-06T23:00:00+01:00;289979
2019-03-07T00:00:00+01:00;107656
2019-03-07T01:00:00+01:00;130662
2019-03-07T02:00:00+01:00;43997
2019-03-07T03:00:00+01:00;85213
2019-03-07T04:00:00+01:00;105301
2019-03-07T05:00:00+01:00;52940
2019-03-07T06:00:00+01:00;58675
2019-03-07T07:00:00+01:00;214510
2019-03-07T08:00:00+01:00;649984
2019-03-07T09:00:00+01:00;389580
2019-03-07T10:00:00+01:00;564002
2019-03-07T11:00:00+01:00;402176
2019-03-07T12:00:00+01:00;362137
2019-03-07T13:00:00+01:00;574515
2019-03-07T14:00:00+01:00;782796
2019-03-07T15:00:00+01:00;646178
2019-03-07T16:00:00+01:00;603869
2019-03-07T17:00:00+01:00;744994
2019-03-07T18:00:00+01:00;350993
2019-03-07T19:00:00+01:00;462745
2019-03-07T20:00:00+01:00;538760
2019-03-07T21:00:00+01:00;558370
2019-03-07T22:00:00+01:00;231611
2019-03-07T23:00:00+01:00;134741
2019-03-08T00:00:00+01:00;141004
2019-03-08T01:00:00+01:00;112776
2019-03-08T02:00:00+01:00;68113
2019-03-08T03:00:00+01:00;135116
2019-03-08T04:00:00+01:00;64512
2019-03-08T05:00:00+01:00;122043
2019-03-08T06:00:00+01:00;131669
2019-03-08T07:00:00+01:00;210107
2019-03-08T08:00:00+01:00;566203
2019-03-08T09:00:00+01:00;451959
2019-03-08T10:00:00+01:00;468019
2019-03-08T11:00:00+01:00;609706
2019-03-08T12:00:00+01:00;533981
2019-03-08T13:00:00+01:00;552891
2019-03-08T14:00:00+01:00;803618
2019-03-08T15:00:00+01:00;456465
2019-03-08T16:00:00+01:00;491042
2019-03-08T17:00:00+01:00;318242
2019-03-08T18:00:00+01:00;350037
2019-03-08T19:00:00+01:00;200994
2019-03-08T20:00:00+01:00;210090
2019-03-08T21:00:00+01:00;257194
2019-03-08T22:00:00+01:00;148224
2019-03-08T23:00:00+01:00;188569
2019-03-09T00:00:00+01:00;99225
2019-03-09T01:00:00+01:00;37324
2019-03-09T02:00:00+01:00;114688
2019-03-09T03:00:00+01:00;37847296
2019-03-09T04:00:00+01:00;48590506
2019-03-09T05:00:00+01:00;51808119
2019-03-09T06:00:00+01:00;19431270
2019-03-09T07:00:00+01:00;7542613
2019-03-09T08:00:00+01:00;19555720
2019-03-09T09:00:00+01:00;2015812
2019-03-09T10:00:00+01:00;26952328
2019-03-09T11:00:00+01:00;21451298
2019-03-09T12:00:00+01:00;43807658
2019-03-09T13:00:00+01:00;5363541
2019-03-09T14:00:00+01:00;21227639
2019-03-09T15:00:00+01:00;960170
2019-03-09T16:00:00+01:00;625988
2019-03-09T17:00:00+01:00;736819
2019-03-09T18:00:00+01:00;631910
2019-03-09T19:00:00+01:00;310169
2019-03-09T20:00:00+01:00;271360
2019-03-09T21:00:00+01:00;226013
2019-03-09T22:00:00+01:00;248610
2019-03-09T23:00:00+01:00;216883
2019-03-10T00:00:00+01:00;92091
2019-03-10T01:00:00+01:00;139434
2019-03-10T02:00:00+01:00;135116
2019-03-10T03:00:00+01:00;107895
