Time;Number of bytes transmitted on interface Network adapter 1
2019-03-01T00:00:00+01:00;2999825
2019-03-01T01:00:00+01:00;331520
2019-03-01T02:00:00+01:00;104823
2019-03-01T03:00:00+01:00;22749
2019-03-01T04:00:00+01:00;15291
2019-03-01T05:00:00+01:00;54749
2019-03-01T06:00:00+01:00;45004
2019-03-01T07:00:00+01:00;5875507
2019-03-01T08:00:00+01:00;2450909
2019-03-01T09:00:00+01:00;286293
2019-03-01T10:00:00+01:00;2492884
2019-03-01T11:00:00+01:00;1684838
2019-03-01T12:00:00+01:00;251238
2019-03-01T13:00:00+01:00;465698
2019-03-01T14:00:00+01:00;6295330
2019-03-01T15:00:00+01:00;472883
2019-03-01T16:00:00+01:00;2235323
2019-03-01T17:00:00+01:00;1326455
2019-03-01T18:00:00+01:00;1135991
2019-03-01T19:00:00+01:00;483908
2019-03-01T20:00:00+01:00;7979588
2019-03-01T21:00:00+01:00;776755
2019-03-01T22:00:00+01:00;908305
2019-03-01T23:00:00+01:00;168925
2019-03-02T00:00:00+01:00;77619
2019-03-02T01:00:00+01:00;30720
2019-03-02T02:00:00+01:00;37222
2019-03-02T03:00:00+01:00;9308177
2019-03-02T04:00:00+01:00;7442773
2019-03-02T05:00:00+01:00;7532014
2019-03-02T06:00:00+01:00;5912115
2019-03-02T07:00:00+01:00;6184396
2019-03-02T08:00:00+01:00;11950489
2019-03-02T09:00:00+01:00;1680349
2019-03-02T10:00:00+01:00;7720669
2019-03-02T11:00:00+01:00;2699554
2019-03-02T12:00:00+01:00;5043524
2019-03-02T13:00:00+01:00;8129058
2019-03-02T14:00:00+01:00;5803741
2019-03-02T15:00:00+01:00;23781102
2019-03-02T16:00:00+01:00;6410513
2019-03-02T17:00:00+01:00;5209702
2019-03-02T18:00:00+01:00;13364258
2019-03-02T19:00:00+01:00;14482483
2019-03-02T20:00:00+01:00;13244074
2019-03-02T21:00:00+01:00;10517930
2019-03-02T22:00:00+01:00;6215372
2019-03-02T23:00:00+01:00;7225924
2019-03-03T00:00:00+01:00;195447
2019-03-03T01:00:00+01:00;48315
2019-03-03T02:00:00+01:00;58060
2019-03-03T03:00:00+01:00;249804
2019-03-03T04:00:00+01:00;40328
2019-03-03T05:00:00+01:00;35652
2019-03-03T06:00:00+01:00;34884
2019-03-03T07:00:00+01:00;41216
2019-03-03T08:00:00+01:00;115968
2019-03-03T09:00:00+01:00;1216358
2019-03-03T10:00:00+01:00;5280648
2019-03-03T11:00:00+01:00;5919505
2019-03-03T12:00:00+01:00;3874713
2019-03-03T13:00:00+01:00;2206839
2019-03-03T14:00:00+01:00;2077542
2019-03-03T15:00:00+01:00;1044770
2019-03-03T16:00:00+01:00;2242935
2019-03-03T17:00:00+01:00;6525986
2019-03-03T18:00:00+01:00;921958
2019-03-03T19:00:00+01:00;456840
2019-03-03T20:00:00+01:00;443118
2019-03-03T21:00:00+01:00;817561
2019-03-03T22:00:00+01:00;825600
2019-03-03T23:00:00+01:00;714478
2019-03-04T00:00:00+01:00;199236
2019-03-04T01:00:00+01:00;519065
2019-03-04T02:00:00+01:00;240025
2019-03-04T03:00:00+01:00;35515
