Time;Average number of bytes written to the disk Hard disk 1
2019-03-01T00:00:00+01:00;10308
2019-03-01T01:00:00+01:00;3515
2019-03-01T02:00:00+01:00;19473
2019-03-01T03:00:00+01:00;5632
2019-03-01T04:00:00+01:00;2918
2019-03-01T05:00:00+01:00;3345
2019-03-01T06:00:00+01:00;25600
2019-03-01T07:00:00+01:00;5563
2019-03-01T08:00:00+01:00;6451
2019-03-01T09:00:00+01:00;6570
2019-03-01T10:00:00+01:00;6872
2019-03-01T11:00:00+01:00;10427
2019-03-01T12:00:00+01:00;12014
2019-03-01T13:00:00+01:00;5290
2019-03-01T14:00:00+01:00;9506
2019-03-01T15:00:00+01:00;7133
2019-03-01T16:00:00+01:00;9028
2019-03-01T17:00:00+01:00;6656
2019-03-01T18:00:00+01:00;6860
2019-03-01T19:00:00+01:00;11434
2019-03-01T20:00:00+01:00;24081
2019-03-01T21:00:00+01:00;4932
2019-03-01T22:00:00+01:00;11963
2019-03-01T23:00:00+01:00;4147
2019-03-02T00:00:00+01:00;8209
2019-03-02T01:00:00+01:00;3396
2019-03-02T02:00:00+01:00;3106
2019-03-02T03:00:00+01:00;21896
2019-03-02T04:00:00+01:00;20206
2019-03-02T05:00:00+01:00;32665
2019-03-02T06:00:00+01:00;12219
2019-03-02T07:00:00+01:00;4778
2019-03-02T08:00:00+01:00;5341
2019-03-02T09:00:00+01:00;93696
2019-03-02T10:00:00+01:00;19097
2019-03-02T11:00:00+01:00;7441
2019-03-02T12:00:00+01:00;8294
2019-03-02T13:00:00+01:00;10240
2019-03-02T14:00:00+01:00;7594
2019-03-02T15:00:00+01:00;13960
2019-03-02T16:00:00+01:00;10888
2019-03-02T17:00:00+01:00;9728
2019-03-02T18:00:00+01:00;9898
2019-03-02T19:00:00+01:00;23876
2019-03-02T20:00:00+01:00;8243
2019-03-02T21:00:00+01:00;19404
2019-03-02T22:00:00+01:00;10137
2019-03-02T23:00:00+01:00;8396
2019-03-03T00:00:00+01:00;4522
2019-03-03T01:00:00+01:00;3293
2019-03-03T02:00:00+01:00;5307
2019-03-03T03:00:00+01:00;2013
2019-03-03T04:00:00+01:00;2457
2019-03-03T05:00:00+01:00;3908
2019-03-03T06:00:00+01:00;50858
2019-03-03T07:00:00+01:00;2935
2019-03-03T08:00:00+01:00;77175
2019-03-03T09:00:00+01:00;6877
2019-03-03T10:00:00+01:00;6451
2019-03-03T11:00:00+01:00;8669
2019-03-03T12:00:00+01:00;6331
2019-03-03T13:00:00+01:00;8533
2019-03-03T14:00:00+01:00;8499
2019-03-03T15:00:00+01:00;8021
2019-03-03T16:00:00+01:00;8533
2019-03-03T17:00:00+01:00;8260
2019-03-03T18:00:00+01:00;6246
2019-03-03T19:00:00+01:00;6929
2019-03-03T20:00:00+01:00;7253
2019-03-03T21:00:00+01:00;9198
2019-03-03T22:00:00+01:00;8908
2019-03-03T23:00:00+01:00;7884
2019-03-04T00:00:00+01:00;5358
2019-03-04T01:00:00+01:00;3976
2019-03-04T02:00:00+01:00;5341
2019-03-04T03:00:00+01:00;3174
2019-03-04T04:00:00+01:00;3925
2019-03-04T05:00:00+01:00;3618
2019-03-04T06:00:00+01:00;24814
2019-03-04T07:00:00+01:00;4061
2019-03-04T08:00:00+01:00;7492
2019-03-04T09:00:00+01:00;7389
2019-03-04T10:00:00+01:00;7611
2019-03-04T11:00:00+01:00;6656
2019-03-04T12:00:00+01:00;5478
2019-03-04T13:00:00+01:00;6758
2019-03-04T14:00:00+01:00;11707
2019-03-04T15:00:00+01:00;6468
2019-03-04T16:00:00+01:00;8652
2019-03-04T17:00:00+01:00;29730
2019-03-04T18:00:00+01:00;6007
2019-03-04T19:00:00+01:00;6382
2019-03-04T20:00:00+01:00;8021
2019-03-04T21:00:00+01:00;6843
2019-03-04T22:00:00+01:00;10308
2019-03-04T23:00:00+01:00;6058
2019-03-05T00:00:00+01:00;3874
2019-03-05T01:00:00+01:00;3942
2019-03-05T02:00:00+01:00;18705
2019-03-05T03:00:00+01:00;2913
2019-03-05T04:00:00+01:00;3669
2019-03-05T05:00:00+01:00;3874
2019-03-05T06:00:00+01:00;25668
2019-03-05T07:00:00+01:00;4181
2019-03-05T08:00:00+01:00;187579
2019-03-05T09:00:00+01:00;6758
2019-03-05T10:00:00+01:00;14950
2019-03-05T11:00:00+01:00;7338
2019-03-05T12:00:00+01:00;17015
2019-03-05T13:00:00+01:00;6400
2019-03-05T14:00:00+01:00;7287
2019-03-05T15:00:00+01:00;6280
2019-03-05T16:00:00+01:00;7884
2019-03-05T17:00:00+01:00;6485
2019-03-05T18:00:00+01:00;767607
2019-03-05T19:00:00+01:00;7185
2019-03-05T20:00:00+01:00;11349
2019-03-05T21:00:00+01:00;6451
2019-03-05T22:00:00+01:00;6178
2019-03-05T23:00:00+01:00;5939
2019-03-06T00:00:00+01:00;4556
2019-03-06T01:00:00+01:00;3054
2019-03-06T02:00:00+01:00;4113
2019-03-06T03:00:00+01:00;2798
2019-03-06T04:00:00+01:00;3379
2019-03-06T05:00:00+01:00;3310
2019-03-06T06:00:00+01:00;49425
2019-03-06T07:00:00+01:00;3993
2019-03-06T08:00:00+01:00;17237
2019-03-06T09:00:00+01:00;7338
2019-03-06T10:00:00+01:00;6690
2019-03-06T11:00:00+01:00;5341
2019-03-06T12:00:00+01:00;5188
2019-03-06T13:00:00+01:00;7458
2019-03-06T14:00:00+01:00;9386
2019-03-06T15:00:00+01:00;6092
2019-03-06T16:00:00+01:00;6775
2019-03-06T17:00:00+01:00;6382
2019-03-06T18:00:00+01:00;5683
2019-03-06T19:00:00+01:00;46557
2019-03-06T20:00:00+01:00;6348
2019-03-06T21:00:00+01:00;6451
2019-03-06T22:00:00+01:00;5666
2019-03-06T23:00:00+01:00;5307
2019-03-07T00:00:00+01:00;93849
2019-03-07T01:00:00+01:00;3208
2019-03-07T02:00:00+01:00;4454
2019-03-07T03:00:00+01:00;3566
2019-03-07T04:00:00+01:00;3584
2019-03-07T05:00:00+01:00;4249
2019-03-07T06:00:00+01:00;3276
2019-03-07T07:00:00+01:00;4130
2019-03-07T08:00:00+01:00;8038
2019-03-07T09:00:00+01:00;6451
2019-03-07T10:00:00+01:00;6382
2019-03-07T11:00:00+01:00;7321
2019-03-07T12:00:00+01:00;23005
2019-03-07T13:00:00+01:00;6604
2019-03-07T14:00:00+01:00;186060
2019-03-07T15:00:00+01:00;8004
2019-03-07T16:00:00+01:00;7748
2019-03-07T17:00:00+01:00;7816
2019-03-07T18:00:00+01:00;6348
2019-03-07T19:00:00+01:00;6280
2019-03-07T20:00:00+01:00;6690
2019-03-07T21:00:00+01:00;7065
2019-03-07T22:00:00+01:00;72123
2019-03-07T23:00:00+01:00;5205
2019-03-08T00:00:00+01:00;4932
2019-03-08T01:00:00+01:00;4403
2019-03-08T02:00:00+01:00;8277
2019-03-08T03:00:00+01:00;5478
2019-03-08T04:00:00+01:00;5222
2019-03-08T05:00:00+01:00;5768
2019-03-08T06:00:00+01:00;40430
2019-03-08T07:00:00+01:00;5324
2019-03-08T08:00:00+01:00;8601
2019-03-08T09:00:00+01:00;11861
2019-03-08T10:00:00+01:00;5614
2019-03-08T11:00:00+01:00;11502
2019-03-08T12:00:00+01:00;7133
2019-03-08T13:00:00+01:00;7287
2019-03-08T14:00:00+01:00;12765
2019-03-08T15:00:00+01:00;6707
2019-03-08T16:00:00+01:00;6673
2019-03-08T17:00:00+01:00;5819
2019-03-08T18:00:00+01:00;6246
2019-03-08T19:00:00+01:00;5785
2019-03-08T20:00:00+01:00;4949
2019-03-08T21:00:00+01:00;5017
2019-03-08T22:00:00+01:00;4864
2019-03-08T23:00:00+01:00;4966
2019-03-09T00:00:00+01:00;4113
2019-03-09T01:00:00+01:00;3191
2019-03-09T02:00:00+01:00;2269
2019-03-09T03:00:00+01:00;26555
2019-03-09T04:00:00+01:00;21623
2019-03-09T05:00:00+01:00;24371
2019-03-09T06:00:00+01:00;12066
2019-03-09T07:00:00+01:00;3925
2019-03-09T08:00:00+01:00;6195
2019-03-09T09:00:00+01:00;5222
2019-03-09T10:00:00+01:00;11639
2019-03-09T11:00:00+01:00;10240
2019-03-09T12:00:00+01:00;13858
2019-03-09T13:00:00+01:00;7011
2019-03-09T14:00:00+01:00;12765
2019-03-09T15:00:00+01:00;7406
2019-03-09T16:00:00+01:00;9437
2019-03-09T17:00:00+01:00;8038
2019-03-09T18:00:00+01:00;8669
2019-03-09T19:00:00+01:00;5990
2019-03-09T20:00:00+01:00;6997
2019-03-09T21:00:00+01:00;6024
2019-03-09T22:00:00+01:00;5410
2019-03-09T23:00:00+01:00;5478
2019-03-10T00:00:00+01:00;7424
2019-03-10T01:00:00+01:00;3054
2019-03-10T02:00:00+01:00;7253
2019-03-10T03:00:00+01:00;3037
2019-03-10T04:00:00+01:00;2952
2019-03-10T05:00:00+01:00;3328
2019-03-10T06:00:00+01:00;5546
2019-03-10T07:00:00+01:00;3379
2019-03-10T08:00:00+01:00;4727
2019-03-10T09:00:00+01:00;6843
2019-03-10T10:00:00+01:00;7714
2019-03-10T11:00:00+01:00;8908
2019-03-10T12:00:00+01:00;7185
2019-03-10T13:00:00+01:00;20992
2019-03-10T14:00:00+01:00;9267
2019-03-10T15:00:00+01:00;10001
2019-03-10T16:00:00+01:00;22169
2019-03-10T17:00:00+01:00;22033
2019-03-10T18:00:00+01:00;9540
2019-03-10T19:00:00+01:00;9386
2019-03-10T20:00:00+01:00;16179
2019-03-10T21:00:00+01:00;10530
2019-03-10T22:00:00+01:00;15872
2019-03-10T23:00:00+01:00;6877
2019-03-11T00:00:00+01:00;4488
2019-03-11T01:00:00+01:00;3652
2019-03-11T02:00:00+01:00;8533
2019-03-11T03:00:00+01:00;3618
2019-03-11T04:00:00+01:00;3259
2019-03-11T05:00:00+01:00;3208
2019-03-11T06:00:00+01:00;4915
2019-03-11T07:00:00+01:00;4573
2019-03-11T08:00:00+01:00;6092
2019-03-11T09:00:00+01:00;58194
2019-03-11T10:00:00+01:00;7287
2019-03-11T11:00:00+01:00;6041
2019-03-11T12:00:00+01:00;4949
2019-03-11T13:00:00+01:00;8038
2019-03-11T14:00:00+01:00;8925
2019-03-11T15:00:00+01:00;7509
2019-03-11T16:00:00+01:00;14080
2019-03-11T17:00:00+01:00;21145
2019-03-11T18:00:00+01:00;5751
2019-03-11T19:00:00+01:00;5905
2019-03-11T20:00:00+01:00;7133
2019-03-11T21:00:00+01:00;6894
2019-03-11T22:00:00+01:00;152968
2019-03-11T23:00:00+01:00;5546
2019-03-12T00:00:00+01:00;4232
2019-03-12T01:00:00+01:00;2935
2019-03-12T02:00:00+01:00;12919
2019-03-12T03:00:00+01:00;13700
2019-03-12T04:00:00+01:00;3310
2019-03-12T05:00:00+01:00;4437
2019-03-12T06:00:00+01:00;2713
2019-03-12T07:00:00+01:00;5068
2019-03-12T08:00:00+01:00;8618
2019-03-12T09:00:00+01:00;400554
2019-03-12T10:00:00+01:00;6997
2019-03-12T11:00:00+01:00;8021
2019-03-12T12:00:00+01:00;5102
2019-03-12T13:00:00+01:00;5905
2019-03-12T14:00:00+01:00;10752
2019-03-12T15:00:00+01:00;5666
2019-03-12T16:00:00+01:00;6553
2019-03-12T17:00:00+01:00;32443
2019-03-12T18:00:00+01:00;15086
2019-03-12T19:00:00+01:00;13875
2019-03-12T20:00:00+01:00;6263
2019-03-12T21:00:00+01:00;6246
2019-03-12T22:00:00+01:00;17868
2019-03-12T23:00:00+01:00;5205
2019-03-13T00:00:00+01:00;4061
2019-03-13T01:00:00+01:00;2662
2019-03-13T02:00:00+01:00;2508
2019-03-13T03:00:00+01:00;2798
2019-03-13T04:00:00+01:00;4232
2019-03-13T05:00:00+01:00;3788
2019-03-13T06:00:00+01:00;3362
2019-03-13T07:00:00+01:00;4812
2019-03-13T08:00:00+01:00;6519
2019-03-13T09:00:00+01:00;6434
2019-03-13T10:00:00+01:00;5853
2019-03-13T11:00:00+01:00;6212
2019-03-13T12:00:00+01:00;31317
2019-03-13T13:00:00+01:00;7714
2019-03-13T14:00:00+01:00;7150
2019-03-13T15:00:00+01:00;16742
2019-03-13T16:00:00+01:00;6638
2019-03-13T17:00:00+01:00;7509
2019-03-13T18:00:00+01:00;5990
2019-03-13T19:00:00+01:00;14080
2019-03-13T20:00:00+01:00;6280
2019-03-13T21:00:00+01:00;6656
2019-03-13T22:00:00+01:00;5154
2019-03-13T23:00:00+01:00;4795
2019-03-14T00:00:00+01:00;3908
2019-03-14T01:00:00+01:00;3020
2019-03-14T02:00:00+01:00;16708
2019-03-14T03:00:00+01:00;2696
2019-03-14T04:00:00+01:00;3054
2019-03-14T05:00:00+01:00;2850
2019-03-14T06:00:00+01:00;2696
2019-03-14T07:00:00+01:00;4539
2019-03-14T08:00:00+01:00;6792
2019-03-14T09:00:00+01:00;5785
2019-03-14T10:00:00+01:00;6365
2019-03-14T11:00:00+01:00;5512
2019-03-14T12:00:00+01:00;5171
2019-03-14T13:00:00+01:00;6246
2019-03-14T14:00:00+01:00;6758
2019-03-14T15:00:00+01:00;8533
2019-03-14T16:00:00+01:00;6894
2019-03-14T17:00:00+01:00;9506
2019-03-14T18:00:00+01:00;6775
2019-03-14T19:00:00+01:00;6058
2019-03-14T20:00:00+01:00;6212
2019-03-14T21:00:00+01:00;32238
2019-03-14T22:00:00+01:00;116019
2019-03-14T23:00:00+01:00;6382
2019-03-15T00:00:00+01:00;4334
2019-03-15T01:00:00+01:00;3891
2019-03-15T02:00:00+01:00;7543
2019-03-15T03:00:00+01:00;2696
2019-03-15T04:00:00+01:00;3037
2019-03-15T05:00:00+01:00;3174
2019-03-15T06:00:00+01:00;6382
2019-03-15T07:00:00+01:00;4283
2019-03-15T08:00:00+01:00;5802
2019-03-15T09:00:00+01:00;5324
2019-03-15T10:00:00+01:00;15155
2019-03-15T11:00:00+01:00;6126
2019-03-15T12:00:00+01:00;5376
2019-03-15T13:00:00+01:00;5393
2019-03-15T14:00:00+01:00;6195
2019-03-15T15:00:00+01:00;8942
2019-03-15T16:00:00+01:00;10717
2019-03-15T17:00:00+01:00;8942
2019-03-15T18:00:00+01:00;147217
2019-03-15T19:00:00+01:00;6126
2019-03-15T20:00:00+01:00;11076
2019-03-15T21:00:00+01:00;37341
2019-03-15T22:00:00+01:00;5051
2019-03-15T23:00:00+01:00;4642
2019-03-16T00:00:00+01:00;3293
2019-03-16T01:00:00+01:00;3515
2019-03-16T02:00:00+01:00;2542
2019-03-16T03:00:00+01:00;15394
2019-03-16T04:00:00+01:00;15342
2019-03-16T05:00:00+01:00;33672
2019-03-16T06:00:00+01:00;7645
2019-03-16T07:00:00+01:00;5529
2019-03-16T08:00:00+01:00;5410
2019-03-16T09:00:00+01:00;180889
2019-03-16T10:00:00+01:00;6178
2019-03-16T11:00:00+01:00;7611
2019-03-16T12:00:00+01:00;8635
2019-03-16T13:00:00+01:00;32838
2019-03-16T14:00:00+01:00;7150
2019-03-16T15:00:00+01:00;9437
2019-03-16T16:00:00+01:00;6758
2019-03-16T17:00:00+01:00;7202
2019-03-16T18:00:00+01:00;7611
2019-03-16T19:00:00+01:00;9642
2019-03-16T20:00:00+01:00;4812
2019-03-16T21:00:00+01:00;5256
2019-03-16T22:00:00+01:00;5376
2019-03-16T23:00:00+01:00;5410
2019-03-17T00:00:00+01:00;3601
2019-03-17T01:00:00+01:00;3447
2019-03-17T02:00:00+01:00;7082
2019-03-17T03:00:00+01:00;2850
2019-03-17T04:00:00+01:00;3396
2019-03-17T05:00:00+01:00;3106
2019-03-17T06:00:00+01:00;117555
2019-03-17T07:00:00+01:00;2798
2019-03-17T08:00:00+01:00;4232
2019-03-17T09:00:00+01:00;4693
2019-03-17T10:00:00+01:00;6024
2019-03-17T11:00:00+01:00;7799
2019-03-17T12:00:00+01:00;6809
2019-03-17T13:00:00+01:00;5802
2019-03-17T14:00:00+01:00;7441
2019-03-17T15:00:00+01:00;336520
2019-03-17T16:00:00+01:00;7645
