Time;Number of packets received on interface Network adapter 1
2019-03-01T00:00:00+01:00;5893
2019-03-01T01:00:00+01:00;2650
2019-03-01T02:00:00+01:00;3253
2019-03-01T03:00:00+01:00;1689
2019-03-01T04:00:00+01:00;970
2019-03-01T05:00:00+01:00;4352
2019-03-01T06:00:00+01:00;2433
2019-03-01T07:00:00+01:00;6992
2019-03-01T08:00:00+01:00;13296
2019-03-01T09:00:00+01:00;5262
2019-03-01T10:00:00+01:00;11104
2019-03-01T11:00:00+01:00;10518
2019-03-01T12:00:00+01:00;7541
2019-03-01T13:00:00+01:00;8128
2019-03-01T14:00:00+01:00;19319
2019-03-01T15:00:00+01:00;9604
2019-03-01T16:00:00+01:00;12481
2019-03-01T17:00:00+01:00;8509
2019-03-01T18:00:00+01:00;8973
2019-03-01T19:00:00+01:00;7037
2019-03-01T20:00:00+01:00;6964
2019-03-01T21:00:00+01:00;4822
2019-03-01T22:00:00+01:00;5364
2019-03-01T23:00:00+01:00;4703
2019-03-02T00:00:00+01:00;3265
2019-03-02T01:00:00+01:00;1988
2019-03-02T02:00:00+01:00;2065
2019-03-02T03:00:00+01:00;106632
2019-03-02T04:00:00+01:00;132021
2019-03-02T05:00:00+01:00;140114
2019-03-02T06:00:00+01:00;83471
2019-03-02T07:00:00+01:00;53754
2019-03-02T08:00:00+01:00;75065
2019-03-02T09:00:00+01:00;32924
2019-03-02T10:00:00+01:00;98092
2019-03-02T11:00:00+01:00;42315
2019-03-02T12:00:00+01:00;82275
2019-03-02T13:00:00+01:00;128989
2019-03-02T14:00:00+01:00;54326
2019-03-02T15:00:00+01:00;149463
2019-03-02T16:00:00+01:00;130161
2019-03-02T17:00:00+01:00;84565
2019-03-02T18:00:00+01:00;110992
2019-03-02T19:00:00+01:00;143648
2019-03-02T20:00:00+01:00;78957
2019-03-02T21:00:00+01:00;77735
2019-03-02T22:00:00+01:00;110157
2019-03-02T23:00:00+01:00;26532
2019-03-03T00:00:00+01:00;3262
2019-03-03T01:00:00+01:00;3696
2019-03-03T02:00:00+01:00;2146
2019-03-03T03:00:00+01:00;3462
2019-03-03T04:00:00+01:00;3271
2019-03-03T05:00:00+01:00;758
2019-03-03T06:00:00+01:00;2792
2019-03-03T07:00:00+01:00;2881
2019-03-03T08:00:00+01:00;3090
2019-03-03T09:00:00+01:00;4495
2019-03-03T10:00:00+01:00;12085
2019-03-03T11:00:00+01:00;10771
2019-03-03T12:00:00+01:00;10571
2019-03-03T13:00:00+01:00;10569
2019-03-03T14:00:00+01:00;13974
2019-03-03T15:00:00+01:00;13520
2019-03-03T16:00:00+01:00;11631
2019-03-03T17:00:00+01:00;13067
2019-03-03T18:00:00+01:00;13455
2019-03-03T19:00:00+01:00;12558
2019-03-03T20:00:00+01:00;13723
2019-03-03T21:00:00+01:00;16163
2019-03-03T22:00:00+01:00;11377
2019-03-03T23:00:00+01:00;10869
2019-03-04T00:00:00+01:00;6045
2019-03-04T01:00:00+01:00;7034
2019-03-04T02:00:00+01:00;3527
2019-03-04T03:00:00+01:00;1534
2019-03-04T04:00:00+01:00;2143
2019-03-04T05:00:00+01:00;4954
2019-03-04T06:00:00+01:00;2198
2019-03-04T07:00:00+01:00;4560
2019-03-04T08:00:00+01:00;11612
2019-03-04T09:00:00+01:00;10272
2019-03-04T10:00:00+01:00;14932
2019-03-04T11:00:00+01:00;10340
2019-03-04T12:00:00+01:00;8459
2019-03-04T13:00:00+01:00;12305
2019-03-04T14:00:00+01:00;23005
2019-03-04T15:00:00+01:00;9096
2019-03-04T16:00:00+01:00;18022
2019-03-04T17:00:00+01:00;11027
2019-03-04T18:00:00+01:00;7726
2019-03-04T19:00:00+01:00;8917
2019-03-04T20:00:00+01:00;10974
2019-03-04T21:00:00+01:00;9384
2019-03-04T22:00:00+01:00;8165
2019-03-04T23:00:00+01:00;5029
2019-03-05T00:00:00+01:00;3111
2019-03-05T01:00:00+01:00;2215
2019-03-05T02:00:00+01:00;1496
2019-03-05T03:00:00+01:00;3187
2019-03-05T04:00:00+01:00;828
2019-03-05T05:00:00+01:00;2668
2019-03-05T06:00:00+01:00;1992
2019-03-05T07:00:00+01:00;6438
2019-03-05T08:00:00+01:00;11718
2019-03-05T09:00:00+01:00;9211
2019-03-05T10:00:00+01:00;14671
2019-03-05T11:00:00+01:00;12288
2019-03-05T12:00:00+01:00;7028
2019-03-05T13:00:00+01:00;9166
2019-03-05T14:00:00+01:00;13677
2019-03-05T15:00:00+01:00;10779
2019-03-05T16:00:00+01:00;12512
2019-03-05T17:00:00+01:00;8648
2019-03-05T18:00:00+01:00;9451
2019-03-05T19:00:00+01:00;8088
2019-03-05T20:00:00+01:00;10878
2019-03-05T21:00:00+01:00;9739
2019-03-05T22:00:00+01:00;17883
2019-03-05T23:00:00+01:00;5488
2019-03-06T00:00:00+01:00;4507
2019-03-06T01:00:00+01:00;1550
2019-03-06T02:00:00+01:00;2401
2019-03-06T03:00:00+01:00;1878
2019-03-06T04:00:00+01:00;1677
2019-03-06T05:00:00+01:00;5809
2019-03-06T06:00:00+01:00;2237
2019-03-06T07:00:00+01:00;4050
2019-03-06T08:00:00+01:00;10562
2019-03-06T09:00:00+01:00;14422
2019-03-06T10:00:00+01:00;12029
2019-03-06T11:00:00+01:00;11477
2019-03-06T12:00:00+01:00;6107
2019-03-06T13:00:00+01:00;8259
2019-03-06T14:00:00+01:00;17410
2019-03-06T15:00:00+01:00;10780
2019-03-06T16:00:00+01:00;9779
2019-03-06T17:00:00+01:00;7543
2019-03-06T18:00:00+01:00;5116
2019-03-06T19:00:00+01:00;11943
2019-03-06T20:00:00+01:00;9458
2019-03-06T21:00:00+01:00;7428
2019-03-06T22:00:00+01:00;7526
2019-03-06T23:00:00+01:00;5608
2019-03-07T00:00:00+01:00;2195
2019-03-07T01:00:00+01:00;2740
2019-03-07T02:00:00+01:00;1135
2019-03-07T03:00:00+01:00;2419
2019-03-07T04:00:00+01:00;3526
2019-03-07T05:00:00+01:00;2006
2019-03-07T06:00:00+01:00;1623
2019-03-07T07:00:00+01:00;4124
2019-03-07T08:00:00+01:00;11169
2019-03-07T09:00:00+01:00;8566
2019-03-07T10:00:00+01:00;10744
2019-03-07T11:00:00+01:00;8601
2019-03-07T12:00:00+01:00;7609
2019-03-07T13:00:00+01:00;10722
2019-03-07T14:00:00+01:00;14022
2019-03-07T15:00:00+01:00;12835
2019-03-07T16:00:00+01:00;13986
2019-03-07T17:00:00+01:00;13189
2019-03-07T18:00:00+01:00;8089
2019-03-07T19:00:00+01:00;9813
2019-03-07T20:00:00+01:00;10225
2019-03-07T21:00:00+01:00;9561
2019-03-07T22:00:00+01:00;5605
2019-03-07T23:00:00+01:00;3283
2019-03-08T00:00:00+01:00;3313
2019-03-08T01:00:00+01:00;3402
2019-03-08T02:00:00+01:00;2117
2019-03-08T03:00:00+01:00;2652
2019-03-08T04:00:00+01:00;2319
2019-03-08T05:00:00+01:00;3631
2019-03-08T06:00:00+01:00;3184
2019-03-08T07:00:00+01:00;4486
2019-03-08T08:00:00+01:00;11620
2019-03-08T09:00:00+01:00;8932
2019-03-08T10:00:00+01:00;10269
2019-03-08T11:00:00+01:00;11301
2019-03-08T12:00:00+01:00;9401
2019-03-08T13:00:00+01:00;10904
2019-03-08T14:00:00+01:00;16143
2019-03-08T15:00:00+01:00;9040
2019-03-08T16:00:00+01:00;9939
2019-03-08T17:00:00+01:00;4520
2019-03-08T18:00:00+01:00;5826
2019-03-08T19:00:00+01:00;4517
2019-03-08T20:00:00+01:00;4509
2019-03-08T21:00:00+01:00;4845
2019-03-08T22:00:00+01:00;3771
2019-03-08T23:00:00+01:00;4221
2019-03-09T00:00:00+01:00;2457
2019-03-09T01:00:00+01:00;1177
2019-03-09T02:00:00+01:00;3251
2019-03-09T03:00:00+01:00;113251
2019-03-09T04:00:00+01:00;139112
2019-03-09T05:00:00+01:00;136152
2019-03-09T06:00:00+01:00;70385
2019-03-09T07:00:00+01:00;51993
2019-03-09T08:00:00+01:00;77293
2019-03-09T09:00:00+01:00;35691
2019-03-09T10:00:00+01:00;94341
2019-03-09T11:00:00+01:00;83538
2019-03-09T12:00:00+01:00;136253
2019-03-09T13:00:00+01:00;46959
2019-03-09T14:00:00+01:00;81766
2019-03-09T15:00:00+01:00;10700
2019-03-09T16:00:00+01:00;10965
2019-03-09T17:00:00+01:00;11688
2019-03-09T18:00:00+01:00;9451
2019-03-09T19:00:00+01:00;5850
2019-03-09T20:00:00+01:00;5166
2019-03-09T21:00:00+01:00;4570
2019-03-09T22:00:00+01:00;4263
2019-03-09T23:00:00+01:00;4566
2019-03-10T00:00:00+01:00;2327
2019-03-10T01:00:00+01:00;3441
2019-03-10T02:00:00+01:00;3763
2019-03-10T03:00:00+01:00;2348
2019-03-10T04:00:00+01:00;1750
2019-03-10T05:00:00+01:00;2853
2019-03-10T06:00:00+01:00;2192
2019-03-10T07:00:00+01:00;1846
2019-03-10T08:00:00+01:00;2180
2019-03-10T09:00:00+01:00;4362
2019-03-10T10:00:00+01:00;9037
2019-03-10T11:00:00+01:00;9486
2019-03-10T12:00:00+01:00;10726
2019-03-10T13:00:00+01:00;8129
2019-03-10T14:00:00+01:00;15983
2019-03-10T15:00:00+01:00;15038
2019-03-10T16:00:00+01:00;15410
2019-03-10T17:00:00+01:00;19711
2019-03-10T18:00:00+01:00;11299
2019-03-10T19:00:00+01:00;11972
2019-03-10T20:00:00+01:00;15978
2019-03-10T21:00:00+01:00;18869
2019-03-10T22:00:00+01:00;13891
2019-03-10T23:00:00+01:00;9770
2019-03-11T00:00:00+01:00;4969
