Time;Number of packets transmitted on interface Network adapter 1
2019-03-01T00:00:00+01:00;7071
2019-03-01T01:00:00+01:00;2523
2019-03-01T02:00:00+01:00;3147
2019-03-01T03:00:00+01:00;1699
2019-03-01T04:00:00+01:00;935
2019-03-01T05:00:00+01:00;3881
2019-03-01T06:00:00+01:00;1928
2019-03-01T07:00:00+01:00;8322
2019-03-01T08:00:00+01:00;13303
2019-03-01T09:00:00+01:00;5200
2019-03-01T10:00:00+01:00;11450
2019-03-01T11:00:00+01:00;10234
2019-03-01T12:00:00+01:00;7094
2019-03-01T13:00:00+01:00;8017
2019-03-01T14:00:00+01:00;20142
2019-03-01T15:00:00+01:00;9524
2019-03-01T16:00:00+01:00;12185
2019-03-01T17:00:00+01:00;8837
2019-03-01T18:00:00+01:00;8529
2019-03-01T19:00:00+01:00;7144
2019-03-01T20:00:00+01:00;8568
2019-03-01T21:00:00+01:00;5170
2019-03-01T22:00:00+01:00;4743
2019-03-01T23:00:00+01:00;4596
2019-03-02T00:00:00+01:00;2804
2019-03-02T01:00:00+01:00;1983
2019-03-02T02:00:00+01:00;2421
2019-03-02T03:00:00+01:00;45287
2019-03-02T04:00:00+01:00;57169
2019-03-02T05:00:00+01:00;60313
2019-03-02T06:00:00+01:00;47995
2019-03-02T07:00:00+01:00;34668
2019-03-02T08:00:00+01:00;39680
2019-03-02T09:00:00+01:00;30816
2019-03-02T10:00:00+01:00;50831
2019-03-02T11:00:00+01:00;38284
2019-03-02T12:00:00+01:00;43038
2019-03-02T13:00:00+01:00;59068
2019-03-02T14:00:00+01:00;43549
2019-03-02T15:00:00+01:00;71878
2019-03-02T16:00:00+01:00;66026
2019-03-02T17:00:00+01:00;48868
2019-03-02T18:00:00+01:00;54189
2019-03-02T19:00:00+01:00;63138
2019-03-02T20:00:00+01:00;39638
2019-03-02T21:00:00+01:00;42270
2019-03-02T22:00:00+01:00;47814
2019-03-02T23:00:00+01:00;17768
2019-03-03T00:00:00+01:00;2754
2019-03-03T01:00:00+01:00;2687
2019-03-03T02:00:00+01:00;2116
2019-03-03T03:00:00+01:00;2846
2019-03-03T04:00:00+01:00;3299
2019-03-03T05:00:00+01:00;739
2019-03-03T06:00:00+01:00;2777
2019-03-03T07:00:00+01:00;2839
2019-03-03T08:00:00+01:00;3045
2019-03-03T09:00:00+01:00;4823
2019-03-03T10:00:00+01:00;12271
2019-03-03T11:00:00+01:00;11338
2019-03-03T12:00:00+01:00;11195
2019-03-03T13:00:00+01:00;10397
2019-03-03T14:00:00+01:00;13791
2019-03-03T15:00:00+01:00;13447
2019-03-03T16:00:00+01:00;11739
2019-03-03T17:00:00+01:00;14174
2019-03-03T18:00:00+01:00;13182
2019-03-03T19:00:00+01:00;12325
2019-03-03T20:00:00+01:00;13346
2019-03-03T21:00:00+01:00;16210
2019-03-03T22:00:00+01:00;11396
2019-03-03T23:00:00+01:00;10588
2019-03-04T00:00:00+01:00;5873
2019-03-04T01:00:00+01:00;6765
