TimeT,CPU usage,Used memory,Number of bytes received,Number of bytes transmitted,Overall status
09-07T00:00,3336000000.0,75607572480.0,992256.0,249856.0,1.0
09-07T00:02,2204500000.0,75633262592.0,960512.0,248832.0,1.0
09-07T00:04,2156000000.0,75604951040.0,1046528.0,254464.0,1.0
09-07T00:06,2358000000.0,75584503808.0,761344.0,488448.0,1.0
09-07T00:08,2702000000.0,75656331264.0,4247552.0,512512.0,1.0
09-07T00:10,2904500000.0,75705614336.0,1056256.0,287232.0,1.0
09-07T00:12,1964000000.0,75611242496.0,804352.0,292864.0,1.0
09-07T00:14,2115500000.0,75589222400.0,1266176.0,294400.0,1.0
09-07T00:16,3303500000.0,75629068288.0,899584.0,249344.0,1.0
09-07T00:18,2130000000.0,75635359744.0,854016.0,404480.0,1.0
09-07T00:20,3181500000.0,75606523904.0,1125888.0,287232.0,1.0
09-07T00:22,2589500000.0,75623825408.0,870400.0,313344.0,1.0
09-07T00:24,3193500000.0,75680448512.0,859136.0,249344.0,1.0
09-07T00:26,2216000000.0,75559337984.0,879104.0,322048.0,1.0
09-07T00:28,3256500000.0,75575066624.0,735744.0,223744.0,1.0
09-07T00:30,2901500000.0,75621728256.0,790528.0,315904.0,1.0
09-07T00:32,3487500000.0,75620679680.0,915456.0,257536.0,1.0
09-07T00:34,2325000000.0,75604951040.0,769024.0,262144.0,1.0
09-07T00:36,2759500000.0,75566153728.0,844288.0,253952.0,1.0
09-07T00:38,2242500000.0,75595513856.0,772096.0,246272.0,1.0
09-07T00:40,2994000000.0,75630641152.0,839168.0,368128.0,1.0
09-07T00:42,2321000000.0,75580309504.0,955904.0,372224.0,1.0
09-07T00:44,1937500000.0,75588698112.0,1085952.0,285184.0,1.0
09-07T00:46,3145000000.0,75596038144.0,866304.0,330240.0,1.0
09-07T00:48,2517500000.0,75631689728.0,847872.0,246272.0,1.0
09-07T00:50,2961500000.0,75599708160.0,867840.0,373760.0,1.0
09-07T00:52,2388000000.0,75537842176.0,721920.0,280576.0,1.0
09-07T00:54,2940500000.0,75629068288.0,900096.0,316928.0,1.0
09-07T00:56,3144000000.0,75675729920.0,975872.0,687104.0,1.0
