Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-01-01T00:00:00+01:00;9546816666;2,34E+11;1019716;837034;12;13
2019-01-01T01:00:00+01:00;8559083333;2,34E+11;1566993;27111884;10;10
2019-01-01T02:00:00+01:00;7698983333;2,46E+11;3429444;7889186;10;15
2019-01-01T03:00:00+01:00;7631850000;2,48E+11;1017924;612881;12;10
2019-01-01T04:00:00+01:00;8352433333;2,48E+11;846131;1663897;12;60
2019-01-01T05:00:00+01:00;7449716666;2,48E+11;966775;7421730;6;9
2019-01-01T06:00:00+01:00;7332000000;2,48E+11;747605;622421;6;13
2019-01-01T07:00:00+01:00;7074716666;2,48E+11;993860;611345;7;10
2019-01-01T08:00:00+01:00;7425800000;2,48E+11;1084155;736151;10;5
2019-01-01T09:00:00+01:00;7542850000;2,36E+11;927573;6709367;9;13
2019-01-01T10:00:00+01:00;9589550000;2,34E+11;1225181;1850368;5;1
2019-01-01T11:00:00+01:00;10809550000;2,34E+11;1024494;640819;6;11
2019-01-01T12:00:00+01:00;11835950000;2,34E+11;1056150;699586;7;8
2019-01-01T13:00:00+01:00;11203083333;2,34E+11;1025348;751104;8;12
2019-01-01T14:00:00+01:00;11777016666;2,34E+11;1069841;719906;7;1
2019-01-01T15:00:00+01:00;11944050000;2,34E+11;1132100;1246839;10;4
2019-01-01T16:00:00+01:00;12392483333;2,34E+11;1211565;826159;6;5
2019-01-01T17:00:00+01:00;12305433333;2,34E+11;1161639;797501;6;1
2019-01-01T18:00:00+01:00;12151466666;2,35E+11;1081465;848496;8;17
2019-01-01T19:00:00+01:00;11462533333;2,34E+11;1349543;815527;8;16
2019-01-01T20:00:00+01:00;11105216666;2,34E+11;1202449;3428590;7;6
2019-01-01T21:00:00+01:00;11280733333;2,34E+11;6578158;6600874;9;13
2019-01-01T22:00:00+01:00;11334333333;2,34E+11;1043694;1296366;8;7
2019-01-01T23:00:00+01:00;11701416666;2,35E+11;981452;1175347;8;2
2019-01-02T00:00:00+01:00;9124450000;2,34E+11;963259;1337497;10;6
2019-01-02T01:00:00+01:00;9030783333;2,36E+11;3291014;15981342;10;15
2019-01-02T02:00:00+01:00;7300100000;2,63E+11;9376157;10068596;8;13
2019-01-02T03:00:00+01:00;7828166666;2,60E+11;999909;4725707;11;9
2019-01-02T04:00:00+01:00;7859533333;2,59E+11;556066;553591;8;34
2019-01-02T05:00:00+01:00;6831416666;2,29E+11;658926;8678263;6;4
2019-01-02T06:00:00+01:00;7973650000;2,38E+11;2679586;463138;8;4
2019-01-02T07:00:00+01:00;7139583333;2,40E+11;836266;710041;7;4
2019-01-02T08:00:00+01:00;8229733333;2,40E+11;1213405;4392601;12;4
2019-01-02T09:00:00+01:00;10383516666;2,40E+11;1774233;1466948;10;4
2019-01-02T10:00:00+01:00;12115550000;2,40E+11;1400814;2377984;10;5
2019-01-02T11:00:00+01:00;11030633333;2,40E+11;1517090;1385523;7;3
2019-01-02T12:00:00+01:00;13230316666;2,40E+11;1359991;1613175;13;10
2019-01-02T13:00:00+01:00;12667783333;2,40E+11;1186312;1269621;12;8
2019-01-02T14:00:00+01:00;11513150000;2,40E+11;1561821;1715865;10;5
2019-01-02T15:00:00+01:00;12018016666;2,40E+11;1799645;2644889;9;22
2019-01-02T16:00:00+01:00;10067500000;2,40E+11;3026688;1192157;7;10
2019-01-02T17:00:00+01:00;11530583333;2,40E+11;1738613;1351263;9;19
2019-01-02T18:00:00+01:00;12468033333;2,40E+11;1423724;1054789;9;4
