Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-07-01T00:00:00+02:00;10183600000;2,40E+11;839097;865050;13;15
2019-07-01T01:00:00+02:00;10369700000;2,40E+11;904072;1250884;9;17
2019-07-01T02:00:00+02:00;11291433333;2,40E+11;837546;14237303;19;66
2019-07-01T03:00:00+02:00;12259118644;2,40E+11;679120;3516867;17;35
2019-07-01T04:00:00+02:00;11252583333;2,39E+11;668203;1751161;21;58
2019-07-01T05:00:00+02:00;10293583333;2,39E+11;641382;826094;6;7
2019-07-01T06:00:00+02:00;10548766666;2,35E+11;783536;4211729;9;11
2019-07-01T07:00:00+02:00;9918383333;2,35E+11;917879;1171421;9;4
2019-07-01T08:00:00+02:00;11837233333;2,35E+11;1033881;1604061;9;11
2019-07-01T09:00:00+02:00;11776050000;2,35E+11;1511042;1982724;10;10
2019-07-01T10:00:00+02:00;10571483333;2,35E+11;1039650;1820774;5;8
2019-07-01T11:00:00+02:00;10896700000;2,40E+11;6394675;2466201;10;12
2019-07-01T12:00:00+02:00;11162333333;2,43E+11;889139;3270365;12;9
2019-07-01T13:00:00+02:00;10277933333;2,45E+11;2961271;1395268;5;9
2019-07-01T14:00:00+02:00;10042600000;2,52E+11;933939;1524906;4;25
2019-07-01T15:00:00+02:00;10459516666;2,52E+11;1756108;7487249;3;10
2019-07-01T16:00:00+02:00;10791616666;2,37E+11;991402;1413239;8;16
2019-07-01T17:00:00+02:00;9863333333;2,37E+11;5317324;4651690;4;7
2019-07-01T18:00:00+02:00;9519900000;2,37E+11;794333;1151453;5;22
2019-07-01T19:00:00+02:00;9849133333;2,37E+11;707184;1374242;4;11
2019-07-01T20:00:00+02:00;9699616666;2,37E+11;1036168;8178841;4;10
2019-07-01T21:00:00+02:00;9419666666;2,37E+11;870859;1877821;4;6
2019-07-01T22:00:00+02:00;9949233333;2,37E+11;1825097;2496789;8;9
2019-07-01T23:00:00+02:00;10575933333;2,41E+11;2508322;1841032;4;4
2019-07-02T00:00:00+02:00;10316866666;2,41E+11;951586;1313092;7;13
2019-07-02T01:00:00+02:00;10435550000;2,41E+11;617923;953083;6;18
2019-07-02T02:00:00+02:00;11592816666;2,41E+11;804488;19636855;8;15
2019-07-02T03:00:00+02:00;10392933333;2,27E+11;588151;22685030;8;16
2019-07-02T04:00:00+02:00;9754833333;2,24E+11;606242;31460625;12;39
