Time;Free disk space on C:\
2019-05-20T08:07:50+02:00;4759314432
2019-05-20T08:08:50+02:00;4759314432
2019-05-20T08:09:50+02:00;4759314432
2019-05-20T08:10:50+02:00;4759314432
2019-05-20T08:11:50+02:00;4759314432
2019-05-20T08:12:50+02:00;4759314432
2019-05-20T08:13:50+02:00;4759314432
2019-05-20T08:14:50+02:00;4759314432
2019-05-20T08:15:50+02:00;4759314432
2019-05-20T08:16:50+02:00;4759314432
2019-05-20T08:17:50+02:00;4759314432
2019-05-20T08:18:50+02:00;4759314432
2019-05-20T08:19:50+02:00;4759314432
2019-05-20T08:20:50+02:00;4788158464
2019-05-20T08:21:50+02:00;4512002048
2019-05-20T08:22:50+02:00;4191490048
2019-05-20T08:23:50+02:00;4191490048
2019-05-20T08:24:50+02:00;4191490048
2019-05-20T08:25:50+02:00;4191490048
2019-05-20T08:26:50+02:00;6419451904
2019-05-20T08:27:50+02:00;6419451904
2019-05-20T08:28:50+02:00;6419451904
2019-05-20T08:29:50+02:00;6419451904
2019-05-20T08:30:50+02:00;6419451904
2019-05-20T08:31:50+02:00;6419451904
2019-05-20T08:32:50+02:00;6618316800
2019-05-20T08:33:50+02:00;6618316800
2019-05-20T08:34:50+02:00;6618316800
2019-05-20T08:35:50+02:00;6618316800
2019-05-20T08:36:50+02:00;6618316800
2019-05-20T08:37:50+02:00;6618316800
2019-05-20T08:38:50+02:00;6618316800
2019-05-20T08:39:50+02:00;6618316800
2019-05-20T08:40:50+02:00;6618316800
2019-05-20T08:41:50+02:00;6507995136
2019-05-20T08:42:50+02:00;6507995136
2019-05-20T08:43:50+02:00;6507995136
2019-05-20T08:44:50+02:00;5985746944
2019-05-20T08:45:50+02:00;5658009600
2019-05-20T08:46:50+02:00;5776134144
2019-05-20T08:47:50+02:00;4451729408
2019-05-20T08:48:50+02:00;4064219136
2019-05-20T08:49:50+02:00;4460392448
2019-05-20T08:50:50+02:00;4698177536
2019-05-20T08:51:50+02:00;4698177536
2019-05-20T08:52:50+02:00;3970310144
2019-05-20T08:53:50+02:00;4120535040
2019-05-20T08:54:50+02:00;4566986752
2019-05-20T08:55:50+02:00;4566986752
2019-05-20T08:56:50+02:00;4566986752
2019-05-20T08:57:50+02:00;4372713472
2019-05-20T08:58:50+02:00;4372713472
2019-05-20T08:59:50+02:00;4372713472
2019-05-20T09:00:50+02:00;4254208000
2019-05-20T09:01:50+02:00;4254208000
2019-05-20T09:02:50+02:00;4254208000
2019-05-20T09:03:50+02:00;4254208000
2019-05-20T09:04:50+02:00;4254208000
2019-05-20T09:05:50+02:00;4139069440
2019-05-20T09:06:50+02:00;4139069440
2019-05-20T09:07:50+02:00;3657297920
2019-05-20T09:08:50+02:00;3844644864
2019-05-20T09:09:50+02:00;3844644864
2019-05-20T09:10:50+02:00;3844644864
2019-05-20T09:11:50+02:00;3844644864
2019-05-20T09:12:50+02:00;3610820608
2019-05-20T09:13:50+02:00;2995392512
2019-05-20T09:14:50+02:00;3185516544
2019-05-20T09:15:50+02:00;2729406464
2019-05-20T09:16:50+02:00;2804432896
2019-05-20T09:17:50+02:00;2267414528
2019-05-20T09:18:50+02:00;2267414528
2019-05-20T09:19:50+02:00;2082525184
2019-05-20T09:20:50+02:00;2739830784
2019-05-20T09:21:50+02:00;2612318208
2019-05-20T09:22:50+02:00;2371043328
2019-05-20T09:23:50+02:00;1981722624
2019-05-20T09:24:50+02:00;1859305472
2019-05-20T09:25:50+02:00;1526063104
2019-05-20T09:26:50+02:00;1421066240
2019-05-20T09:27:50+02:00;1275572224
2019-05-20T09:28:50+02:00;1145581568
2019-05-20T09:29:50+02:00;1467187200
2019-05-20T09:30:50+02:00;1467187200
2019-05-20T09:31:50+02:00;1467187200
2019-05-20T09:32:50+02:00;1345990656
2019-05-20T09:33:50+02:00;976801792
2019-05-20T09:34:50+02:00;2231148544
2019-05-20T09:35:50+02:00;5049401344
2019-05-20T09:36:50+02:00;4586446848
2019-05-20T09:37:50+02:00;5012406272
2019-05-20T09:38:50+02:00;5012406272
2019-05-20T09:39:50+02:00;4399284224
2019-05-20T09:40:50+02:00;3714314240
2019-05-20T09:41:50+02:00;3386044416
2019-05-20T09:42:50+02:00;3132592128
2019-05-20T09:43:50+02:00;2978537472
2019-05-20T09:44:50+02:00;2620993536
2019-05-20T09:45:50+02:00;4803289088
2019-05-20T09:46:50+02:00;4303609856
2019-05-20T09:47:50+02:00;3661000704
2019-05-20T09:48:50+02:00;3661000704
2019-05-20T09:49:50+02:00;2989572096
2019-05-20T09:50:50+02:00;2543591424
2019-05-20T09:51:50+02:00;1983766528
2019-05-20T09:52:50+02:00;1694294016
2019-05-20T09:53:50+02:00;1204002816
2019-05-20T09:54:50+02:00;1042952192
2019-05-20T09:55:50+02:00;876441600
2019-05-20T09:56:50+02:00;723705856
2019-05-20T09:57:50+02:00;602345472
2019-05-20T09:58:50+02:00;259141632
2019-05-20T09:59:50+02:00;259141632
2019-05-20T10:00:50+02:00;3843633152
2019-05-20T10:01:50+02:00;3722649600
2019-05-20T10:02:50+02:00;3942428672
