Time	Free disk space on C:\ (percentage)
2019-05-20T08:14:51+02:00	3.6938
2019-05-20T08:15:51+02:00	3.6938
2019-05-20T08:16:51+02:00	3.6938
2019-05-20T08:17:51+02:00	3.6938
2019-05-20T08:18:51+02:00	3.6938
2019-05-20T08:19:51+02:00	3.6938
2019-05-20T08:20:51+02:00	3.7162
2019-05-20T08:21:51+02:00	3.5018
2019-05-20T08:22:51+02:00	3.2531
2019-05-20T08:23:51+02:00	3.2531
2019-05-20T08:24:51+02:00	3.2531
2019-05-20T08:25:51+02:00	3.2531
2019-05-20T08:26:51+02:00	4.9822
2019-05-20T08:27:51+02:00	4.9822
2019-05-20T08:28:51+02:00	4.9822
2019-05-20T08:29:51+02:00	4.9822
2019-05-20T08:30:51+02:00	4.9822
2019-05-20T08:31:51+02:00	4.9822
2019-05-20T08:32:51+02:00	5.1366
2019-05-20T08:33:51+02:00	5.1366
2019-05-20T08:34:51+02:00	5.1366
2019-05-20T08:35:51+02:00	5.1366
2019-05-20T08:36:51+02:00	5.1366
2019-05-20T08:37:51+02:00	5.1366
2019-05-20T08:38:51+02:00	5.1366
2019-05-20T08:39:51+02:00	5.1366
2019-05-20T08:40:51+02:00	5.1366
2019-05-20T08:41:51+02:00	5.051
2019-05-20T08:42:51+02:00	5.051
2019-05-20T08:43:51+02:00	5.051
2019-05-20T08:44:51+02:00	4.6456
2019-05-20T08:45:51+02:00	4.3913
2019-05-20T08:46:51+02:00	4.4829
2019-05-20T08:47:51+02:00	3.4551
2019-05-20T08:48:51+02:00	3.1543
2019-05-20T08:49:51+02:00	3.4618
2019-05-20T08:50:51+02:00	3.6463
2019-05-20T08:51:51+02:00	3.6463
2019-05-20T08:52:51+02:00	3.0814
2019-05-20T08:53:51+02:00	3.198
2019-05-20T08:54:51+02:00	3.5445
2019-05-20T08:55:51+02:00	3.5445
2019-05-20T08:56:51+02:00	3.5445
2019-05-20T08:57:51+02:00	3.3937
2019-05-20T08:58:51+02:00	3.3937
2019-05-20T08:59:51+02:00	3.3937
2019-05-20T09:00:51+02:00	3.3018
2019-05-20T09:01:51+02:00	3.3018
2019-05-20T09:02:51+02:00	3.3018
2019-05-20T09:03:51+02:00	3.3018
2019-05-20T09:04:51+02:00	3.3018
2019-05-20T09:05:51+02:00	3.2124
2019-05-20T09:06:51+02:00	3.2124
2019-05-20T09:07:51+02:00	2.8385
2019-05-20T09:08:51+02:00	2.9839
2019-05-20T09:09:51+02:00	2.9839
2019-05-20T09:10:51+02:00	2.9839
2019-05-20T09:11:51+02:00	2.9839
2019-05-20T09:12:51+02:00	2.8024
2019-05-20T09:13:51+02:00	2.3248
2019-05-20T09:14:51+02:00	2.4723
2019-05-20T09:15:51+02:00	2.1183
