Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status
2019-08-26T00:00:00+02:00;3436500000;75535220736;3204096;168904192;1
2019-08-26T00:02:00+02:00;2364500000;75476500480;982016;340992;1
2019-08-26T00:04:00+02:00;3000500000;75464966144;2981888;241243648;1
2019-08-26T00:06:00+02:00;2209500000;75486986240;1352192;366592;1
2019-08-26T00:08:00+02:00;2899000000;75611766784;1067520;439296;1
2019-08-26T00:10:00+02:00;2738500000;75422498816;3518464;242366976;1
2019-08-26T00:12:00+02:00;2092500000;75460247552;865280;341504;1
2019-08-26T00:14:00+02:00;2938500000;75495374848;3173888;244008448;1
2019-08-26T00:16:00+02:00;2524000000;75532075008;1451008;371200;1
2019-08-26T00:18:00+02:00;2538000000;75446616064;945152;331776;1
2019-08-26T00:20:00+02:00;3462500000;75458150400;3588096;245895168;1
2019-08-26T00:22:00+02:00;2191500000;75473879040;1004032;393728;1
2019-08-26T00:24:00+02:00;3941500000;75510579200;3258368;245374464;1
2019-08-26T00:26:00+02:00;2424000000;75437178880;858112;343040;1
2019-08-26T00:28:00+02:00;2834000000;75450286080;1112064;384512;1
2019-08-26T00:30:00+02:00;3073500000;75497996288;801792;1411584;1
2019-08-26T00:32:00+02:00;2417500000;75521589248;864256;303104;1
2019-08-26T00:34:00+02:00;2681000000;75421974528;1235456;1227264;1
2019-08-26T00:36:00+02:00;2125500000;75442421760;869376;364032;1
2019-08-26T00:38:00+02:00;2448500000;75478073344;1305088;1137664;1
2019-08-26T00:40:00+02:00;3354500000;75525783552;1078272;1101312;1
2019-08-26T00:42:00+02:00;2139500000;75423023104;787968;348160;1
2019-08-26T00:44:00+02:00;2296000000;75443994624;1001984;1206784;1
2019-08-26T00:46:00+02:00;2056000000;75460247552;965632;340480;1
2019-08-26T00:48:00+02:00;3054000000;75511627776;963072;435712;1
2019-08-26T00:50:00+02:00;2920500000;75460247552;1030144;336896;1
2019-08-26T00:52:00+02:00;3003500000;75472306176;851968;355840;1
2019-08-26T00:54:00+02:00;2839500000;75512676352;1081344;448512;1
2019-08-26T00:56:00+02:00;2198000000;75523686400;1214464;261632;1
2019-08-26T00:58:00+02:00;2154000000;75464966144;1057792;390144;1
2019-08-26T01:00:00+02:00;2765000000;75432984576;999424;338432;1
2019-08-26T01:02:00+02:00;2269500000;75469160448;710144;267264;1
2019-08-26T01:04:00+02:00;2241500000;75522113536;6225920;1816064;1
2019-08-26T01:06:00+02:00;3048000000;75490656256;4782592;5380608;1
2019-08-26T01:08:00+02:00;2370000000;75568775168;1230336;389632;1
2019-08-26T01:10:00+02:00;2880500000;75471781888;1080832;415232;1
2019-08-26T01:12:00+02:00;2222500000;75504287744;886784;326144;1
2019-08-26T01:14:00+02:00;3030500000;75484889088;5187584;504320;1
2019-08-26T01:16:00+02:00;2607000000;75449761792;1005568;357888;1
2019-08-26T01:18:00+02:00;3100500000;75512152064;1242112;1388544;1
2019-08-26T01:20:00+02:00;3221000000;75521064960;1033728;319488;1
2019-08-26T01:22:00+02:00;2464500000;75513724928;928768;1840640;1
2019-08-26T01:24:00+02:00;2225500000;75469684736;1198080;457216;1
2019-08-26T01:26:00+02:00;2914500000;75467063296;1172480;440320;1
2019-08-26T01:28:00+02:00;2371000000;75495374848;1067520;327168;1
2019-08-26T01:30:00+02:00;2936500000;75482791936;3292160;403456;1
2019-08-26T01:32:00+02:00;2166000000;75432984576;920576;265728;1
2019-08-26T01:34:00+02:00;2303000000;75470733312;1085952;384512;1
2019-08-26T01:36:00+02:00;3008000000;75509006336;869888;315904;1
2019-08-26T01:38:00+02:00;2261000000;75518443520;1094656;398336;1
2019-08-26T01:40:00+02:00;3184000000;75463393280;918016;478208;1
2019-08-26T01:42:00+02:00;2076500000;75493801984;851456;444416;1
2019-08-26T01:44:00+02:00;3694500000;75537317888;1148416;424448;1
2019-08-26T01:46:00+02:00;2974000000;75529453568;858624;373760;1
2019-08-26T01:48:00+02:00;2529500000;75442946048;1133568;390144;1
2019-08-26T01:50:00+02:00;3325000000;75458674688;940032;312832;1
2019-08-26T01:52:00+02:00;2220500000;75485413376;823808;337920;1
2019-08-26T01:54:00+02:00;3034500000;75452907520;1217536;600064;1
2019-08-26T01:56:00+02:00;1853000000;75475451904;842240;1266176;1
2019-08-26T01:58:00+02:00;2583500000;75465490432;1019392;483840;1
2019-08-26T02:00:00+02:00;3310000000;75497472000;878592;314880;1
2019-08-26T02:02:00+02:00;2143500000;75461820416;779776;348672;1
2019-08-26T02:04:00+02:00;2983500000;75431411712;971264;453120;1
2019-08-26T02:06:00+02:00;2171500000;75449761792;2628096;5475840;1
2019-08-26T02:08:00+02:00;3707000000;75623301120;1060864;355328;1
2019-08-26T02:10:00+02:00;3397000000;75508482048;987136;371200;1
2019-08-26T02:12:00+02:00;2570000000;75436130304;816640;279552;1
2019-08-26T02:14:00+02:00;2692500000;75434557440;1197056;446464;1
2019-08-26T02:16:00+02:00;2570000000;75459198976;876032;272896;1
2019-08-26T02:18:00+02:00;2461500000;75495899136;1006080;377344;1
2019-08-26T02:20:00+02:00;3241000000;75395760128;1135616;8580096;1
2019-08-26T02:22:00+02:00;2465500000;75418828800;1195008;1898496;1
2019-08-26T02:24:00+02:00;2908000000;75459198976;1271808;8898560;1
2019-08-26T02:26:00+02:00;2217000000;75489607680;1143808;304640;1
2019-08-26T02:28:00+02:00;2397500000;75412013056;1253888;456192;1
2019-08-26T02:30:00+02:00;2768500000;75445567488;988160;8454144;1
2019-08-26T02:32:00+02:00;3389500000;75443994624;997888;368128;1
2019-08-26T02:34:00+02:00;3050500000;75514773504;3452928;7848960;1
2019-08-26T02:36:00+02:00;3318500000;75468111872;1111040;731136;1
2019-08-26T02:38:00+02:00;2462000000;75436130304;1168896;344064;1
2019-08-26T02:40:00+02:00;2956500000;75439800320;971776;7887360;1
2019-08-26T02:42:00+02:00;2505500000;75491180544;911360;289792;1
2019-08-26T02:44:00+02:00;2769500000;75427217408;1534976;7607296;1
2019-08-26T02:46:00+02:00;2432000000;75424071680;1123840;335872;1
2019-08-26T02:48:00+02:00;2576500000;75459198976;5393408;438272;1
2019-08-26T02:50:00+02:00;3153500000;75483316224;1050624;6850048;1
2019-08-26T02:52:00+02:00;2378500000;75441373184;805376;352256;1
2019-08-26T02:54:00+02:00;2723000000;75438227456;1163776;6622208;1
2019-08-26T02:56:00+02:00;2367500000;75468636160;1278464;451072;1
2019-08-26T02:58:00+02:00;3589500000;75486461952;1055232;408576;1
2019-08-26T03:00:00+02:00;2955500000;75468111872;1083392;6192640;1
2019-08-26T03:02:00+02:00;3250000000;75453956096;1312768;329216;1
