Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status
2019-09-10T00:00:00+02:00;2234500000;75648991232;2864128;178827776;1
2019-09-10T00:02:00+02:00;2991500000;75589746688;953344;310272;1
2019-09-10T00:04:00+02:00;2001500000;75593416704;3169280;234326528;1
2019-09-10T00:06:00+02:00;3003500000;75611242496;1020928;987648;1
2019-09-10T00:08:00+02:00;1973500000;75615961088;914944;321536;1
2019-09-10T00:10:00+02:00;3390000000;75587125248;3123200;236708352;1
2019-09-10T00:12:00+02:00;2123000000;75592892416;835584;387072;1
2019-09-10T00:14:00+02:00;2811000000;75592368128;3299840;236394496;1
2019-09-10T00:16:00+02:00;2900000000;75608621056;1054720;517632;1
2019-09-10T00:18:00+02:00;1827000000;75538366464;972288;417792;1
2019-09-10T00:20:00+02:00;2824500000;75564580864;2984960;230241280;1
2019-09-10T00:22:00+02:00;2395500000;75589746688;985600;1005056;1
2019-09-10T00:24:00+02:00;1901000000;75583455232;3154432;237667328;1
2019-09-10T00:26:00+02:00;2739000000;75579260928;1114112;583680;1
2019-09-10T00:28:00+02:00;2094500000;75567726592;861184;300032;1
2019-09-10T00:30:00+02:00;2839500000;75599708160;3393536;238585856;1
2019-09-10T00:32:00+02:00;2504500000;75598135296;997376;557568;1
2019-09-10T00:34:00+02:00;2543000000;75532075008;1714176;27394560;1
2019-09-10T00:36:00+02:00;2757500000;75578212352;978944;313856;1
2019-09-10T00:38:00+02:00;3067500000;75590795264;1764864;11603456;1
2019-09-10T00:40:00+02:00;2660000000;75594989568;1156096;26799104;1
2019-09-10T00:42:00+02:00;1965500000;75535745024;953856;783872;1
2019-09-10T00:44:00+02:00;2412000000;75577163776;1404416;26413056;1
2019-09-10T00:46:00+02:00;3087500000;75622776832;1050624;385024;1
2019-09-10T00:48:00+02:00;2023000000;75623825408;1122304;324096;1
2019-09-10T00:50:00+02:00;2675500000;75576639488;1199104;25619968;1
2019-09-10T00:52:00+02:00;2231000000;75562483712;1189376;334336;1
2019-09-10T00:54:00+02:00;2095500000;75597086720;1364480;25463808;1
2019-09-10T00:56:00+02:00;2834000000;75606523904;854016;374272;1
2019-09-10T00:58:00+02:00;1858000000;75532075008;1262592;401408;1
2019-09-10T01:00:00+02:00;3678500000;75560910848;1014272;24941568;1
2019-09-10T01:02:00+02:00;2327000000;75594465280;911872;291840;1
2019-09-10T01:04:00+02:00;3312500000;75629592576;1366528;24714240;1
2019-09-10T01:06:00+02:00;2478500000;75542560768;1047552;4492288;1
2019-09-10T01:08:00+02:00;2619000000;75594989568;790528;428544;1
2019-09-10T01:10:00+02:00;3091500000;75639029760;1488384;48969728;1
2019-09-10T01:12:00+02:00;2320000000;75630641152;895488;475648;1
2019-09-10T01:14:00+02:00;2168000000;75559337984;1163776;333824;1
2019-09-10T01:16:00+02:00;2511000000;75594989568;932352;23833600;1
2019-09-10T01:18:00+02:00;2482000000;75593416704;842752;402432;1
2019-09-10T01:20:00+02:00;2387000000;75620679680;1473024;23124480;1
2019-09-10T01:22:00+02:00;2966000000;75530502144;851456;294912;1
2019-09-10T01:24:00+02:00;1932500000;75557765120;1375232;422912;1
2019-09-10T01:26:00+02:00;2697000000;75596038144;1065984;22657536;1
2019-09-10T01:28:00+02:00;2403500000;75628544000;870912;364544;1
2019-09-10T01:30:00+02:00;2831500000;75562483712;1794560;22870528;1
2019-09-10T01:32:00+02:00;2871000000;75570348032;996352;291840;1
2019-09-10T01:34:00+02:00;3058500000;75613863936;1317376;429056;1
2019-09-10T01:36:00+02:00;2755500000;75632214016;1075712;22426112;1
2019-09-10T01:38:00+02:00;2862000000;75598135296;1014784;310272;1
2019-09-10T01:40:00+02:00;1855500000;75599708160;2060288;22054912;1
2019-09-10T01:42:00+02:00;2960500000;75602329600;986624;413184;1
2019-09-10T01:44:00+02:00;2281000000;75608096768;1713152;373760;1
2019-09-10T01:46:00+02:00;2728500000;75565629440;1019392;21597184;1
2019-09-10T01:48:00+02:00;2228000000;75559337984;984576;271360;1
2019-09-10T01:50:00+02:00;3140500000;75608621056;1617408;19481088;1
2019-09-10T01:52:00+02:00;2954500000;75585028096;2124288;1586688;1
2019-09-10T01:54:00+02:00;2702500000;75561959424;1646080;357376;1
2019-09-10T01:56:00+02:00;2474000000;75540987904;1162240;26185216;1
2019-09-10T01:58:00+02:00;3253500000;75562483712;829952;320512;1
2019-09-10T02:00:00+02:00;2132500000;75618058240;1717248;20402176;1
2019-09-10T02:02:00+02:00;3751500000;75576639488;931328;605184;1
2019-09-10T02:04:00+02:00;1912000000;75562483712;1404928;421376;1
2019-09-10T02:06:00+02:00;2822500000;75583979520;997376;19778048;1
2019-09-10T02:08:00+02:00;2745500000;75620155392;3950080;5319168;1
2019-09-10T02:10:00+02:00;2205000000;75700895744;1796608;19197440;1
2019-09-10T02:12:00+02:00;3143500000;75514249216;836096;1144320;1
2019-09-10T02:14:00+02:00;1940000000;75517394944;1573888;346624;1
2019-09-10T02:16:00+02:00;3150500000;75586600960;1040384;19992064;1
2019-09-10T02:18:00+02:00;2538500000;75578736640;852992;348672;1
2019-09-10T02:20:00+02:00;1861000000;75502190592;1540096;18596352;1
2019-09-10T02:22:00+02:00;3002000000;75547279360;924160;368128;1
2019-09-10T02:24:00+02:00;3380500000;75555667968;1610240;446464;1
2019-09-10T02:26:00+02:00;2758000000;75607572480;1043456;17999360;1
2019-09-10T02:28:00+02:00;3693500000;75573493760;932864;922112;1
2019-09-10T02:30:00+02:00;2046500000;75537842176;1505792;17553920;1
2019-09-10T02:32:00+02:00;3266000000;75570872320;889856;283136;1
2019-09-10T02:34:00+02:00;2294500000;75606523904;1153536;1098752;1
2019-09-10T02:36:00+02:00;2601500000;75557240832;1041408;17156608;1
2019-09-10T02:38:00+02:00;2340500000;75539415040;910848;289280;1
2019-09-10T02:40:00+02:00;2594500000;75577688064;1359872;17262592;1
2019-09-10T02:42:00+02:00;2259000000;75575590912;961536;380416;1
2019-09-10T02:44:00+02:00;1849500000;75514249216;1400320;349184;1
2019-09-10T02:46:00+02:00;3077000000;75585028096;1042944;16702976;1
2019-09-10T02:48:00+02:00;3821000000;75560386560;998400;318976;1
2019-09-10T02:50:00+02:00;2546000000;75599183872;1494016;16410112;1
2019-09-10T02:52:00+02:00;2896500000;75527356416;813056;325632;1
2019-09-10T02:54:00+02:00;1876000000;75546755072;1752064;4154880;1
2019-09-10T02:56:00+02:00;3049500000;75590270976;1010688;16028672;1
2019-09-10T02:58:00+02:00;2561500000;75637981184;864256;369664;1
2019-09-10T03:00:00+02:00;2739000000;75545182208;1439232;15219712;1
2019-09-10T03:02:00+02:00;2158000000;75544133632;850944;360960;1
2019-09-10T03:04:00+02:00;2257500000;75536793600;1534464;375808;1
2019-09-10T03:06:00+02:00;3453500000;75637456896;1054720;14936576;1
2019-09-10T03:08:00+02:00;2172500000;75530502144;1705984;3854848;1
2019-09-10T03:10:00+02:00;2539500000;75572969472;1692672;14423040;1
2019-09-10T03:12:00+02:00;3132000000;75559337984;935936;710656;1
2019-09-10T03:14:00+02:00;1991500000;75581882368;1245184;314880;1
2019-09-10T03:16:00+02:00;4614500000;75545182208;960512;14248448;1
2019-09-10T03:18:00+02:00;2219000000;75537317888;869888;271360;1
2019-09-10T03:20:00+02:00;3425000000;75550949376;1328128;13671936;1
2019-09-10T03:22:00+02:00;2532000000;75580833792;739840;295936;1
2019-09-10T03:24:00+02:00;1733000000;75493277696;1338880;436736;1
2019-09-10T03:26:00+02:00;2952500000;75568775168;961536;13530112;1
2019-09-10T03:28:00+02:00;2340000000;75531026432;1097216;421376;1
2019-09-10T03:30:00+02:00;2972500000;75585552384;1498112;12882432;1
2019-09-10T03:32:00+02:00;2259500000;75508482048;837632;262656;1
2019-09-10T03:34:00+02:00;1903000000;75488034816;1287168;340992;1
2019-09-10T03:36:00+02:00;3197000000;75571396608;968192;12073472;1
2019-09-10T03:38:00+02:00;2313000000;75573493760;866304;284160;1
2019-09-10T03:40:00+02:00;2489000000;75553046528;1355776;11994112;1
2019-09-10T03:42:00+02:00;3242500000;75503239168;909312;316416;1
2019-09-10T03:44:00+02:00;2619000000;75586076672;1577472;687104;1
2019-09-10T03:46:00+02:00;4312500000;75606523904;1014272;11483648;1
2019-09-10T03:48:00+02:00;2358500000;75552522240;933888;305152;1
2019-09-10T03:50:00+02:00;2388000000;75519492096;1473536;11641344;1
2019-09-10T03:52:00+02:00;2674500000;75527880704;911360;369664;1
2019-09-10T03:54:00+02:00;2068500000;75548327936;1466368;842240;1
2019-09-10T03:56:00+02:00;2816000000;75547279360;2298880;10799104;1
2019-09-10T03:58:00+02:00;2086000000;75489083392;841216;388096;1
2019-09-10T04:00:00+02:00;1696500000;75530502144;1366528;361984;1
2019-09-10T04:02:00+02:00;3314500000;75562483712;1471488;512000;1
2019-09-10T04:04:00+02:00;2313000000;75505336320;1036800;1015296;1
2019-09-10T04:06:00+02:00;3282500000;75540463616;1001472;454144;1
2019-09-10T04:08:00+02:00;2745500000;75651612672;3348480;2116608;1
2019-09-10T04:10:00+02:00;2950500000;75475451904;864256;285184;1
2019-09-10T04:12:00+02:00;2303500000;75507433472;1029632;369152;1
2019-09-10T04:14:00+02:00;2586000000;75522113536;1017856;285696;1
2019-09-10T04:16:00+02:00;3900500000;75580309504;896512;293888;1
2019-09-10T04:18:00+02:00;2167000000;75503763456;908288;495104;1
2019-09-10T04:20:00+02:00;3732500000;75539415040;854528;321536;1
2019-09-10T04:22:00+02:00;2823000000;75583455232;945152;637952;1
2019-09-10T04:24:00+02:00;3161500000;75579260928;866304;284672;1
2019-09-10T04:26:00+02:00;3043500000;75529977856;892928;399360;1
2019-09-10T04:28:00+02:00;2246000000;75509530624;876544;370688;1
2019-09-10T04:30:00+02:00;3033000000;75514773504;1021952;437760;1
2019-09-10T04:32:00+02:00;2626000000;75583979520;883712;323584;1
2019-09-10T04:34:00+02:00;2714500000;75520540672;1104896;611840;1
2019-09-10T04:36:00+02:00;2713500000;75514249216;845312;416256;1
2019-09-10T04:38:00+02:00;2484500000;75538366464;759808;256512;1
2019-09-10T04:40:00+02:00;2997000000;75591319552;865792;343040;1
2019-09-10T04:42:00+02:00;2278000000;75538366464;848384;405504;1
2019-09-10T04:44:00+02:00;3324000000;75526307840;860160;1015808;1
2019-09-10T04:46:00+02:00;3253000000;75556192256;968704;423424;1
2019-09-10T04:48:00+02:00;3510500000;75577688064;812544;300544;1
2019-09-10T04:50:00+02:00;3134000000;75542036480;874496;375808;1
2019-09-10T04:52:00+02:00;2074500000;75520016384;798720;420352;1
2019-09-10T04:54:00+02:00;2131000000;75525783552;911872;531456;1
2019-09-10T04:56:00+02:00;2519000000;75578212352;991744;363520;1
2019-09-10T04:58:00+02:00;2793500000;75582406656;1439232;754688;1
2019-09-10T05:00:00+02:00;2856500000;75531550720;1140224;1861120;1
2019-09-10T05:02:00+02:00;2313500000;75531550720;999424;523264;1
2019-09-10T05:04:00+02:00;2285000000;75571396608;1016320;752128;1
2019-09-10T05:06:00+02:00;3080000000;75611242496;848896;456704;1
2019-09-10T05:08:00+02:00;2310500000;75547803648;3479040;2286592;1
2019-09-10T05:10:00+02:00;3636500000;75570348032;825344;903680;1
2019-09-10T05:12:00+02:00;2789500000;75563008000;980992;968192;1
2019-09-10T05:14:00+02:00;3243000000;75588173824;927232;490496;1
2019-09-10T05:16:00+02:00;2676000000;75515822080;852480;383488;1
2019-09-10T05:18:00+02:00;2597000000;75510579200;892416;337408;1
2019-09-10T05:20:00+02:00;3103500000;75540987904;884224;439296;1
