Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status
2019-09-08T00:00:00+02:00;3188500000;75602329600;2734592;172860416;1
2019-09-08T00:02:00+02:00;3486000000;75618058240;1074688;651776;1
2019-09-08T00:04:00+02:00;2409500000;75560910848;2820608;232155136;1
2019-09-08T00:06:00+02:00;3553500000;75567726592;1008128;480768;1
2019-09-08T00:08:00+02:00;3105500000;75761713152;828928;239616;1
2019-09-08T00:10:00+02:00;3118000000;75606523904;3078144;231937536;1
2019-09-08T00:12:00+02:00;2221500000;75526307840;880640;482304;1
2019-09-08T00:14:00+02:00;2326000000;75567726592;3098112;232175616;1
2019-09-08T00:16:00+02:00;3419500000;75622252544;1058304;418304;1
2019-09-08T00:18:00+02:00;2203000000;75655282688;862208;290816;1
2019-09-08T00:20:00+02:00;3174500000;75608096768;3067392;232927744;1
2019-09-08T00:22:00+02:00;2174500000;75549376512;886784;313344;1
2019-09-08T00:24:00+02:00;2236000000;75554619392;3051520;233395712;1
2019-09-08T00:26:00+02:00;3800500000;75597086720;896512;468992;1
2019-09-08T00:28:00+02:00;2346500000;75571920896;842752;280064;1
2019-09-08T00:30:00+02:00;3588000000;75535220736;3142144;234244608;1
2019-09-08T00:32:00+02:00;2498500000;75563008000;824320;359424;1
2019-09-08T00:34:00+02:00;2649500000;75579785216;3046912;235097600;1
2019-09-08T00:36:00+02:00;2766500000;75580833792;890880;435712;1
2019-09-08T00:38:00+02:00;2025500000;75540987904;846848;283648;1
2019-09-08T00:40:00+02:00;3339000000;75591843840;3000320;229284864;1
2019-09-08T00:42:00+02:00;2424500000;75586076672;956928;443392;1
2019-09-08T00:44:00+02:00;2425500000;75642175488;986112;372736;1
2019-09-08T00:46:00+02:00;1903000000;75565629440;3643392;220160;1
2019-09-08T00:48:00+02:00;2475500000;75570872320;788480;306176;1
2019-09-08T00:50:00+02:00;3082500000;75603902464;1121280;257536;1
2019-09-08T00:52:00+02:00;2799500000;75547279360;850432;191488;1
2019-09-08T00:54:00+02:00;3859500000;75536793600;1340416;248320;1
2019-09-08T00:56:00+02:00;2029500000;75590270976;1019904;259072;1
2019-09-08T00:58:00+02:00;2882500000;75627495424;857600;348672;1
2019-09-08T01:00:00+02:00;2949000000;75575066624;1033216;295424;1
2019-09-08T01:02:00+02:00;2166000000;75559862272;999424;331776;1
2019-09-08T01:04:00+02:00;3208500000;75582406656;1085952;282112;1
2019-09-08T01:06:00+02:00;3176000000;75620679680;880640;388608;1
2019-09-08T01:08:00+02:00;2757500000;75784257536;4620288;473600;1
2019-09-08T01:10:00+02:00;2889000000;75557240832;1371136;278528;1
2019-09-08T01:12:00+02:00;2413000000;75592368128;863744;299520;1
2019-09-08T01:14:00+02:00;2376500000;75596562432;1211392;310272;1
2019-09-08T01:16:00+02:00;3381000000;75581882368;1049088;223232;1
2019-09-08T01:18:00+02:00;2065000000;75594465280;997888;985600;1
2019-09-08T01:20:00+02:00;4098500000;75572969472;1264640;322560;1
2019-09-08T01:22:00+02:00;2542000000;75598135296;1132032;268288;1
2019-09-08T01:24:00+02:00;3113500000;75582930944;1188864;340992;1
2019-09-08T01:26:00+02:00;2685000000;75568775168;894976;368128;1
2019-09-08T01:28:00+02:00;2332000000;75596562432;853504;230912;1
2019-09-08T01:30:00+02:00;3279500000;75620155392;3459584;220798464;1
2019-09-08T01:32:00+02:00;2486000000;75594989568;942080;292864;1
2019-09-08T01:34:00+02:00;2177000000;75582930944;2906112;224216576;1
2019-09-08T01:36:00+02:00;3216000000;75598135296;954368;521728;1
2019-09-08T01:38:00+02:00;2798500000;75629068288;845312;299008;1
2019-09-08T01:40:00+02:00;3183500000;75574018048;2945024;224545280;1
2019-09-08T01:42:00+02:00;2465500000;75524734976;944640;345088;1
2019-09-08T01:44:00+02:00;2409000000;75557240832;8571392;210794496;1
2019-09-08T01:46:00+02:00;4187500000;75597086720;1867264;992768;1
2019-09-08T01:48:00+02:00;2574500000;75613339648;771072;196608;1
2019-09-08T01:50:00+02:00;3822000000;75538890752;3083264;224709632;1
2019-09-08T01:52:00+02:00;2473000000;75570872320;840192;295424;1
2019-09-08T01:54:00+02:00;2645000000;75594989568;2800128;225208832;1
2019-09-08T01:56:00+02:00;3557500000;75615961088;1029632;768000;1
2019-09-08T01:58:00+02:00;2495500000;75622252544;850432;513024;1
2019-09-08T02:00:00+02:00;2932000000;75570348032;3096576;213947392;1
2019-09-08T02:02:00+02:00;2774500000;75585552384;1132032;1905664;1
2019-09-08T02:04:00+02:00;2343500000;75585028096;2847744;220241920;1
2019-09-08T02:06:00+02:00;2676000000;75553570816;936960;584192;1
2019-09-08T02:08:00+02:00;2796000000;75647942656;786432;255488;1
2019-09-08T02:10:00+02:00;3421000000;75650039808;2868736;225823744;1
2019-09-08T02:12:00+02:00;3094000000;75583979520;883200;305664;1
2019-09-08T02:14:00+02:00;3260500000;75568775168;3132928;227094016;1
2019-09-08T02:16:00+02:00;2876000000;75521589248;1021952;334848;1
2019-09-08T02:18:00+02:00;3116500000;75617009664;856064;242688;1
2019-09-08T02:20:00+02:00;3221500000;75611242496;3062272;227196416;1
2019-09-08T02:22:00+02:00;2571000000;75597086720;859136;221696;1
2019-09-08T02:24:00+02:00;2154000000;75555667968;3027456;227322368;1
2019-09-08T02:26:00+02:00;3554000000;75594989568;923648;460288;1
2019-09-08T02:28:00+02:00;2807000000;75606523904;909312;393728;1
2019-09-08T02:30:00+02:00;3135500000;75614912512;3240960;226753536;1
2019-09-08T02:32:00+02:00;2294500000;75526307840;852480;291328;1
2019-09-08T02:34:00+02:00;2981000000;75580833792;3186688;228997632;1
2019-09-08T02:36:00+02:00;2713500000;75591843840;892928;370176;1
2019-09-08T02:38:00+02:00;3138500000;75595513856;839680;281600;1
2019-09-08T02:40:00+02:00;3101000000;75546755072;3005952;219196416;1
2019-09-08T02:42:00+02:00;3416000000;75580833792;1033728;516096;1
2019-09-08T02:44:00+02:00;3184500000;75612291072;8635392;184243200;1
2019-09-08T02:46:00+02:00;2448000000;75569299456;1012736;477184;1
2019-09-08T02:48:00+02:00;2161000000;75597086720;877056;342016;1
2019-09-08T02:50:00+02:00;3417500000;75593940992;2810880;214931968;1
2019-09-08T02:52:00+02:00;2434500000;75611242496;879616;284672;1
2019-09-08T02:54:00+02:00;3099000000;75559337984;2848256;223026176;1
2019-09-08T02:56:00+02:00;2362500000;75538366464;858624;383488;1
2019-09-08T02:58:00+02:00;2458000000;75637456896;833024;347648;1
2019-09-08T03:00:00+02:00;3348500000;75590270976;2988032;222172672;1
2019-09-08T03:02:00+02:00;2311500000;75567726592;863744;576000;1
2019-09-08T03:04:00+02:00;3643500000;75539939328;3089920;230530048;1
2019-09-08T03:06:00+02:00;2446000000;75574018048;892928;421888;1
2019-09-08T03:08:00+02:00;3636000000;75822530560;856576;256512;1
2019-09-08T03:10:00+02:00;3190500000;75569823744;3041792;228035072;1
2019-09-08T03:12:00+02:00;3117000000;75580309504;862720;619008;1
2019-09-08T03:14:00+02:00;3479000000;75568775168;3042816;229990400;1
2019-09-08T03:16:00+02:00;2243000000;75610193920;902144;546816;1
2019-09-08T03:18:00+02:00;2519500000;75596562432;808960;251392;1
2019-09-08T03:20:00+02:00;3024500000;75521589248;2893824;228337664;1
2019-09-08T03:22:00+02:00;2860500000;75554095104;835072;289280;1
2019-09-08T03:24:00+02:00;3280000000;75604951040;2801152;231821824;1
2019-09-08T03:26:00+02:00;2436500000;75534696448;939520;535040;1
2019-09-08T03:28:00+02:00;2476000000;75515822080;872960;300032;1
2019-09-08T03:30:00+02:00;3294000000;75532075008;3134464;234032128;1
2019-09-08T03:32:00+02:00;3157000000;75570348032;899072;265216;1
2019-09-08T03:34:00+02:00;3207000000;75593416704;2778112;227964928;1
2019-09-08T03:36:00+02:00;3056000000;75527356416;837120;338944;1
2019-09-08T03:38:00+02:00;2651500000;75562483712;871936;281088;1
2019-09-08T03:40:00+02:00;3142000000;75580833792;2999808;227398144;1
2019-09-08T03:42:00+02:00;2592000000;75567726592;951296;374272;1
2019-09-08T03:44:00+02:00;2420500000;75512676352;8719360;206965760;1
2019-09-08T03:46:00+02:00;2503500000;75533123584;940544;303104;1
2019-09-08T03:48:00+02:00;2731000000;75560386560;858624;305152;1
2019-09-08T03:50:00+02:00;3153000000;75551997952;3006464;229911040;1
2019-09-08T03:52:00+02:00;2377500000;75545706496;756736;339456;1
2019-09-08T03:54:00+02:00;3084500000;75520016384;2908160;224385536;1
2019-09-08T03:56:00+02:00;3341000000;75543609344;926720;368640;1
2019-09-08T03:58:00+02:00;3198000000;75579785216;893952;333312;1
2019-09-08T04:00:00+02:00;3050500000;75507433472;3049984;228417024;1
2019-09-08T04:02:00+02:00;3080000000;75523162112;922624;301056;1
2019-09-08T04:04:00+02:00;2682000000;75559862272;2890752;231746048;1
2019-09-08T04:06:00+02:00;3639500000;75596562432;974848;831488;1
2019-09-08T04:08:00+02:00;2593500000;75679399936;964608;357376;1
2019-09-08T04:10:00+02:00;2215000000;75608096768;3004928;232536064;1
2019-09-08T04:12:00+02:00;2625500000;75541512192;920064;296448;1
2019-09-08T04:14:00+02:00;2521500000;75571920896;2917888;214467072;1
2019-09-08T04:16:00+02:00;3153500000;75489083392;972800;389632;1
2019-09-08T04:18:00+02:00;1861000000;75494850560;1409024;506368;1
2019-09-08T04:20:00+02:00;3002500000;75528929280;2934784;226195456;1
2019-09-08T04:22:00+02:00;2510500000;75566153728;932352;369152;1
2019-09-08T04:24:00+02:00;2471500000;75505860608;3337216;224617472;1
2019-09-08T04:26:00+02:00;2895000000;75507957760;805376;398848;1
2019-09-08T04:28:00+02:00;3375000000;75559862272;1812480;827392;1
2019-09-08T04:30:00+02:00;2890500000;75615436800;876032;9856512;1
2019-09-08T04:32:00+02:00;3372500000;75517394944;870912;291840;1
2019-09-08T04:34:00+02:00;2269000000;75522113536;1443840;9346560;1
2019-09-08T04:36:00+02:00;3219500000;75499044864;830976;612352;1
2019-09-08T04:38:00+02:00;2070500000;75527356416;1964544;409600;1
2019-09-08T04:40:00+02:00;2169500000;75563008000;2166784;17468416;1
2019-09-08T04:42:00+02:00;2801500000;75579785216;803840;475136;1
2019-09-08T04:44:00+02:00;2878500000;75508482048;1404928;351744;1
2019-09-08T04:46:00+02:00;2666000000;75564580864;1148416;25168896;1
2019-09-08T04:48:00+02:00;3250000000;75574018048;829952;376832;1
2019-09-08T04:50:00+02:00;2208500000;75588698112;1641472;24627712;1
2019-09-08T04:52:00+02:00;2666500000;75544133632;2094592;399872;1
2019-09-08T04:54:00+02:00;1643000000;75509006336;1561600;398848;1
2019-09-08T04:56:00+02:00;2817000000;75558813696;1011200;24379904;1
2019-09-08T04:58:00+02:00;2462000000;75574542336;847360;443904;1
2019-09-08T05:00:00+02:00;1754000000;75554095104;1262080;24243200;1
2019-09-08T05:02:00+02:00;2796500000;75542560768;891904;1890304;1
2019-09-08T05:04:00+02:00;2125500000;75534696448;1487872;466432;1
2019-09-08T05:06:00+02:00;2722000000;75584503808;1489920;23270912;1
2019-09-08T05:08:00+02:00;2238500000;75561959424;6265344;7600128;1
2019-09-08T05:10:00+02:00;3120000000;75749130240;2072064;23159296;1
2019-09-08T05:12:00+02:00;2842500000;75547803648;799232;396288;1
2019-09-08T05:14:00+02:00;3181000000;75578736640;2219520;424448;1
2019-09-08T05:16:00+02:00;2667500000;75547279360;1059840;22438400;1
2019-09-08T05:18:00+02:00;2181000000;75485413376;749568;354816;1
2019-09-08T05:20:00+02:00;2170500000;75528404992;2142208;22156800;1
2019-09-08T05:22:00+02:00;2938000000;75555667968;852992;302080;1
2019-09-08T05:24:00+02:00;1980000000;75536793600;940032;452608;1
2019-09-08T05:26:00+02:00;2404500000;75511627776;1080832;22073856;1
2019-09-08T05:28:00+02:00;2602000000;75534172160;773632;370176;1
2019-09-08T05:30:00+02:00;2152000000;75548327936;1625088;21530624;1
2019-09-08T05:32:00+02:00;2914500000;75602329600;847360;313344;1
2019-09-08T05:34:00+02:00;1933000000;75504812032;1531904;413696;1
2019-09-08T05:36:00+02:00;2122500000;75522113536;979456;21143040;1
2019-09-08T05:38:00+02:00;3176500000;75615436800;819712;261632;1
2019-09-08T05:40:00+02:00;2681000000;75559862272;1762816;20567552;1
2019-09-08T05:42:00+02:00;2664000000;75497472000;926720;450048;1
2019-09-08T05:44:00+02:00;1903000000;75523686400;1521664;382976;1
